,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021"
0,Cash & Equivalents,-,691.01,670.07,406.58,449.3,466.47,653.36,980.02,36.29,34.98,41.66,-,56.45,-
1,Trading Asset Securities,-,677.34,800.35,1142,1214,1231,1097,830.35,130.02,180.33,164.9,-,199.23,-
2,Cash & Short-Term Investments,1368,1368,1470,1549,1663,1697,1750,1810,166.31,215.31,206.56,255.68,255.68,-
3,Cash Growth,-17.73%,-19.37%,-15.98%,-14.44%,900.07%,688.23%,747.22%,608.07%,-34.95%,-,-,-,-,-
4,Accounts Receivable,-,75.2,55.13,51.01,59.34,41.79,43.52,33.77,70.57,87.41,82.18,-,58.79,-
5,Other Receivables,-,2.51,2.34,2.38,3.18,2.47,2.85,2.03,1.46,0.07,1.19,-,1.25,-
6,Receivables,-,77.7,57.47,53.39,62.51,44.26,46.37,35.8,72.03,87.48,83.37,-,60.04,-
7,Inventory,-,152.68,159.55,156.74,131.45,133.49,127.68,106.33,100.28,123.79,119.45,-,114.64,-
8,Prepaid Expenses,-,-,-,-,-,-,-,-,4.77,2.87,-,-,0.53,-
9,Other Current Assets,-,74.96,9.97,21.08,15,18.66,35.33,77.54,117.5,66.71,36.29,-,62.58,-
10,Total Current Assets,-,1674,1697,1780,1872,1894,1959,2030,460.88,496.16,445.67,-,493.46,-
11,"Property, Plant & Equipment",-,67.18,51.85,44.25,44.21,50.46,44.91,39.21,20.94,20.04,20.96,-,26.43,-
12,Other Intangible Assets,-,34.6,31.31,21.25,20.12,21.04,25.59,24.96,18.89,20.96,21.65,-,29.54,-
13,Long-Term Deferred Charges,-,7.09,8.54,3.17,3.01,3.37,2.93,3.37,3.48,3.85,4.21,-,2.49,-
14,Other Long-Term Assets,-,2.8,8.44,11.67,6.14,6.48,2.39,4.96,3.26,0.55,0.41,-,1.09,-
15,Total Assets,-,1785,1798,1860,1946,1975,2035,2103,507.46,541.56,492.9,-,553.01,-
16,Accounts Payable,-,30.82,28.41,28.7,35.53,12.59,28.76,19.62,6.62,19.09,17.36,-,22.08,-
17,Accrued Expenses,-,61.23,48.04,35.66,56.24,46.63,37.16,27.33,44.19,22.49,20.71,-,15.87,-
18,Current Portion of Long-Term Debt,-,-,3.47,-,-,-,-,-,-,-,-,-,-,-
19,Current Portion of Leases,-,11.19,8.62,9.99,9.4,7.71,7.67,3.23,3.68,3.61,3.57,-,3.32,-
20,Current Income Taxes Payable,-,1.98,-,1.16,-,1.15,-,5.74,-,-,-,-,-,-
