,Fiscal Quarter,Current,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021
,Period Ending,"Mar '25 Mar 12, 2025","Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021"
0,Market Capitalization,8530,7914,6031,4636,6174,7905,9320,13733,18038,-,-,-,-,-,-
1,Market Cap Growth,0.11%,0.11%,-35.29%,-66.24%,-65.77%,-,-,-,-,-,-,-,-,-,-
2,Enterprise Value,7178,6562,4577,3104,4504,6234,7599,11950,17833,-,-,-,-,-,-
3,Last Close Price,106.71,99.00,75.45,58.00,77.18,98.81,116.50,171.66,225.48,-,-,-,-,-,-
4,PS Ratio,21.06,19.60,16.09,14.50,21.10,28.90,34.73,42.96,49.49,-,-,-,-,-,-
5,PB Ratio,5.16,4.76,3.63,2.74,3.48,4.33,5.08,7.28,9.31,-,-,-,-,-,-
6,P/TBV Ratio,4.86,4.86,3.70,2.79,3.53,4.37,5.14,7.38,9.43,-,-,-,-,-,-
7,EV/Sales Ratio,17.78,16.25,12.21,9.71,15.39,22.79,28.31,37.38,48.92,-,-,-,-,-,-
8,Debt / Equity Ratio,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.02,0.01,0.03,0.04,0.04,0.05,0.05,-
9,Debt / EBITDA Ratio,-,-,-,-,-,-,-,-,-,-,-,0.34,0.33,1.48,-
10,Debt / FCF Ratio,-,-,-,-,-,-,-,-,-,-,0.97,-0.17,-,-0.82,-
11,Asset Turnover,-,0.25,0.18,0.15,0.22,0.11,0.11,0.16,0.79,0.83,-,-,-,-,
12,Inventory Turnover,-,-,1.56,1.22,1.19,1.68,0.77,1.53,0.95,1.82,2.08,-,-,-,-
13,Quick Ratio,-,-,12.75,15.82,19.71,15.62,14.17,14.06,13.18,1.12,1.27,1.56,-,1.20,-
14,Current Ratio,-,-,14.75,17.58,21.90,16.94,15.40,15.33,14.49,2.17,2.07,2.40,-,1.87,-
15,Return on Equity (ROE),-13.88%,-7.52%,-12.54%,-12.03%,-2.25%,-12.27%,-11.68%,-9.67%,-10.99%,-10.38%,6.38%,15.48%,-,-,
16,Return on Assets (ROA),-,-4.50%,-9.02%,-8.32%,-4.99%,-6.26%,-8.46%,-5.63%,-7.55%,-4.35%,-,-,-,-,
17,Return on Capital (ROIC),-5.43%,-4.77%,-9.44%,-8.72%,-5.28%,-6.65%,-9.03%,-6.50%,-13.11%,-7.32%,1.34%,8.95%,-,-,
18,Return on Capital Employed (ROCE),-,-,-,-,-,-,-,-,-,-,-,6.86%,-,3.11%,-
19,Earnings Yield,-2.32%,-2.50%,-2.49%,-3.79%,-2.87%,-1.90%,-1.59%,-0.72%,-0.21%,-,-,-,-,-,-
20,FCF Yield,-,-5.12%,-5.67%,-4.58%,-2.44%,-2.13%,-0.93%,-0.30%,-,-,-,-,-,-,
21,Buyback Yield / Dilution,-4.05%,0.98%,-0.25%,-0.85%,-18.27%,-32.67%,-38.52%,-35.87%,-12.96%,58.98%,-348.69%,-,-,-,-
22,Total Shareholder Return,-4.05%,0.98%,-0.25%,-0.85%,-18.27%,-32.67%,-38.52%,-35.87%,-12.96%,58.98%,-348.69%,-,-,-,-
