,Fiscal Quarter,Q4 2024,Q3 2024,Q4 2023,Q3 2023,Q2 2017,Q1 2017,Q4 2016,Q2 2016,Q1 2016,Q4 2015
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '17 Jun 30, 2017","Mar '17 Mar 31, 2017","Dec '16 Dec 31, 2016","Jun '16 Jun 30, 2016","Mar '16 Mar 31, 2016","Dec '15 Dec 31, 2015"
0,Revenue,97115,67260,67087,22854,52771,52771,54307,70275,70275,51392
1,Revenue Growth (YoY),84.03%,27.46%,23.53%,-67.48%,-24.91%,2.68%,-,-,-,-
2,Cost of Revenue,88296,61985,61533,23064,48623,48623,53179,67577,67577,33587
3,Gross Profit,8819,5275,5554,-210.57,4148,4148,1128,2698,2698,17805
4,"Selling, General & Admin",8578,4959,5766,3532,3955,3955,15547,4435,4435,15949
5,Operating Expenses,8578,4959,5766,3532,3955,3955,15547,4435,4435,15949
6,Operating Income,241.43,316.17,-212.08,-3742,193.09,193.09,-14419,-1737,-1737,1856
7,Interest Expense,-1309,-1187,-2878,-877.69,-1674,-1674,-1452,-1248,-1248,-1094
8,Interest & Investment Income,296.04,1164,25.97,16.94,477.07,477.07,237.01,103.82,103.82,337.29
9,Other Non Operating Income (Expenses),992.54,-17.36,717.6,-1194,2316,2316,6835,11439,11439,1020
10,Pretax Income,220.97,276.15,-2346,-5797,1312,1312,-8799,8558,8558,2120
11,Income Tax Expense,-,-,774.12,-,321.59,321.59,-1959,1834,1834,855.51
12,Net Income,220.97,276.15,-3121,-5797,990.48,990.48,-6840,6723,6723,1264
13,Net Income to Common,220.97,276.15,-3121,-5797,990.48,990.48,-6840,6723,6723,1264
14,Net Income Growth,-77.69%,-72.12%,-,-,-85.27%,-21.65%,-,-,-,-
15,Shares Outstanding (Basic),5,5,5,5,5,5,5,5,5,5
16,Shares Outstanding (Diluted),5,5,5,5,5,5,5,5,5,5
17,Shares Change (YoY),0.39%,0.37%,0.02%,0.03%,0.04%,0.12%,-,-,-,-
18,EPS (Basic),44.00,55.00,-624.00,-1159.00,198.00,198.00,-1368.00,1344.50,1344.50,253.00
19,EPS (Diluted),44.00,55.00,-624.00,-1159.00,198.00,198.00,-1368.00,1344.50,1344.50,253.00
20,EPS Growth,-77.78%,-72.22%,-,-,-85.27%,-21.74%,-,-,-,-
21,Free Cash Flow,-9093,-,31691,-,-13633,-13633,-,-4920,-4920,-
22,Free Cash Flow Per Share,-1810.69,-,6336.99,-,-2725.32,-2725.32,-,-983.94,-983.94,-
23,Gross Margin,9.08%,7.84%,8.28%,-0.92%,7.86%,7.86%,2.08%,3.84%,3.84%,34.65%
24,Operating Margin,0.25%,0.47%,-0.32%,-16.38%,0.37%,0.37%,-26.55%,-2.47%,-2.47%,3.61%
25,Profit Margin,0.23%,0.41%,-4.65%,-25.37%,1.88%,1.88%,-12.59%,9.57%,9.57%,2.46%
26,Free Cash Flow Margin,-9.36%,-,47.24%,-,-25.83%,-25.83%,-,-7.00%,-7.00%,-
27,EBITDA,1052,1142,717.62,-,1844,1844,-12814,-127.08,-127.08,-
28,EBITDA Margin,1.08%,1.70%,1.07%,-,3.49%,3.49%,-23.59%,-0.18%,-0.18%,-
29,D&A For EBITDA,810.68,826,929.7,-,1651,1651,1605,1610,1610,-
30,EBIT,241.43,316.17,-212.08,-3742,193.09,193.09,-14419,-1737,-1737,1856
31,EBIT Margin,0.25%,0.47%,-0.32%,-16.38%,0.37%,0.37%,-26.55%,-2.47%,-2.47%,3.61%
32,Effective Tax Rate,-,-,-,-,24.51%,24.51%,-,21.43%,21.43%,40.36%
33,Revenue as Reported,97115,67260,67087,22854,52771,52771,54307,70275,70275,51392
