,Fiscal Quarter,Q4 2024,Q3 2024,Q4 2023,Q3 2023,Q2 2017,Q1 2017,Q4 2016,Q2 2016,Q1 2016,Q4 2015
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '17 Jun 30, 2017","Mar '17 Mar 31, 2017","Dec '16 Dec 31, 2016","Jun '16 Jun 30, 2016","Mar '16 Mar 31, 2016","Dec '15 Dec 31, 2015"
0,Cash & Equivalents,13680,15615,35032,-,17404,17404,13939,-,-,30144
1,Short-Term Investments,750,1354,-,-,60381,60381,59046,-,-,60443
2,Trading Asset Securities,8411,-,10653,-,-,-,-,-,-,-
3,Cash & Short-Term Investments,22841,16969,45684,-,77785,77785,72985,-,90587,90587
4,Cash Growth,-70.64%,-78.19%,-37.41%,-,-14.13%,-14.13%,-,-,-,-
5,Accounts Receivable,90833,43879,58246,-,62474,62474,55929,-,-,65885
6,Other Receivables,33519,108242,23424,-,76478,76478,73348,-,-,87237
7,Receivables,124352,152121,81670,-,138952,138952,129277,-,-,153121
8,Inventory,26069,31909,20715,-,62900,62900,72817,-,-,72085
9,Prepaid Expenses,364.53,597.79,282.54,-,348.3,348.3,-,-,-,-
10,Other Current Assets,81103,12311,87013,-,8312,8312,8360,-,-,17210
11,Total Current Assets,254729,213907,235364,-,288296,288296,283439,-,-,333003
12,"Property, Plant & Equipment",16192,16407,18772,-,35398,35398,35961,-,-,36133
13,Long-Term Investments,-,-,-,-,-,-,650,-,-,650
14,Other Intangible Assets,-,-,-,-,-,-,7.54,-,-,53.55
15,Long-Term Deferred Tax Assets,-,-,-,-,-,-,-,-,-,2374
16,Other Long-Term Assets,1499,1604,1233,-,2849,2849,1731,-,-,2528
17,Total Assets,272421,231918,255370,-,326543,326543,321789,-,-,374742
18,Accounts Payable,35728,17435,10247,-,97558,97558,22096,-,-,22702
19,Accrued Expenses,4005,6816,3962,-,3005,3005,12114,-,-,24237
20,Short-Term Debt,54469,49214,47634,-,3023,3023,64592,-,-,60377
21,Current Income Taxes Payable,1511,469.82,568.25,-,86732,86732,822.08,-,-,5594
22,Other Current Liabilities,112251,96222,125786,-,38032,38032,124098,-,-,169003
23,Total Current Liabilities,207964,170157,188196,-,228349,228349,223722,-,-,281912
24,Long-Term Debt,6687,4213,10415,-,11491,11491,13347,-,-,9505
25,Other Long-Term Liabilities,50,50,50,-,-,-,-,-,-,-
26,Total Liabilities,214701,174420,198661,-,239839,239839,237069,-,-,291418
27,Common Stock,50000,50000,50000,-,50000,50000,50000,-,-,50000
28,Additional Paid-In Capital,13258,13258,13258,-,13258,13258,13258,-,-,13258
29,Retained Earnings,-5539,-5760,-6549,-,7981,7981,21462,-,-,20067
30,Comprehensive Income & Other,-,-,-,-,15465,15465,-,-,-,-
31,Shareholders' Equity,57719,57498,56709,-,86704,86704,84720,-,83325,83325
32,Total Liabilities & Equity,272421,231918,255370,-,326543,326543,321789,-,-,374742
33,Total Debt,61156,53427,58048,-,14513,14513,77939,-,69882,69882
34,Net Cash (Debt),-38315,-36458,-12364,-,63271,63271,-4954,-,20705,20705
35,Net Cash Growth,-,-,-,-,205.58%,205.58%,-,-,-,-
36,Net Cash Per Share,-7629.34,-7261.11,-2472.35,-,12648.10,12648.10,-990.84,-,4140.51,4143.96
37,Filing Date Shares Outstanding,5,5.02,5,5,5,5,5,5,5,5
38,Total Common Shares Outstanding,5,5.02,5,5,5,5,5,5,5,5
39,Working Capital,46765,43750,47168,-,59948,59948,59718,-,-,51091
40,Book Value Per Share,11543.85,11451.58,11339.66,-,17332.40,17332.40,16945.02,-,16676.88,16676.88
41,Tangible Book Value,57719,57498,56709,-,86704,86704,84713,-,83271,83271
42,Tangible Book Value Per Share,11543.85,11451.58,11339.66,-,17332.40,17332.40,16943.51,-,16666.17,16666.17
43,Buildings,29750,-,29196,-,-,-,-,-,-,-
44,Machinery,59613,-,59484,-,-,-,-,-,-,-
45,Construction In Progress,-,-,-,-,84.89,84.89,1605,-,-,1436
