,Fiscal Quarter,Current,Q4 2024,Q3 2024,Q4 2023,Q3 2023,Q2 2017,Q1 2017,Q4 2016,Q2 2016,Q1 2016,Q4 2015
,Period Ending,"Feb '25 Feb 25, 2025","Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '17 Jun 30, 2017","Mar '17 Mar 31, 2017","Dec '16 Dec 31, 2016","Jun '16 Jun 30, 2016","Mar '16 Mar 31, 2016","Dec '15 Dec 31, 2015"
0,Market Capitalization,36500,30000,37500,41500,34000,50500,46500,39500,41500,49000,37500
1,Market Cap Growth,-35.48%,-40.59%,-19.35%,5.06%,-18.07%,3.06%,24.00%,-,-,-,-
2,Enterprise Value,74815,66458,-25771,-21771,-29271,55454,51454,9290,11290,18790,-
3,Last Close Price,7300.00,6000.00,7500.00,8300.00,6800.00,7132.16,6567.24,5578.62,5154.93,6086.54,4658.07
4,PE Ratio,36.14,-3.56,-4.90,-,-,27.08,6.12,-,2.82,6.13,29.67
5,PS Ratio,0.14,0.12,0.18,0.21,0.19,0.22,0.19,0.16,0.22,0.40,0.73
6,PB Ratio,0.63,0.52,0.65,0.73,-,0.58,0.54,0.47,-,0.59,0.45
7,P/TBV Ratio,0.52,0.52,0.65,0.73,-,0.58,0.54,0.47,-,0.59,0.45
8,P/FCF Ratio,-,-,-,9.38,-,-,-,-,-,-,-
9,P/OCF Ratio,-,-,-,5.63,-,-,-,-,-,-,-
10,EV/Sales Ratio,0.28,0.26,-,-,-,0.24,0.21,0.04,0.06,0.15,-
11,EV/EBITDA Ratio,19.40,22.82,-,-,-,-5.99,-4.58,-,-,-,-
12,EV/EBIT Ratio,131.82,-19.56,-,-,-,-3.52,-2.91,-,-,-,-
13,Debt / Equity Ratio,1.06,1.06,0.93,1.02,-,0.17,0.17,0.92,-,0.84,0.84
14,Debt / EBITDA Ratio,15.86,14.53,11.69,20.22,-,1.97,1.97,-,-,-,-
15,Debt / FCF Ratio,-,-,-,13.12,-,-,-,-,-,-,-
16,Asset Turnover,1.54,-,-,-,0.65,0.65,-,-,-,-,
17,Inventory Turnover,10.50,12.18,-,-,-,3.09,2.87,-,-,-,-
18,Quick Ratio,0.71,0.71,0.99,0.68,-,0.95,0.95,0.90,-,-,0.86
19,Current Ratio,1.22,1.22,1.26,1.25,-,1.26,1.26,1.27,-,-,1.18
20,Return on Equity (ROE),1.53%,-,-,-,4.57%,4.62%,-,-,32.27%,-,
21,Return on Assets (ROA),0.24%,-,-,-,0.15%,0.15%,-,-,-,-,
22,Return on Capital (ROIC),0.53%,-,-,-,0.48%,0.37%,-,-,-2.83%,-,
23,Return on Capital Employed (ROCE),0.88%,-5.27%,-5.58%,-,-,-16.06%,-18.03%,-,-,-,2.00%
24,Earnings Yield,2.77%,-28.07%,-20.40%,-16.72%,-31.34%,3.69%,16.34%,19.93%,35.45%,16.30%,3.37%
25,FCF Yield,-66.10%,75.32%,-,10.66%,-,-63.74%,-50.48%,-,-23.71%,-10.04%,-
26,Buyback Yield / Dilution,-0.01%,-0.39%,-0.37%,-0.02%,-0.03%,-0.04%,-0.12%,-,-,-,-
27,Total Shareholder Return,-0.01%,-0.39%,-0.37%,-0.02%,-0.03%,-0.04%,-0.12%,-,-,-,-
