,Fiscal Quarter,Current,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,+20 Quarters
,Period Ending,"Mar '25 Mar 12, 2025","Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020",+20 Quarters
0,Market Capitalization,1508399,1601272,1534019,1569247,1505196,1537221,1466765,1530816,1505196,1761400,1492386,1498959,1514905,1520220,1514905,1514905,1568060,1581348,1461750,1514905,1315575,Upgrade
1,Market Cap Growth,4.17%,4.17%,4.59%,2.51%,0%,-12.73%,-1.72%,2.13%,-0.64%,15.86%,-1.49%,-1.05%,-3.39%,-3.87%,3.64%,0%,19.19%,29.35%,10.66%,19.00%,-1.00%,Upgrade
2,Enterprise Value,1325722,1427427,1389333,1330173,1246051,1373942,1300750,1321538,1252122,1619033,1380125,1387521,1429959,1592204,1651821,1591908,1619687,1661521,1510990,1592355,1410771,Upgrade
3,Last Close Price,23550.00,25000.00,23950.00,24500.00,22112.20,22582.68,21547.64,22488.58,20743.67,24274.50,20567.13,20657.59,20877.36,20950.61,20511.09,20511.09,20567.31,20741.61,18847.95,18846.75,16366.91,Upgrade
4,PE Ratio,16.58,16.76,17.80,16.47,14.55,14.68,12.67,12.59,13.15,13.75,11.56,11.89,13.15,13.46,14.32,16.11,15.85,16.68,17.07,16.42,13.74,Upgrade
5,PS Ratio,1.56,1.65,1.61,1.60,1.46,1.53,1.49,1.47,1.52,1.50,1.22,1.20,1.24,1.35,1.43,1.55,1.60,1.64,1.61,1.58,1.30,Upgrade
6,PB Ratio,1.86,1.83,1.81,1.90,1.67,1.74,1.71,1.85,1.82,2.02,1.78,1.88,1.93,2.05,2.06,2.16,2.10,2.23,2.06,2.20,1.83,Upgrade
7,P/TBV Ratio,2.17,2.17,2.16,2.29,1.97,2.06,2.03,2.21,2.17,2.40,2.13,2.27,2.35,2.51,2.55,2.71,2.59,2.78,2.58,2.79,2.29,Upgrade
8,P/FCF Ratio,82.44,87.51,15.47,-,-,6.32,-,11.40,-,-,4.98,-,5.83,8.36,19.25,-,-,16.94,22.57,15.38,11.65,Upgrade
9,P/OCF Ratio,50.11,50.11,14.00,18.21,-,6.02,30.03,10.53,-,-,4.90,-,5.69,7.97,15.03,-,-,12.74,16.67,13.05,9.83,Upgrade
10,EV/Sales Ratio,1.37,1.47,1.46,1.36,1.21,1.37,1.32,1.27,1.27,1.38,1.13,1.11,1.17,1.42,1.55,1.63,1.66,1.72,1.67,1.66,1.39,Upgrade
11,EV/EBITDA Ratio,8.38,9.15,9.22,8.21,6.96,8.13,7.22,7.04,6.92,8.04,6.65,6.71,7.39,8.41,9.36,9.96,9.93,10.51,9.98,9.94,8.67,Upgrade
12,EV/EBIT Ratio,9.75,10.67,10.83,9.52,7.97,9.40,8.28,8.02,7.91,9.06,7.47,7.54,8.38,9.55,10.70,11.56,11.48,12.18,12.05,11.83,10.28,Upgrade
13,EV/FCF Ratio,72.45,78.01,14.01,-,-,5.65,-,9.84,-,-,4.60,-,5.50,8.76,20.99,-,-,17.80,23.33,16.16,12.49,Upgrade
14,Debt / Equity Ratio,-,-,-,-,-,-,-,-,0.03,-,-,0.01,0.06,0.10,0.17,0.21,0.23,0.11,0.14,0.15,0.18,Upgrade
15,Debt / EBITDA Ratio,-,-,-,-,-,-,-,-,0.15,-,-,0.06,0.19,0.32,0.60,1.30,0.80,0.45,0.72,0.84,0.66,Upgrade
16,Debt / FCF Ratio,-,-,-,-,-,-,-,-,-,-,-,-,0.17,0.39,1.58,-,-,0.82,1.57,1.08,1.14,Upgrade
17,Asset Turnover,1.13,0.67,0.74,0.72,1.05,0.76,0.88,0.64,0.97,0.95,0.73,1.25,1.14,0.98,0.63,0.93,1.01,0.73,0.65,0.90,Upgrade,
18,Inventory Turnover,1.41,2.12,1.26,1.37,1.09,1.48,1.30,1.48,1.00,1.26,1.35,1.28,1.75,1.50,1.22,0.72,1.09,1.24,0.97,0.87,1.09,Upgrade
19,Quick Ratio,1.47,1.47,1.46,1.38,1.64,1.46,1.40,1.33,1.20,1.30,1.00,0.98,0.91,0.71,0.54,0.44,0.62,0.52,0.50,0.51,0.59,Upgrade
20,Current Ratio,2.66,2.66,2.74,2.60,2.99,2.50,2.70,2.51,2.30,2.47,2.21,2.40,2.06,1.81,1.79,1.71,1.76,1.81,1.81,1.69,1.79,Upgrade
