,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,+20 Quarters
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020",+20 Quarters
0,Revenue,337529,194023,215873,221151,320178,222466,264108,198135,298640,278392,214144,380439,352379,298173,194242,278934,291402,213573,193854,266761,Upgrade
1,Revenue Growth (YoY),5.42%,-12.79%,-18.26%,11.62%,7.21%,-20.09%,23.33%,-47.92%,-15.25%,-6.63%,10.25%,36.39%,20.93%,39.61%,0.20%,4.56%,25.36%,-20.41%,-20.57%,9.09%,Upgrade
2,Cost of Revenue,200108,116245,126316,99143,138299,123949,144335,101880,130827,146151,145780,215147,209024,181339,104142,148994,169105,134962,119474,148589,Upgrade
3,Gross Profit,137421,77778,89557,122008,181879,98517,119773,96254,167813,132240,68364,165292,143354,116834,90100,129940,122297,78611,74380,118172,Upgrade
4,"Selling, General & Admin",99501,49846,63640,79960,149439,59258,77115,64492,124314,85299,32358,113102,93857,70601,67295,81763,85119,49056,48143,74731,Upgrade
5,Operating Expenses,99501,49846,63640,79960,149439,59258,77115,64492,124314,85299,32358,113102,93857,70601,67295,81763,85119,49056,48143,74731,Upgrade
6,Operating Income,37920,27931,25917,42048,32440,39259,42658,31763,43499,46942,36005,52190,49497,46234,22805,48177,37178,29555,26237,43441,Upgrade
7,Interest Expense,-,-,-,-3571,-,-,-241.09,-111.94,-,-71.98,-302.86,-550.36,-919.28,-1310,-1381,-1208,-1033,-1142,-1561,-1754,Upgrade
8,Interest & Investment Income,2969,1344,7848,-,2397,1951,5757,5767,2141,1990,2494,1188,1302,312.69,1727,365.48,1515,345.84,2182,348.11,Upgrade
9,Earnings From Equity Investments,491.27,290.52,453.57,299.69,558.76,87.9,147.17,44.63,457.92,302.45,71.19,-33.82,-28.96,-87.5,23.88,265.46,773.27,322.6,962.25,-181.3,Upgrade
10,Currency Exchange Gain (Loss),-,-,-56.9,277.38,162.69,-,137.92,254.81,241.37,-,21.48,16.52,28.82,-,132.38,199.65,107.64,-,36.8,477.97,Upgrade
11,Other Non Operating Income (Expenses),-2690,-1020,-429.7,-2930,-3814,-1398,-1564,-934.19,-1480,-1774,-1537,-1885,-2669,-1889,-1211,-1125,-1866,-818.56,-965.31,-1383,Upgrade
12,EBT Excluding Unusual Items,38690,28546,33732,36125,31745,39900,46895,36783,44859,47387,36753,50925,47211,43260,22095,46675,36675,28263,26891,40948,Upgrade
13,Pretax Income,38690,28546,33732,36125,31745,39900,46895,36783,44859,47387,36753,50925,47211,43260,22095,46675,36675,28263,26891,40948,Upgrade
14,Income Tax Expense,7616,5952,5676,8422,7596,8243,9494,7672,9485,9629,7779,10637,10901,9908,5226,9842,9041,6578,5734,8518,Upgrade
15,Earnings From Continuing Operations,31074,22595,28056,27702,24149,31658,37401,29112,35373,37758,28974,40289,36310,33351,16869,36833,27634,21685,21158,32431,Upgrade
16,Minority Interest in Earnings,-683.77,103.22,-398.8,-1415,317.68,171.32,-522.58,-51.15,199.27,-126.68,-286.81,-52,503.6,1290,1070,150.72,1203,1218,545.03,-83.05,Upgrade
