,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,+20 Quarters
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020",+20 Quarters
0,Cash & Equivalents,207594,197351,172305,270728,294274,189552,180636,76491,86591,81086,160761,198696,199564,96251,50812,75935,59437,57781,94831,69273,Upgrade
1,Short-Term Investments,39624,40352,36342,31908,27018,36193,48016,77977,69345,123543,23576,18570,18516,18463,23460,83335,30335,30000,30000,49900,Upgrade
2,Trading Asset Securities,68.95,68.95,68.95,68.95,68.95,68.95,68.95,139269,159269,68.95,68.95,68.95,68.95,68.95,68.95,68.95,68.95,68.95,68.95,68.95,Upgrade
3,Cash & Short-Term Investments,247287,237772,208716,302704,321361,225814,228720,293737,315205,204698,184406,217335,218148,114783,74341,159339,89841,87850,124900,119242,Upgrade
4,Cash Growth,-23.05%,5.30%,-8.75%,3.05%,1.95%,10.32%,24.03%,35.15%,44.49%,78.33%,148.05%,36.40%,142.82%,30.66%,-40.48%,33.63%,-7.56%,-13.25%,12.75%,8.45%,Upgrade
5,Accounts Receivable,250971,200504,215671,178645,219136,220807,215236,166390,162534,157397,140137,158170,126704,149682,138737,154566,138585,133985,126296,159744,Upgrade
6,Other Receivables,3040,7444,9576,978.46,1163,356.04,1191,2367,2757,1384,991.38,1261,782.12,1197,1260,1192,674.36,968.67,1377,938.34,Upgrade
7,Receivables,254012,207949,225247,179624,220299,221163,216427,168757,165291,158781,141129,159431,127486,150878,139998,155758,139260,134953,127673,175343,Upgrade
8,Inventory,383110,372090,365497,369499,358590,388649,371648,407417,410551,419162,448961,460879,522621,591665,598628,559998,538564,554616,561483,539572,Upgrade
9,Prepaid Expenses,1126,3311,3715,1112,1029,3362,4037,1074,555.45,1789,3294,1178,380.34,1496,2629,895.03,341.98,1831,3563,616.81,Upgrade
10,Other Current Assets,18550,15498,17428,24314,26391,20377,15888,17589,19655,21107,19306,15929,17690,20834,21016,19257,22201,24559,15705,13081,Upgrade
11,Total Current Assets,904085,836620,820602,877253,927671,859365,836721,888574,911258,805536,797096,854752,886325,879658,836611,895246,790208,803809,833324,847855,Upgrade
12,"Property, Plant & Equipment",160436,164949,167989,167333,171073,169011,174676,174875,176583,179741,182773,187372,190985,191718,197108,200371,198624,191892,187899,187737,Upgrade
13,Long-Term Investments,24996,24505,24228,24685,24385,24483,24395,24248,24203,88745,23457,23654,23688,23717,23805,25373,25208,24434,24112,23814,Upgrade
14,Other Intangible Assets,73945,74259,74573,73654,73928,74205,74482,74756,75031,75306,75581,75856,76131,76406,76681,76956,77231,77506,77781,78056,Upgrade
15,Long-Term Deferred Tax Assets,4559,3121,3060,3707,9523,1905,1763,2332,3155,1388,1455,3222,3305,1878,2099,1991,1770,1596,1705,1543,Upgrade
16,Other Long-Term Assets,53801,54405,54998,54155,54241,54683,55124,55561,55994,56436,56877,57714,57766,58626,58676,59532,59584,60418,61816,61313,Upgrade
17,Total Assets,1221822,1157858,1145450,1200787,1260821,1183652,1167162,1220347,1246225,1207152,1137240,1202571,1238201,1232003,1194980,1259469,1152625,1159656,1186636,1200318,Upgrade
18,Accounts Payable,64034,35888,37587,33114,43670,28329,32486,33058,51685,39929,27983,70024,71055,40705,40795,44252,44047,35495,29775,35017,Upgrade
19,Accrued Expenses,50450,45341,60401,36137,82895,66635,76581,43180,92016,97654,69451,72784,93386,103508,78101,68283,86311,85468,81790,88237,Upgrade
20,Short-Term Debt,-,-,-,-,-,-,-,22276,-,-,9941,43980,71337,124398,147598,171614,76589,101940,106413,128846,Upgrade
21,Current Income Taxes Payable,10326,5372,5123,2606,15645,8861,10066,3605,12254,11014,12456,10554,12496,9534,7682,10063,12723,8942,7860,10328,Upgrade
22,Current Unearned Revenue,-,4498,-,-,3262,0.4,0.4,8.75,28.45,43.35,110.6,150.95,186.75,190,185.4,178.8,2364,463.6,286.1,246.85,Upgrade
23,Other Current Liabilities,215435,214258,212450,221393,226274,214563,214335,283858,212853,216350,212706,216521,241172,214415,214679,212937,215123,212160,265792,212060,Upgrade
24,Total Current Liabilities,340246,305357,315561,293249,371747,318389,333468,385986,368836,364990,332648,414014,489633,492750,489040,507327,437157,444468,491916,474734,Upgrade
25,Other Long-Term Liabilities,4785,4783,4752,4805,4911,5215,5290,5336,5424,5193,5368,5245,5545,5608,5646,4795,4953,5406,5607,5489,Upgrade
26,Total Liabilities,345030,310140,320313,298054,376657,323604,338758,391322,374260,370183,338016,419259,495177,498358,494686,512122,442110,449874,497524,480224,Upgrade
27,Common Stock,640509,640509,640509,640509,640509,640509,640509,640509,640509,640509,265773,265773,265773,265773,265773,265773,265773,265773,265773,265773,Upgrade
28,Additional Paid-In Capital,880.7,880.7,880.7,880.7,880.7,880.7,880.7,880.7,880.7,880.7,16681,16681,16681,16681,16681,16681,16681,16681,16681,16681,Upgrade
29,Retained Earnings,170792,142402,119718,197712,180558,156125,124310,125453,168443,133248,454566,438941,398705,388823,354181,400165,363182,361246,338933,369794,Upgrade
