,Fiscal Quarter,Current,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020,H2 2019,+2 Quarters
,Period Ending,"Mar '25 Mar 13, 2025","Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020","Dec '19 Dec 31, 2019",+2 Quarters
0,Market Capitalization,1349,836,799,1136,1546,1447,1919,2713,633,513,384,Upgrade
1,Market Cap Growth,-26.37%,-26.37%,-48.36%,-21.51%,-19.42%,-46.68%,203.34%,428.48%,64.57%,-1.43%,-23.27%,Upgrade
2,Enterprise Value,633,213,251,806,1196,1274,1464,2297,364,364,181,Upgrade
3,Last Close Price,0.54,0.34,0.32,0.46,0.62,0.57,0.76,1.07,0.25,0.20,0.15,Upgrade
4,PE Ratio,12.55,7.79,5.26,7.53,7.13,5.29,10.35,19.39,6.97,-4.98,-,Upgrade
5,PS Ratio,1.33,0.83,0.67,0.86,1.04,0.91,1.46,2.54,0.67,0.60,0.46,Upgrade
6,PB Ratio,1.28,0.80,0.81,1.21,1.82,1.74,2.84,4.86,1.29,1.19,0.96,Upgrade
7,P/TBV Ratio,0.80,0.80,0.80,1.20,1.82,1.74,2.85,4.90,1.31,1.22,0.99,Upgrade
8,P/FCF Ratio,8.48,5.26,2.78,5.66,-,10.22,-,-,2.47,7.68,-,Upgrade
9,P/OCF Ratio,4.63,4.63,2.70,5.52,-,9.18,-,-,2.39,6.96,-,Upgrade
10,EV/Sales Ratio,0.62,0.21,0.21,0.61,0.80,0.80,1.12,2.15,0.39,0.43,0.21,Upgrade
11,EV/EBITDA Ratio,6.63,2.56,1.84,5.58,5.53,4.59,7.74,18.50,6.55,-9.68,-,Upgrade
12,EV/EBIT Ratio,8.68,2.96,1.99,6.11,5.92,4.81,8.29,20.73,8.72,-5.59,-,Upgrade
13,EV/FCF Ratio,3.98,1.34,0.88,4.02,-,9.00,-,-,1.42,5.45,-,Upgrade
14,Debt / Equity Ratio,0.03,0.03,0.02,0.01,0.03,0.03,0.03,0.04,0.02,0.03,0.04,Upgrade
15,Debt / FCF Ratio,0.22,0.22,0.09,0.07,-,0.16,-,-,0.03,0.17,-,Upgrade
16,Return on Capital Employed (ROCE),6.74%,6.74%,12.66%,13.97%,23.60%,31.53%,25.67%,19.32%,8.48%,-15.06%,-,Upgrade
17,Earnings Yield,7.96%,12.84%,19.02%,13.28%,14.03%,18.89%,9.66%,5.16%,14.36%,-20.07%,-55.26%,Upgrade
18,FCF Yield,11.79%,19.02%,35.92%,17.68%,7.59%,9.78%,-,-,40.43%,13.02%,-6.81%,Upgrade
19,Buyback Yield / Dilution,-0.01%,-0.03%,0.01%,-0.01%,-0.17%,-0.19%,-0.44%,-0.40%,-0.02%,-,0.00%,Upgrade
20,Total Shareholder Return,-0.01%,-0.03%,0.01%,-0.01%,-0.17%,-0.19%,-0.44%,-0.40%,-0.02%,-,0.00%,Upgrade
