,Fiscal Quarter,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020,H2 2019
,Period Ending,"Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020","Dec '19 Dec 31, 2019"
0,Cash & Equivalents,495.74,281.93,164.54,195.08,310.44,211.18,205.76,693.73,220.53,196.41
1,Short-Term Investments,32.29,52.37,58.63,43.34,77.06,180.26,463.8,30.18,30.17,-
2,Trading Asset Securities,64.47,61.59,81.85,99.8,89.94,294.98,814.44,767.12,743.16,880.01
3,Cash & Short-Term Investments,592.49,395.88,305.02,338.22,477.43,686.42,1484,1491,993.85,1076
4,Cash Growth,94.25%,17.05%,-36.11%,-50.73%,-67.83%,-53.96%,49.32%,38.52%,-8.20%,9.13%
5,Accounts Receivable,-,-,-,-,-,-,0.08,-,2.13,3.41
6,Other Receivables,62.83,38.96,30.88,21.49,19.07,14.75,39.13,33.69,41.95,25.33
7,Receivables,71.96,48.61,42.54,33.9,43.37,40.7,50.1,46.91,55.7,43.79
8,Prepaid Expenses,13.63,21.05,18.46,12.07,10.1,7.93,13.49,13.22,14.47,12.94
9,Restricted Cash,-,-,-,-,14.97,-,4.54,2.63,2.62,5.15
10,Other Current Assets,54.49,46.57,41.64,30.38,26.04,36.92,66.43,57.84,88.87,150.42
11,Total Current Assets,732.57,512.11,407.66,414.56,571.91,771.96,1619,1612,1156,1289
12,"Property, Plant & Equipment",320.32,231.73,212.66,252.1,184.6,244.02,1183,1044,1041,1096
13,Long-Term Investments,260.67,208.87,161.26,114.35,66.41,233.39,432.77,473.13,482.11,333.64
14,Other Intangible Assets,23.23,20.12,26.21,24.03,30.34,29.33,37.36,25.57,24.33,10.92
15,Long-Term Deferred Tax Assets,45.88,45.8,43.08,46.46,35.83,35.08,30.05,17.69,21.12,19
16,Long-Term Deferred Charges,-,4.17,-,4.32,-,4.32,-,7.85,-,4.89
17,Other Long-Term Assets,25.61,23.58,13.86,13.86,0.94,0.55,11.38,4.47,4.43,12.04
18,Total Assets,1408,1046,864.72,869.68,890.02,1319,3313,3184,2728,2765
19,Accounts Payable,-,0.47,-,0.71,0.22,0.26,28.05,0.2,-,-
20,Accrued Expenses,74.31,48.98,41.46,44.9,57.59,101.74,201.47,194.35,128.06,149.02
21,Short-Term Debt,-,-,-,-,95.5,333.22,208.33,200,-,-
22,Current Portion of Long-Term Debt,-,-,-,-,-,-,51.5,4,202,-
23,Current Portion of Leases,63.89,51.42,45.94,54.6,75.65,87.16,245.29,211.55,196.52,225.92
24,Current Income Taxes Payable,41.51,41.1,18.58,18.88,29.31,33.87,14.43,22.7,19.98,33.68
25,Current Unearned Revenue,458.43,211.78,161.51,151.2,144.79,191.73,775.47,797.08,531.28,775.07
26,Other Current Liabilities,35.69,57.2,49.33,48.58,34.12,69.84,130.42,96.98,88.04,51.19
27,Total Current Liabilities,673.83,410.95,316.82,318.87,437.18,817.83,1655,1527,1166,1235
28,Long-Term Debt,-,-,-,-,-,-,95.5,145,49.5,-
29,Long-Term Leases,210.18,138.99,119.76,144.93,94.99,150.22,878.32,716.32,727.42,733.47
30,Total Liabilities,884.01,549.94,436.57,463.79,532.16,968.05,2629,2388,1943,1968
31,Common Stock,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3
32,Additional Paid-In Capital,184.33,208.71,208.71,208.71,208.71,208.71,208.67,248.38,245.38,301.53
33,Retained Earnings,311.35,256.82,186.38,165.47,114.2,108.63,434.65,428.05,350.49,282.52
34,Comprehensive Income & Other,28.28,32.17,33.46,33.38,34.09,33.21,47.31,121.61,191.3,212.98
35,Total Common Equity,524.27,498.01,428.86,407.86,357.3,350.85,690.93,798.34,787.47,797.33
36,Minority Interest,-,-1.57,-0.71,-1.97,0.56,-0.25,-6.88,-2.47,-2.19,-0.67
37,Shareholders' Equity,524.27,496.44,428.15,405.89,357.86,350.6,684.05,795.87,785.28,796.66
38,Total Liabilities & Equity,1408,1046,864.72,869.68,890.02,1319,3313,3184,2728,2765
39,Total Debt,274.08,190.42,165.7,199.53,266.14,570.6,1479,1277,1175,959.39
40,Net Cash (Debt),318.42,205.47,139.33,138.69,211.3,115.81,5.06,214.17,-181.59,117.03
41,Net Cash Growth,128.54%,48.15%,-34.06%,19.75%,4079.17%,-45.92%,-,83.00%,-,-88.14%
42,Net Cash Per Share,0.42,0.27,0.19,0.18,0.28,0.15,0.01,0.27,-0.22,0.15
43,Filing Date Shares Outstanding,739.98,753.03,752.53,752.54,752.54,752.17,743.05,777.5,794.98,849.72
44,Total Common Shares Outstanding,739.98,753.03,752.53,752.54,752.54,752.17,743.05,777.5,794.98,849.72
45,Working Capital,58.75,101.16,90.84,95.7,134.74,-45.86,-36.4,84.77,-10.37,53.84
46,Book Value Per Share,0.71,0.66,0.57,0.54,0.47,0.47,0.93,1.03,0.99,0.94
47,Tangible Book Value,501.04,477.89,402.65,383.83,326.96,321.52,653.57,772.77,763.14,786.41
48,Tangible Book Value Per Share,0.68,0.63,0.54,0.51,0.43,0.43,0.88,0.99,0.96,0.93
49,Machinery,-,37.82,-,38.85,-,37.82,-,82.99,-,73.65
50,Leasehold Improvements,-,98.3,-,99.51,-,76.22,-,305.89,-,263.03
