,Fiscal Quarter,Current,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020,H2 2019
,Period Ending,"Mar '25 Mar 13, 2025","Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020","Dec '19 Dec 31, 2019"
0,Market Capitalization,3083,2294,1234,595,737,308,238,1023,2385,3076,3271
1,Market Cap Growth,285.87%,285.87%,67.35%,92.78%,210.16%,-69.85%,-90.03%,-66.74%,-27.10%,48.36%,57.45%
2,Enterprise Value,2740,2066,1083,435,491,166,223,766,2582,2944,3159
3,Last Close Price,4.18,3.10,1.62,0.78,0.97,0.41,0.32,1.31,2.90,3.49,3.65
4,PE Ratio,23.48,17.10,12.28,7.64,11.59,-0.81,-,10.50,15.49,24.53,21.57
5,Forward PE,16.92,2.06,2.06,2.06,2.06,2.06,2.06,5.28,12.06,13.89,18.86
6,PS Ratio,4.74,3.46,2.29,1.34,1.33,0.25,0.10,0.42,1.19,1.62,1.60
7,PB Ratio,5.49,4.07,2.26,1.29,1.61,0.74,0.55,1.24,2.52,3.57,3.67
8,P/TBV Ratio,4.26,4.26,2.34,1.37,1.70,0.81,0.60,1.30,2.60,3.67,3.72
9,P/FCF Ratio,5.65,4.21,4.09,5.65,-8.58,-,-,1.28,5.13,-,5.52
10,P/OCF Ratio,3.99,3.99,3.85,3.92,-20.42,-,-,1.10,4.45,-,4.66
11,PEG Ratio,0.60,0.60,0.60,0.60,0.60,0.60,0.60,0.60,0.60,0.60,0.60
12,EV/Sales Ratio,4.13,3.11,2.01,0.98,0.88,0.13,0.10,0.32,1.29,1.55,1.54
13,EV/EBITDA Ratio,9.86,9.67,6.43,12.54,-,0.93,0.70,3.25,22.57,13.85,10.50
14,EV/EBIT Ratio,14.49,10.82,7.47,27.51,-,1.34,0.98,5.38,99.22,-,14.32
15,EV/FCF Ratio,5.02,3.79,3.58,4.14,-5.71,-,-,0.96,5.55,-,5.33
16,Debt / Equity Ratio,0.52,0.52,0.38,0.39,0.49,0.74,1.63,2.16,1.60,1.50,1.20
17,Debt / FCF Ratio,0.54,0.54,0.69,1.70,-2.62,-,-,2.22,3.26,-,1.81
18,Return on Capital Employed (ROCE),24.20%,24.20%,20.70%,2.67%,-,23.34%,37.15%,7.13%,1.32%,-,12.89%
19,Earnings Yield,4.35%,5.85%,8.15%,13.08%,8.63%,-123.69%,-167.79%,9.52%,6.46%,4.08%,4.64%
20,FCF Yield,17.70%,23.78%,24.48%,17.69%,-11.66%,-156.96%,-94.42%,78.28%,19.50%,8.42%,18.10%
21,Buyback Yield / Dilution,-0.20%,-0.26%,-0.14%,0.06%,0.02%,2.23%,6.63%,5.83%,0.06%,-5.04%,-28.02%
22,Total Shareholder Return,0.63%,-0.26%,-0.14%,0.06%,0.02%,2.23%,6.63%,5.83%,0.06%,-5.04%,-28.02%
