,Fiscal Quarter,Current,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020,H2 2019,+2 Quarters
,Period Ending,"Mar '25 Mar 13, 2025","Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020","Dec '19 Dec 31, 2019",+2 Quarters
0,Market Capitalization,38,85,51,80,80,80,127,196,176,100,219,Upgrade
1,Market Cap Growth,6.66%,6.66%,-36.83%,0%,-37.00%,-59.09%,-27.54%,95.24%,-19.81%,-57.36%,-29.41%,Upgrade
2,Enterprise Value,146,193,80,161,244,244,290,295,337,132,191,Upgrade
3,Last Close Price,0.12,0.28,0.14,0.22,0.22,0.22,0.36,0.55,0.49,0.39,0.85,Upgrade
4,PE Ratio,-,-,-,-,-,-,-,-,-,6.65,2.64,Upgrade
5,PS Ratio,1.31,3.41,10.35,4.98,1.17,0.40,0.60,0.74,0.54,0.26,0.24,Upgrade
6,PB Ratio,0.21,0.59,0.31,0.48,0.35,0.31,0.37,0.22,0.20,0.13,0.28,Upgrade
7,P/TBV Ratio,0.48,0.48,0.26,0.39,0.32,0.28,0.36,0.24,0.22,0.14,0.31,Upgrade
8,P/FCF Ratio,-,-,-,1.53,15.02,-,-,-,-1.04,-,-,Upgrade
9,P/OCF Ratio,-,-,-,1.53,15.00,-,-,-,-1.04,-,-,Upgrade
10,EV/Sales Ratio,5.81,7.70,-,9.97,3.56,1.22,1.36,1.12,1.03,0.35,0.21,Upgrade
11,EV/EBITDA Ratio,-,-,-,-,-,-,-,-,17.75,2.91,1.18,Upgrade
12,EV/EBIT Ratio,-,-,-,-,-,-,-,-,18.73,2.97,1.19,Upgrade
13,EV/FCF Ratio,-,-,-,3.06,45.79,-,-,-,-2.00,-,-,Upgrade
14,Debt / Equity Ratio,1.09,1.09,1.00,0.79,0.64,0.63,0.43,0.17,0.15,0.18,0.05,Upgrade
15,Debt / FCF Ratio,-,-,-,2.53,26.95,-,-,-,-0.80,-,-,Upgrade
16,Return on Capital Employed (ROCE),-,-,-,-,-,-,-,-,1.95%,5.56%,19.65%,Upgrade
17,Earnings Yield,-84.40%,-37.47%,-100.58%,-62.10%,-78.65%,-638.95%,-386.79%,-9.59%,-5.26%,15.04%,37.90%,Upgrade
18,FCF Yield,-36.85%,-36.85%,15.99%,65.55%,6.66%,-84.58%,-85.59%,-30.15%,-96.26%,-198.06%,0.30%,Upgrade
19,Buyback Yield / Dilution,-7.28%,-14.57%,-,-,-,-,-39.16%,-39.46%,-0.22%,0.00%,-9.10%,Upgrade
20,Total Shareholder Return,-7.28%,-14.57%,-,-,-,-,-39.16%,-39.46%,-0.22%,0.00%,-9.10%,Upgrade
