,Fiscal Quarter,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020,H2 2019
,Period Ending,"Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020","Dec '19 Dec 31, 2019"
0,Revenue,468.36,502.38,505.43,464.12,495.78,602.51,625.8,517,367.46,745.61
1,Revenue Growth (YoY),-7.33%,8.24%,1.95%,-22.97%,-20.78%,16.54%,70.30%,-30.66%,-52.17%,-1.42%
2,Cost of Revenue,266.36,270,270,254.17,251.49,273.71,303.47,268.42,219.76,376.8
3,Gross Profit,202.01,232.38,235.43,209.95,244.29,328.79,322.33,248.58,147.71,368.82
4,"Selling, General & Admin",249.76,253,236.82,213.34,252.64,305.21,299.33,321.01,314.3,356.49
5,Other Operating Expenses,-0.11,-14.79,-3.12,0.84,-3.93,-10.26,-6.52,-0.97,-3.26,-11.22
6,Operating Expenses,249.64,238.22,233.71,214.18,248.71,294.95,292.8,320.04,311.04,345.27
7,Operating Income,-47.64,-5.84,1.72,-4.23,-4.42,33.85,29.52,-71.46,-163.33,23.55
8,Interest Expense,-9.66,-9.64,-9.96,-9.1,-9.83,-10.56,-10.74,-14.56,-11.32,-16.44
9,Interest & Investment Income,0.95,0.82,0.42,0.2,0.2,0.3,0.56,0.44,0.67,0.25
10,Currency Exchange Gain (Loss),-1.95,1.89,-1.75,-7.89,-1.58,1.37,0.8,6.58,-4.06,-1.54
11,EBT Excluding Unusual Items,-58.3,-12.78,-9.57,-21.02,-15.64,24.95,20.14,-79,-178.05,5.82
12,Impairment of Goodwill,-,-,-,-,-,-0.69,-,-,-,-
13,Gain (Loss) on Sale of Assets,4.52,0.54,3.49,-0.17,-0.88,-0.27,5.74,-1.1,-2.28,-0.53
14,Asset Writedown,-,-,-,-,-,-6.9,-,-,-,-
15,Legal Settlements,-,-,-,-,-,2.13,-,-2.33,-,-
16,Other Unusual Items,-,0.06,-,3.26,-,2,-,53.09,75.79,5.11
17,Pretax Income,-53.78,-12.17,-6.07,-17.93,-16.51,21.23,25.89,-29.34,-104.53,10.41
18,Income Tax Expense,0.92,0.22,1.33,-4.12,6.17,5.4,10.09,7.2,-4.71,3.95
19,Earnings From Continuing Operations,-54.7,-12.39,-7.4,-13.82,-22.69,15.84,15.8,-36.54,-99.82,6.46
20,Minority Interest in Earnings,3.93,1.8,1.14,3.82,-0.46,0.77,-0.24,2.08,3.14,1.43
21,Net Income,-50.77,-10.59,-6.26,-10,-23.14,16.6,15.56,-34.46,-96.68,7.89
22,Preferred Dividends & Other Adjustments,-,-,-,-,-,0.76,-0.76,-,-,-
23,Net Income to Common,-50.77,-10.59,-6.26,-10,-23.14,15.84,16.31,-34.46,-96.68,7.89
24,Net Income Growth,-,-,-,-,-,-,-,-,-,-84.15%
25,Shares Outstanding (Basic),400,400,400,400,400,400,400,400,392,300
26,Shares Outstanding (Diluted),400,400,400,400,400,400,400,400,392,300
27,Shares Change (YoY),-,-,-,-,-,0.00%,2.13%,33.33%,30.56%,-
28,EPS (Basic),-0.13,-0.03,-0.02,-0.02,-0.06,0.04,0.04,-0.09,-0.25,0.03
29,EPS (Diluted),-0.13,-0.03,-0.02,-0.02,-0.06,0.04,0.04,-0.09,-0.25,0.03
30,Free Cash Flow,21.09,78.99,84.06,196.42,-28.78,1.18,171.58,267.65,83.89,147.82
31,Free Cash Flow Per Share,0.05,0.20,0.21,0.49,-0.07,0.00,0.43,0.67,0.21,0.49
32,Operating Margin,-10.17%,-1.16%,0.34%,-0.91%,-0.89%,5.62%,4.72%,-13.82%,-44.45%,3.16%
33,Profit Margin,-10.84%,-2.11%,-1.24%,-2.15%,-4.67%,2.63%,2.61%,-6.67%,-26.31%,1.06%
34,Free Cash Flow Margin,4.50%,15.72%,16.63%,42.32%,-5.80%,0.20%,27.42%,51.77%,22.83%,19.83%
35,EBITDA,-28.59,22.03,14.74,10.65,12.02,57.96,52.48,-39.08,-130.57,54.7
36,D&A For EBITDA,19.05,27.87,13.02,14.88,16.44,24.11,22.96,32.38,32.76,31.15
37,EBIT,-47.64,-5.84,1.72,-4.23,-4.42,33.85,29.52,-71.46,-163.33,23.55
38,Advertising Expenses,15.97,-,6.27,-,9.36,-,8.02,-,7.72,-
