,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021"
0,Operating Revenue,292.53,168.92,116.44,268.26,280.68,260.54,303.88,300.73,300.73,628.84,291.69,566.21,566.21,323.41,323.41
1,Other Revenue,-1.28,1.28,-,3.46,-1.75,1.75,-,1.49,1.49,3.38,-,-0.82,-0.82,0.82,0.82
2,Revenue,291.26,170.2,116.44,271.72,278.93,262.29,303.88,302.23,302.23,632.22,291.69,565.39,565.39,324.23,324.23
3,Revenue Growth (YoY),4.42%,-35.11%,-61.68%,-10.09%,-7.71%,-58.51%,4.18%,-46.55%,-46.55%,94.99%,-10.04%,-,-,-,-
4,Cost of Revenue,246.68,143.88,90.7,191.61,198.63,189.1,226.01,220.09,220.09,441.01,218.38,433.95,433.95,240.55,240.55
5,Gross Profit,44.57,26.32,25.75,80.1,80.3,73.19,77.87,82.13,82.13,191.21,73.31,131.44,131.44,83.69,83.69
6,"Selling, General & Admin",11.4,11.17,9.69,14.47,14.47,21.21,9.45,11.66,11.66,13.23,10.37,13.59,13.59,11.19,11.19
7,Research & Development,16.09,10.03,8.47,8.56,10.09,11.62,10.63,10.4,10.4,18.58,14.93,24.87,24.87,6.14,6.14
8,Other Operating Expenses,-12.23,4.25,0.17,-2.97,-0.67,-1.06,-0.04,-0.39,-0.39,1.15,-0.75,-2.01,-2.01,2.76,2.76
9,Operating Expenses,74.26,26.11,22.9,78.28,28.94,33.82,23.61,33.38,33.38,44.57,28.68,44.59,44.59,11.96,11.96
10,Operating Income,-29.69,0.21,2.85,1.82,51.37,39.38,54.26,48.75,48.75,146.63,44.64,86.85,86.85,71.72,71.72
11,Interest Expense,-0.05,-,-,-0.21,-,-0.21,-,-0.1,-0.1,-0.42,-,-0.55,-0.55,-0.08,-0.08
12,Interest & Investment Income,3.62,6.78,8.12,34.91,10.48,12.3,2.3,3.91,3.91,1.91,3.08,0.08,0.08,9.71,9.71
13,Currency Exchange Gain (Loss),0.26,-0.26,-,0.11,-0.04,0.04,-,-0.08,-0.08,-0.01,-,0,0,-0,-0
14,Other Non Operating Income (Expenses),0.85,-0.68,-0.05,-10.03,-0.08,0.17,0.02,-0.5,-0.5,-0.84,0.56,-0.57,-0.57,-0.01,-0.01
15,EBT Excluding Unusual Items,-25.01,6.06,10.92,26.6,61.72,51.68,56.57,51.98,51.98,147.27,48.28,85.82,85.82,81.33,81.33
16,Gain (Loss) on Sale of Investments,-,3.1,3.14,5.21,-,-,-,-,-,-0.15,-,0.07,0.07,-7.59,-7.59
17,Gain (Loss) on Sale of Assets,0,-0,-,-,-,0.58,-,-,-,-,0.29,-,-,0.01,0.01
18,Asset Writedown,1.44,-5.29,5.29,-0.27,0.27,0.21,-0.21,-,-,0.45,-0.45,0.27,0.27,-,-
19,Other Unusual Items,-12.6,12.51,0,6.29,-,-,-,10.87,10.87,-,-,-0.14,-0.14,0.14,0.14
20,Pretax Income,-36.17,16.38,19.35,38.02,62,52.47,56.37,62.88,62.88,147.71,48.12,86,86,73.91,73.91
21,Income Tax Expense,-9.26,-2.12,4.1,6.63,7.35,6.01,6.87,4.75,4.75,22.32,6.52,8.47,8.47,11.13,11.13
22,Net Income,-26.91,18.5,15.25,31.38,54.65,46.46,49.5,58.13,58.13,125.39,41.61,77.53,77.53,62.78,62.78
23,Net Income to Common,-26.91,18.5,15.25,31.38,54.65,46.46,49.5,58.13,58.13,125.39,41.61,77.53,77.53,62.78,62.78
24,Net Income Growth,-,-60.17%,-69.20%,-46.01%,-5.98%,-62.95%,18.98%,-25.03%,-25.03%,99.72%,-33.73%,-,-,-,-
25,Shares Outstanding (Basic),627,470,712,613,638,625,495,496,496,531,485,520,520,463,463
26,Shares Outstanding (Diluted),627,470,712,613,638,625,495,496,496,531,485,520,520,463,463
27,Shares Change (YoY),-1.63%,-24.81%,43.92%,23.68%,28.64%,17.67%,1.96%,-4.60%,-4.60%,14.75%,4.93%,-,-,-,-
28,EPS (Basic),-0.04,0.04,0.02,0.05,0.09,0.07,0.10,0.12,0.12,0.24,0.09,0.15,0.15,0.14,0.14
29,EPS (Diluted),-0.04,0.04,0.02,0.05,0.09,0.07,0.10,0.12,0.12,0.24,0.09,0.15,0.15,0.14,0.14
30,EPS Growth,-,-47.03%,-78.60%,-56.35%,-26.92%,-68.51%,16.69%,-21.41%,-21.41%,74.04%,-36.85%,-,-,-,-
31,Free Cash Flow,31.01,-62.95,-83.97,58.21,5.24,131.45,-66.26,-41.65,-41.65,-28.71,-51.21,-43.43,-43.43,68.36,68.36
32,Free Cash Flow Per Share,0.05,-0.13,-0.12,0.09,0.01,0.21,-0.13,-0.08,-0.08,-0.05,-0.11,-0.08,-0.08,0.15,0.15
33,Dividend Per Share,-,-,-,0.143,-,-,-,-,-,-,-,-,-,-,-
34,Gross Margin,15.30%,15.46%,22.11%,29.48%,28.79%,27.91%,25.63%,27.18%,27.18%,30.24%,25.13%,23.25%,23.25%,25.81%,25.81%
35,Operating Margin,-10.19%,0.12%,2.45%,0.67%,18.42%,15.01%,17.86%,16.13%,16.13%,23.19%,15.30%,15.36%,15.36%,22.12%,22.12%
36,Profit Margin,-9.24%,10.87%,13.09%,11.55%,19.59%,17.71%,16.29%,19.23%,19.23%,19.83%,14.26%,13.71%,13.71%,19.36%,19.36%
37,Free Cash Flow Margin,10.65%,-36.99%,-72.11%,21.42%,1.88%,50.12%,-21.80%,-13.78%,-13.78%,-4.54%,-17.56%,-7.68%,-7.68%,21.08%,21.08%
38,EBITDA,-23.36,12.88,9.18,8.16,57.57,45.54,60.46,54.95,54.95,152.84,50.85,92.83,92.83,78.17,78.17
39,EBITDA Margin,-8.02%,7.57%,7.88%,3.00%,20.64%,17.36%,19.90%,18.18%,18.18%,24.17%,17.43%,16.42%,16.42%,24.11%,24.11%
40,D&A For EBITDA,6.33,12.68,6.33,6.33,6.2,6.16,6.2,6.2,6.2,6.21,6.22,5.99,5.99,6.45,6.45
41,EBIT,-29.69,0.21,2.85,1.82,51.37,39.38,54.26,48.75,48.75,146.63,44.64,86.85,86.85,71.72,71.72
42,EBIT Margin,-10.19%,0.12%,2.45%,0.67%,18.42%,15.01%,17.86%,16.13%,16.13%,23.19%,15.30%,15.36%,15.36%,22.12%,22.12%
43,Effective Tax Rate,-,-,21.21%,17.45%,11.85%,11.45%,12.18%,7.55%,7.55%,15.11%,13.54%,9.85%,9.85%,15.05%,15.05%
44,Revenue as Reported,291.26,170.2,116.44,1117,278.93,262.29,303.88,302.23,302.23,632.22,291.69,-,-,-,-
