,Fiscal Quarter,Current,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021
,Period Ending,"Mar '25 Mar 12, 2025","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021"
0,Market Capitalization,6542,6091,5638,6723,7362,7960,9180,-,-,-,-,-,-,-,-,-
1,Market Cap Growth,-23.49%,-23.49%,-38.58%,-,-,-,-,-,-,-,-,-,-,-,-,-
2,Enterprise Value,4801,4252,3733,4822,5461,5958,7211,-,-,-,-,-,-,-,-,-
3,Last Close Price,10.43,9.70,8.81,10.50,11.50,12.43,14.19,-,-,-,-,-,-,-,-,-
4,PE Ratio,111.82,-,47.07,45.51,40.45,38.14,43.26,-,-,-,-,-,-,-,-,-
5,PS Ratio,5.03,7.17,6.73,7.23,6.59,6.94,7.84,-,-,-,-,-,-,-,-,-
6,PB Ratio,2.21,2.05,1.88,2.18,2.39,-,3.07,-,-,-,-,-,-,-,-,-
7,P/TBV Ratio,2.10,2.10,1.92,2.22,2.45,-,3.14,-,-,-,-,-,-,-,-,-
8,P/FCF Ratio,-,-105.56,-,-,57.23,276.55,-507.22,-,-,-,-,-,-,-,-,-
9,P/OCF Ratio,446.69,446.69,-,-,31.31,42.23,52.35,-,-,-,-,-,-,-,-,-
10,EV/Sales Ratio,5.65,5.00,4.46,5.19,4.89,5.19,6.16,-,-,-,-,-,-,-,-,-
11,EV/EBITDA Ratio,366.97,-,42.53,40.03,31.80,27.27,33.40,-,-,-,-,-,-,-,-,-
12,EV/EBIT Ratio,-,-,66.38,50.53,37.19,30.75,37.73,-,-,-,-,-,-,-,-,-
13,EV/FCF Ratio,-83.21,-73.69,-,-,42.45,207.00,-398.41,-,-,-,-,-,-,-,-,-
14,Debt / Equity Ratio,-,-,-,-,-,-,-,-,-,-,0.00,-,-,-,-,-
15,Debt / EBITDA Ratio,-,-,-,-,-,-,-,-,-,-,0.00,-,-,-,-,-
16,Asset Turnover,0.31,0.17,-,0.28,-,0.26,0.35,0.44,0.45,-,-,0.86,0.88,0.51,-,
17,Inventory Turnover,-,3.70,2.29,-,3.30,-,3.08,3.13,2.48,2.44,-,-,4.08,3.50,1.69,-
18,Quick Ratio,3.58,3.58,3.07,3.43,3.41,-,2.92,2.52,1.16,1.16,1.09,-,1.05,1.05,0.80,0.80
19,Current Ratio,4.37,4.37,3.71,4.02,4.01,-,3.50,2.94,1.67,1.67,1.65,-,1.59,1.59,1.51,1.51
20,Return on Equity (ROE),-3.61%,2.43%,-,4.08%,-,6.17%,8.76%,15.64%,16.28%,38.99%,-,25.78%,27.76%,24.36%,-,
21,Return on Assets (ROA),-1.96%,0.01%,-,0.12%,-,2.42%,3.91%,4.46%,4.52%,-,-,8.27%,8.40%,7.05%,-,
22,Return on Capital (ROIC),-2.49%,0.02%,-,0.15%,-,3.27%,6.00%,8.20%,8.53%,28.49%,-,18.05%,19.44%,17.39%,-,
23,Return on Capital Employed (ROCE),-,-,1.87%,3.09%,4.77%,-,6.39%,9.83%,19.41%,21.97%,26.60%,-,26.32%,19.11%,13.90%,6.95%
24,Earnings Yield,0.58%,0.63%,2.12%,2.20%,2.47%,2.62%,2.31%,-,-,-,-,-,-,-,-,-
25,FCF Yield,-0.88%,-0.95%,-1.48%,1.65%,1.75%,0.36%,-0.20%,-,-,-,-,-,-,-,-,-
26,Dividend Yield,1.33%,-,-,-,1.24%,-,-,-,-,-,-,-,-,-,-,-
27,Payout Ratio,224.01%,-,-,-,3.96%,162.42%,-,-,-,-,-,-,-,-,250.87%,250.87%
28,Buyback Yield / Dilution,27.25%,1.63%,24.81%,-43.92%,-23.68%,-28.64%,-17.67%,-1.96%,4.60%,4.60%,-14.75%,-4.93%,-,-,-,-
29,Total Shareholder Return,28.58%,1.63%,24.81%,-43.92%,-22.44%,-28.64%,-17.67%,-1.96%,4.60%,4.60%,-14.75%,-4.93%,-,-,-,-
