,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021"
0,Cash & Equivalents,569.17,1090,1497,1563,-,2002,1969,504.37,504.37,584.7,-,597.13,597.13,633.82,633.82
1,Trading Asset Securities,1172,748.89,408.35,405.21,-,-,-,-,-,-,-,8.15,8.15,11.5,11.5
2,Cash & Short-Term Investments,1741,1839,1905,1968,-,2002,1969,504.37,504.37,584.7,605.28,605.28,605.28,645.32,645.32
3,Cash Growth,-,-8.16%,-3.25%,290.25%,-,242.42%,225.33%,-16.67%,-16.67%,-9.39%,-6.20%,-,-,-,-
4,Accounts Receivable,757.62,847.31,789.03,782.79,-,734.26,954.01,926.06,926.06,823.37,-,871.68,871.68,566.92,566.92
5,Other Receivables,3.81,2.66,83.33,6.1,-,0.75,9,9.01,9.01,1.4,-,12.64,12.64,0.12,0.12
6,Receivables,761.43,849.96,872.36,788.88,-,735.01,963.01,935.07,935.07,824.78,-,884.32,884.32,567.05,567.05
7,Inventory,287.19,246.28,255.31,232.13,-,267.66,223.5,354.69,354.69,367.72,-,425.15,425.15,567.99,567.99
8,Prepaid Expenses,-,0.76,-,-,-,0.73,-,-,-,1.09,-,-,-,-,-
9,Other Current Assets,268.86,307.82,229.46,253.27,-,275,266.23,284.22,284.22,351.39,-,348.32,348.32,503.49,503.49
10,Total Current Assets,3059,3244,3262,3243,-,3281,3422,2078,2078,2130,-,2263,2263,2284,2284
11,"Property, Plant & Equipment",523.46,526.18,536.45,545.09,-,519.25,598.04,500.57,500.57,311.16,-,203.27,203.27,209.62,209.62
12,Other Intangible Assets,66.94,67.41,67.86,68.23,-,68.2,68.49,69.16,69.16,70.06,-,32.93,32.93,31.59,31.59
13,Long-Term Accounts Receivable,-,3.32,-,-,-,27.85,31.22,31.22,31.22,48.99,-,-,-,-,-
14,Long-Term Deferred Tax Assets,45.03,34.9,28.39,28.97,-,20.56,21.72,20.17,20.17,16.45,-,14.37,14.37,9.86,9.86
15,Long-Term Deferred Charges,-,-,-,-,-,-,0.01,-,-,-,-,-,-,-,-
16,Other Long-Term Assets,4.23,5.09,8.51,1.33,-,11.73,55.71,33.59,33.59,88.4,-,112.81,112.81,7.09,7.09
17,Total Assets,3698,3881,3903,3886,-,3928,4197,2733,2733,2665,-,2626,2626,2542,2542
18,Accounts Payable,283.18,341.47,346.04,337.5,-,356.4,424.09,520.33,520.33,460.15,-,363.64,363.64,241.33,241.33
19,Accrued Expenses,6.69,27.36,14.25,18.72,-,13.18,5.39,57.85,57.85,48.26,-,18.5,18.5,56.49,56.49
20,Short-Term Debt,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-
21,Current Income Taxes Payable,5.53,4.39,13.54,13.84,-,4.57,52.39,15.68,15.68,31.16,-,46.04,46.04,9.16,9.16
22,Current Unearned Revenue,304.95,317.99,313.93,217.9,-,322.16,491.77,487.16,487.16,579.59,-,796.03,796.03,999.13,999.13
23,Other Current Liabilities,99.51,183.23,122.8,220.05,-,240.44,188.55,163.95,163.95,172.68,-,197.27,197.27,203.92,203.92
24,Total Current Liabilities,699.86,874.44,810.56,808.01,-,936.74,1162,1245,1245,1293,-,1421,1421,1510,1510
25,Long-Term Unearned Revenue,31.86,2.64,2.67,2.71,-,1.91,1.94,1.97,1.97,2.04,-,2.1,2.1,0.98,0.98
26,Total Liabilities,731.72,877.08,813.24,810.72,-,938.65,1164,1247,1247,1295,-,1424,1424,1511,1511
27,Common Stock,629.54,450,450,450,-,450,450,360,360,360,-,360,360,360,360
28,Additional Paid-In Capital,1795,1974,1974,1974,-,1974,1974,566.76,566.76,566.76,-,566.76,566.76,567.03,567.03
29,Retained Earnings,568.41,595.32,666.58,651.34,-,565.31,608.86,559.34,559.34,443.09,-,276.1,276.1,103.97,103.97
30,Treasury Stock,-26,-16,-0.5,-,-,-,-,-,-,-,-,-,-,-,-
31,Shareholders' Equity,2967,3003,3090,3075,-,2989,3033,1486,1486,1370,1203,1203,1203,1031,1031
32,Total Liabilities & Equity,3698,3881,3903,3886,-,3928,4197,2733,2733,2665,-,2626,2626,2542,2542
33,Total Debt,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-
34,Net Cash (Debt),1741,1839,1905,1968,-,2002,1969,504.37,504.37,583.7,605.28,605.28,605.28,645.32,645.32
35,Net Cash Growth,-,-8.16%,-3.25%,290.25%,-,243.00%,225.33%,-16.67%,-16.67%,-9.55%,-6.20%,-,-,-,-
36,Net Cash Per Share,2.78,3.91,2.67,3.21,-,3.20,3.98,1.02,1.02,1.10,1.25,1.16,1.16,1.39,1.39
37,Filing Date Shares Outstanding,627.24,628.38,712.42,630,637.66,630,630,504,504,630,485.49,519.57,519.57,504,504
38,Total Common Shares Outstanding,627.24,628.38,712.42,630,637.66,630,630,504,504,630,485.49,519.57,519.57,504,504
39,Working Capital,2359,2369,2452,2435,-,2344,2260,833.37,833.37,836.84,-,841.59,841.59,773.82,773.82
40,Book Value Per Share,4.73,4.78,4.34,4.88,-,4.75,4.81,2.95,2.95,2.17,2.46,2.32,2.32,2.05,2.05
41,Tangible Book Value,2900,2936,3022,3007,-,2921,2965,1417,1417,1300,1170,1170,1170,999.4,999.4
42,Tangible Book Value Per Share,4.62,4.67,4.24,4.77,-,4.64,4.71,2.81,2.81,2.06,2.39,2.25,2.25,1.98,1.98
43,Buildings,-,336.92,-,336.12,-,157.93,-,157.93,157.93,157.94,-,-,-,154.07,154.07
44,Machinery,-,517.24,-,515.83,-,323.34,-,321.56,321.56,321.48,-,-,-,318.44,318.44
45,Construction In Progress,-,22.89,-,19.47,-,351.41,-,323.86,323.86,122.64,-,-,-,6.57,6.57
