,Fiscal Quarter,Current,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Q2 2017,Q1 2017,Q2 2016,Q1 2016
,Period Ending,"Mar '25 Mar 12, 2025","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020","Jun '17 Jun 30, 2017","Mar '17 Mar 31, 2017","Jun '16 Jun 30, 2016","Mar '16 Mar 31, 2016"
0,Market Capitalization,12141,6645,3983,5106,6041,6734,6553,-,-,-,-,-,-,-,-,-,-,-,-,-
1,Market Cap Growth,-1.33%,-1.33%,-39.22%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2,Enterprise Value,12966,6726,3884,4831,5765,6305,6824,-,-,-,-,-,-,-,-,-,-,-,-,-
3,Last Close Price,55.52,30.25,18.09,23.02,27.23,30.36,29.54,-,-,-,-,-,-,-,-,-,-,-,-,-
4,PE Ratio,84.45,46.20,26.32,35.17,42.51,49.43,47.58,-,-,-,-,-,-,-,-,-,-,-,-,-
5,PS Ratio,8.28,4.53,2.80,3.89,5.12,6.34,6.75,-,-,-,-,-,-,-,-,-,-,-,-,-
6,PB Ratio,7.08,3.61,2.26,2.96,3.56,4.11,4.06,-,-,-,-,-,-,-,-,-,-,-,-,-
7,P/TBV Ratio,6.51,6.51,2.34,3.00,3.60,4.13,4.09,-,-,-,-,-,-,-,-,-,-,-,-,-
8,P/FCF Ratio,-,-,-,-,-19.11,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
9,P/OCF Ratio,-,-,-21.95,-,-26.39,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
10,EV/Sales Ratio,8.84,4.58,2.73,3.68,4.89,5.94,7.03,-,-,-,-,-,-,-,-,-,-,-,-,-
11,EV/EBITDA Ratio,75.12,39.11,22.47,28.93,34.83,40.46,41.32,-,-,-,-,-,-,-,-,-,-,-,-,-
12,EV/EBIT Ratio,78.78,40.87,23.44,30.07,36.17,42.05,42.84,-,-,-,-,-,-,-,-,-,-,-,-,-
13,EV/FCF Ratio,-13.50,-,-,-,-18.24,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
14,Debt / Equity Ratio,0.41,0.41,0.29,0.16,0.10,0.12,0.23,0.43,0.43,-,-,0.39,0.24,0.24,0.24,0.24,0.02,0.02,-,-
15,Debt / EBITDA Ratio,4.38,7.21,2.62,1.80,0.69,1.87,2.21,1.88,1.40,-,-,1.50,0.93,0.93,1.04,1.04,0.07,0.07,-,-
16,Debt / FCF Ratio,-,-,-,-,-0.52,-,-,-,-2.15,-,-,-,-,-,-64.23,-3.95,-,-,-,-
17,Asset Turnover,0.55,0.68,0.66,0.73,0.61,-,-,-,-,-,-,0.97,1.02,0.77,-,2.16,-,-,-,
18,Inventory Turnover,39.98,35.53,38.64,38.31,47.48,48.06,-,-,-,-,-,-,29.13,32.27,25.13,-,101.36,-,-,-
19,Quick Ratio,0.94,0.94,2.11,2.54,3.55,3.82,3.34,-,1.21,-,-,-,2.53,2.53,2.09,2.09,2.04,2.04,-,-
20,Current Ratio,2.01,2.01,3.58,4.90,6.17,5.81,4.74,-,2.42,-,-,-,3.82,3.82,3.21,3.21,3.15,3.15,-,-
21,Return on Equity (ROE),4.19%,9.15%,7.56%,12.80%,6.49%,11.64%,18.36%,-,-,-,-,23.56%,25.10%,19.35%,-,18.13%,-,-,-,
22,Return on Assets (ROA),2.32%,4.96%,4.42%,7.09%,3.09%,-,-,-,-,-,-,11.09%,11.65%,9.61%,-,8.76%,-,-,-,
23,Return on Capital (ROIC),2.52%,5.30%,4.81%,7.77%,3.35%,6.89%,9.65%,-,-,-,-,12.92%,13.77%,11.52%,-,11.68%,-,-,-,
24,Return on Capital Employed (ROCE),8.54%,8.54%,8.96%,9.07%,9.06%,8.79%,9.26%,-,20.58%,-,-,-,19.59%,15.32%,12.68%,9.02%,18.09%,13.34%,-,-
25,Earnings Yield,1.18%,2.16%,3.80%,2.84%,2.35%,2.02%,2.10%,-,-,-,-,-,-,-,-,-,-,-,-,-
26,FCF Yield,-7.91%,-14.45%,-10.48%,-7.57%,-5.23%,-5.05%,-3.52%,-,-,-,-,-,-,-,-,-,-,-,-,-
27,Dividend Yield,0.22%,-,-,-,0.45%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
28,Payout Ratio,28.18%,34.66%,74.86%,7.30%,3.40%,9.48%,11.75%,9.57%,8.27%,10.33%,10.66%,10.66%,5.02%,5.02%,6.65%,6.65%,19.38%,19.38%,0.13%,0.13%
29,Buyback Yield / Dilution,-19.24%,-85.91%,23.66%,-33.33%,-30.99%,27.33%,-69.58%,0.92%,-1.51%,2.45%,-2.59%,-2.59%,-146.47%,-146.47%,-423.53%,-423.53%,-,-,-,-
30,Total Shareholder Return,-19.02%,-85.91%,23.66%,-33.33%,-30.54%,27.33%,-69.58%,0.92%,-1.51%,2.45%,-2.59%,-2.59%,-146.47%,-146.47%,-423.53%,-423.53%,-,-,-,-
