,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Q4 2019
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Jan '22 Jan 1, 2022","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020","Dec '19 Dec 31, 2019"
0,Cash & Equivalents,159.6,346.97,299.39,142.91,124.22,80.24,65.65,103.69,76.63,80.07,64.26,234.02,444.99,551.6,786.26,874.15,87.14,79.66,-,104.15
1,Trading Asset Securities,280.26,30.04,119.68,312.9,320.31,367.44,344.77,301.73,350.69,398.67,472.91,383.25,193.54,154.2,-,-,-,5,-,-
2,Cash & Short-Term Investments,439.86,377,419.08,455.81,444.53,447.68,410.42,405.43,427.31,478.75,537.17,617.27,638.53,705.81,786.26,874.15,87.14,84.66,104.15,104.15
3,Cash Growth,-1.05%,-15.79%,2.11%,12.43%,4.03%,-6.49%,-23.60%,-34.32%,-33.08%,-32.17%,-31.68%,-29.39%,632.75%,733.71%,654.95%,739.34%,-,-,-,-
4,Accounts Receivable,354.18,340.01,344.98,362.02,356.31,314.93,199.48,180.16,186.83,177.7,167.2,152.49,177.12,171.58,178.6,139.38,121.96,114.72,-,116.55
5,Other Receivables,0.52,0.6,0.63,0.59,0.63,0.6,0.58,0.52,0.72,0.81,0.71,0.52,0.58,0.53,0.58,0.62,6.08,5.03,-,4.55
6,Receivables,354.7,340.61,345.62,362.62,356.94,315.53,200.06,180.68,187.55,178.51,167.9,153,177.7,172.11,179.18,140,128.04,119.75,-,121.1
7,Inventory,198.6,226.95,211.99,177.69,172,160.32,129.3,124,114.71,127.47,148.37,112.82,123.87,112.67,130.77,96.72,81.96,78.14,-,79.83
8,Prepaid Expenses,-,-,-,0,-,-,-,12.12,-,-,-,-,-,-,-,-,-,-,-,-
9,Other Current Assets,11.55,8.59,19.63,14.54,16.42,12.66,20.42,8.33,22.75,15.8,29.93,14.72,10.03,3.98,9.21,7.73,25.27,4.26,-,3.51
10,Total Current Assets,1005,953.15,996.32,1011,989.9,936.19,760.2,730.55,752.32,800.53,883.37,897.82,950.13,994.56,1105,1119,322.41,286.82,-,308.58
11,"Property, Plant & Equipment",744.05,743.94,723.2,713.77,699.44,707.89,661.69,658,582.5,570.59,501.75,441.63,238.52,211.02,192.4,181.14,152.55,138.58,-,121.87
12,Long-Term Investments,2.24,2.3,2.38,2.43,2.46,2.48,-,-,-,-,-,-,-,-,-,-,-,-,-,-
13,Goodwill,220,220,220,220,221.6,221.6,1.61,1.61,1.61,1.61,1.61,-,-,-,-,-,-,-,-,-
14,Other Intangible Assets,59.4,61.38,58.62,60.16,61.07,62.78,17.42,17.73,18.05,18.06,18.37,11.65,11.02,11.21,11.08,10.97,10.75,10.9,-,11.2
15,Long-Term Deferred Tax Assets,2.35,4.42,3.85,2.93,-,-,1.54,1.37,1.51,1.4,1.53,1.34,1.29,1.13,1.35,1.05,1.08,0.91,-,1.08
16,Long-Term Deferred Charges,5.58,6.37,7.16,7.95,8.25,9.02,9.81,10.27,11.06,11.88,8.69,9.28,9.38,9.86,9.19,2.2,2.34,2.27,-,0.59
