,Fiscal Quarter,Current,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Q4 2019
,Period Ending,"Mar '25 Mar 13, 2025","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Jan '22 Jan 1, 2022","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020","Dec '19 Dec 31, 2019"
0,Market Capitalization,4956,5516,5009,2540,3417,3584,3015,2514,2164,2259,2622,2926,3669,3830,4238,4238,4077,-,-,-,-
1,Market Cap Growth,53.90%,53.90%,66.11%,1.04%,57.86%,58.64%,14.99%,-14.07%,-41.01%,-41.02%,-38.12%,-30.95%,-10.01%,-,-,-,-,-,-,-,-
2,Enterprise Value,4595,5191,4616,2123,3008,3170,2635,2139,1756,1800,2099,2310,3032,3125,3452,4151,3990,-,-,-,-
3,Last Close Price,27.87,31.02,28.41,14.17,19.05,19.99,18.40,16.95,14.59,15.24,17.68,19.28,24.17,25.23,27.92,27.50,26.46,-,-,-,-
4,PE Ratio,45.66,51.97,43.89,22.60,34.34,42.89,52.72,62.37,46.15,37.10,34.15,30.71,35.54,36.01,36.52,36.22,39.06,-,-,-,-
5,PS Ratio,3.50,3.99,3.60,1.90,2.85,3.49,3.46,3.20,2.73,2.82,3.25,3.72,4.75,5.10,5.76,5.76,6.07,-,-,-,-
6,PB Ratio,2.71,2.97,2.76,1.37,1.87,2.00,1.72,1.92,1.67,1.76,2.05,2.22,2.85,3.03,3.42,3.31,3.25,-,-,-,-
7,P/TBV Ratio,3.56,3.56,3.32,1.63,2.24,2.41,2.07,1.98,1.72,1.81,2.11,2.28,2.88,3.06,3.45,3.33,3.28,-,-,-,-
8,P/FCF Ratio,183.01,203.68,-831.44,-,-205.56,-,-,-43.61,-,-,-13.58,-,-,-,-,-,-,-,-,-,-
9,P/OCF Ratio,49.46,49.46,65.89,-,67.53,107.11,-,61.96,-62.04,-,22.80,-,27.34,-,335.12,-,66.34,-,-,-,-
10,EV/Sales Ratio,3.32,3.75,3.32,1.59,2.51,3.09,3.02,2.72,2.22,2.25,2.61,2.94,3.92,4.16,4.69,5.64,5.94,-,-,-,-
11,EV/EBITDA Ratio,26.93,30.88,27.63,12.84,20.53,26.62,32.56,39.05,31.76,28.70,25.89,24.56,28.17,26.05,25.08,27.90,29.87,-,-,-,-
12,EV/EBIT Ratio,46.30,46.70,40.17,18.26,29.42,39.82,56.13,79.89,-,39.36,32.43,28.65,31.98,29.01,27.46,30.20,32.55,-,-,-,-
13,EV/FCF Ratio,169.66,191.68,-766.26,-,-180.96,-,-,-37.10,-,-,-10.87,-,-,-,-,-,-,-,-,-,-
14,Debt / Equity Ratio,0.03,0.03,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.00,0.00,0.00,0.00,0.00,0.00,-,-,-,-,-,-
15,Debt / EBITDA Ratio,0.31,0.28,0.15,0.06,0.14,0.09,0.09,0.14,0.32,0.02,0.02,0.01,0.02,0.01,0.01,-,-,-,-,-,-
16,Debt / FCF Ratio,1.93,1.93,-4.54,-,-1.27,-,-,-0.21,-,-,-0.01,-,-,-,-,-,-,-,-,-,-
17,Asset Turnover,0.68,0.67,0.64,0.74,0.72,0.67,0.51,0.57,0.56,0.55,0.52,0.60,0.60,0.53,0.52,0.82,1.62,-,-,-,
18,Inventory Turnover,6.16,5.41,5.05,5.47,7.08,7.01,6.45,5.01,5.83,5.79,5.07,4.91,6.14,5.66,4.70,4.61,6.28,7.03,-,-,-
19,Quick Ratio,4.72,4.72,3.70,4.52,4.19,4.07,4.15,4.06,4.48,5.25,4.18,4.32,5.61,7.29,8.56,9.30,10.44,3.10,3.70,-,3.30
20,Current Ratio,5.96,5.96,4.92,5.88,5.18,5.03,5.09,5.06,5.59,6.42,5.10,5.41,6.54,8.49,9.69,10.65,11.51,4.64,5.19,-,4.52
21,Return on Equity (ROE),5.46%,6.33%,5.48%,5.39%,7.52%,7.29%,3.97%,2.90%,2.27%,3.50%,5.99%,7.33%,7.35%,9.35%,8.66%,12.67%,32.66%,32.05%,15.79%,-,
22,Return on Assets (ROA),4.05%,3.60%,3.33%,2.72%,4.67%,4.47%,2.26%,-0.13%,0.73%,1.77%,3.28%,2.17%,4.25%,4.79%,6.06%,6.81%,22.06%,-,-,-,
23,Return on Capital (ROIC),4.41%,3.93%,3.64%,2.99%,5.14%,4.93%,2.48%,-0.14%,0.81%,1.99%,3.66%,2.38%,4.62%,5.20%,6.56%,7.51%,25.70%,24.99%,12.24%,-,
24,Return on Capital Employed (ROCE),5.24%,5.86%,6.32%,6.23%,5.58%,4.43%,2.66%,2.04%,-,3.54%,5.05%,6.10%,7.35%,8.51%,10.11%,10.69%,9.75%,30.52%,22.47%,-,8.05%
25,Earnings Yield,2.14%,1.92%,2.28%,4.42%,2.91%,2.33%,1.90%,1.60%,2.17%,2.70%,2.93%,3.26%,2.81%,2.78%,2.74%,2.76%,2.56%,-,-,-,-
26,FCF Yield,0.55%,0.49%,-0.12%,-1.91%,-0.49%,-1.31%,-2.52%,-2.29%,-7.31%,-6.27%,-7.36%,-7.16%,-5.53%,-6.04%,-3.35%,-2.51%,-0.48%,-,-,-,-
27,Dividend Yield,1.73%,-,-,-,2.62%,-,-,-,1.37%,-,-,-,1.65%,-,-,-,1.89%,-,-,-,-
28,Payout Ratio,83.23%,0.69%,297.98%,0.20%,-,0.18%,103.34%,-,-,167.20%,524.04%,-,19.29%,-,244.31%,-,-,-,12.94%,228.16%,1.84%
29,Buyback Yield / Dilution,-13.99%,6.84%,-25.35%,-19.98%,-26.05%,-26.65%,-2.74%,0.43%,3.68%,2.22%,-2.70%,0.36%,-9.59%,-35.08%,-73.68%,-7.15%,-18.74%,-,-,-,-
30,Total Shareholder Return,-12.26%,6.84%,-25.35%,-19.98%,-23.42%,-26.65%,-2.74%,0.43%,5.05%,2.22%,-2.70%,0.36%,-7.93%,-35.08%,-73.68%,-7.15%,-16.85%,-,-,-,-
