,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Q4 2019
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Jan '22 Jan 1, 2022","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020","Dec '19 Dec 31, 2019"
0,Operating Revenue,357.3,327.63,326.53,372.25,361.89,278.23,184.69,202.63,200.74,198.07,190.36,206.47,205.35,178.58,177.23,188.37,189.15,180.14,112.16,193
1,Other Revenue,-11.69,11.69,-,-,-8.19,8.19,-,-,-2.68,2.68,-,4.79,-1.82,1.82,-,1.46,-0.85,0.85,-,1.23
2,Revenue,345.62,339.32,326.53,372.25,353.7,286.42,184.69,202.63,198.06,200.75,190.36,211.26,203.53,180.4,177.23,189.83,188.3,180.99,112.16,194.24
3,Revenue Growth (YoY),-2.29%,18.47%,76.80%,83.71%,78.58%,42.68%,-2.98%,-4.09%,-2.69%,11.28%,7.40%,11.29%,8.09%,-0.33%,58.01%,-2.27%,-,-,-,-
4,Cost of Revenue,287.84,277.02,266.68,309.31,291.05,233.42,158.71,174.04,175.19,174.82,160.45,181.71,167.49,142.87,131,140.2,140.73,138.51,85.65,148.21
5,Gross Profit,57.78,62.29,59.86,62.94,62.65,53,25.97,28.59,22.87,25.93,29.91,29.55,36.04,37.53,46.23,49.63,47.56,42.48,26.51,46.03
6,"Selling, General & Admin",18.33,21.01,18.27,24.13,13.96,13.48,10.64,12.3,11.44,9.48,7.93,9.72,6.39,7.39,6.73,10.76,4.94,2.47,6,13.87
7,Research & Development,12.38,13.41,12.87,17.16,11.52,9.62,7.5,10.85,7.3,6.14,4.87,5.83,5.8,5.11,4.9,6.15,2.83,5.23,2.65,3.24
8,Other Operating Expenses,-7.25,-0.23,0.53,1.36,-1.5,-0.09,-6.66,5.88,-0.05,0.15,-2.88,2.6,-0.04,-0.2,-0.51,7.84,-1.18,-2.38,-1.48,-1.63
9,Operating Expenses,24.74,33.15,32.78,41.06,25.84,22.51,12.92,29.35,18.73,15.6,10.81,17.4,12.89,11.32,12.96,24.52,6.46,4.52,8.1,15.45
10,Operating Income,33.04,29.14,27.08,21.88,36.81,30.5,13.05,-0.75,4.14,10.33,19.1,12.16,23.15,26.21,33.27,25.11,41.1,37.96,18.42,30.57
11,Interest Expense,-0.17,-0.24,-0.05,-,-0.08,-0.05,-0.01,-0.01,-0.01,-0.01,-0.01,-5.97,-0.02,-,-,-,-0.02,-,-,-0
12,Interest & Investment Income,0.96,2.24,2.7,3.37,3.2,3.06,3.06,3.01,3.21,3.38,4.76,-,4.29,10.52,-,0.81,0.25,0.28,0.34,0.08
13,Currency Exchange Gain (Loss),-0.18,0.18,-,-0,0.01,-0.01,-,0.44,-0.34,0.34,-,-0.32,0.22,-0.22,-,-1.24,-0.07,0.07,-,0.25
14,Other Non Operating Income (Expenses),-0.6,0.57,0.06,-0.08,-0.47,-0.08,-0.16,0.01,0.27,0.05,-0.27,0.28,-0.39,-0.72,0.49,0.1,-0.63,-0.11,0.07,-0.88
15,EBT Excluding Unusual Items,33.06,31.89,29.79,25.18,39.48,33.42,15.96,2.7,7.28,14.08,23.58,6.15,27.25,35.8,33.75,24.79,40.64,38.19,18.82,30.01
16,Gain (Loss) on Sale of Investments,-,-,-,-,-,-,-,-,-,-,-,11.12,1.33,0.16,-,-,-0,0,-,-
17,Gain (Loss) on Sale of Assets,-0.01,-,0.01,-0.01,0.09,-,-,0,0.03,-,-,-,-,0.05,0.01,0.01,-0,-0.01,-0,0.09
18,Asset Writedown,1,-0.92,0.91,-0.09,0.09,-,-,-0,0,-0,-,-0.1,0.01,-0.01,-,-0.09,-,-,-,0.65
19,Other Unusual Items,-5.73,5.1,0.64,5.96,-0.09,0.09,-,8.67,-0.42,0.42,-,8.95,-0.31,0.31,-,7.33,0.07,-0.07,-,-0.16
20,Pretax Income,28.32,36.07,31.34,31.04,39.57,33.51,15.96,11.38,6.9,14.5,23.58,26.13,28.28,36.31,33.76,32.03,40.7,38.12,18.82,30.6
21,Income Tax Expense,3.3,7.04,6.12,6.66,6.22,5.58,3.02,2.03,-0.39,3.14,4.09,2.79,5.31,6.84,6.3,5.56,8.06,7.68,3.98,5.35
22,Earnings From Continuing Operations,25.02,29.03,25.22,24.39,33.35,27.92,12.94,9.35,7.28,11.36,19.49,23.34,22.97,29.47,27.47,26.47,32.65,30.43,14.84,25.25
23,Minority Interest in Earnings,0.45,0.55,0.6,0.88,0.09,-0.05,-0.03,-0.01,-0.2,-0.36,0,-,-,-,-,-,-,-,-,-
24,Net Income,25.47,29.59,25.81,25.27,33.44,27.87,12.91,9.34,7.08,10.99,19.49,23.34,22.97,29.47,27.47,26.47,32.65,30.43,14.84,25.25
25,Net Income to Common,25.47,29.59,25.81,25.27,33.44,27.87,12.91,9.34,7.08,10.99,19.49,23.34,22.97,29.47,27.47,26.47,32.65,30.43,14.84,25.25
26,Net Income Growth,-23.84%,6.16%,99.97%,170.64%,372.49%,153.56%,-33.77%,-60.00%,-69.19%,-62.70%,-29.05%,-11.82%,-29.63%,-3.17%,85.07%,4.84%,-,-,-,-
27,Shares Outstanding (Basic),170,185,172,172,182,148,143,136,144,144,144,142,147,140,145,129,109,81,135,109
28,Shares Outstanding (Diluted),170,185,172,172,182,148,143,136,144,144,144,142,147,140,145,129,109,81,135,109
29,Shares Change (YoY),-6.84%,25.35%,19.98%,26.05%,26.65%,2.74%,-0.43%,-3.68%,-2.22%,2.70%,-0.36%,9.59%,35.08%,73.68%,7.15%,18.74%,-,-,-,-
30,EPS (Basic),0.15,0.16,0.15,0.15,0.18,0.19,0.09,0.07,0.05,0.08,0.14,0.16,0.16,0.21,0.19,0.20,0.30,0.38,0.11,0.23
31,EPS (Diluted),0.15,0.16,0.15,0.15,0.18,0.19,0.09,0.07,0.05,0.08,0.14,0.16,0.16,0.21,0.19,0.20,0.30,0.38,0.11,0.23
32,EPS Growth,-18.25%,-15.31%,66.67%,114.71%,273.06%,146.81%,-33.48%,-58.47%,-68.49%,-63.69%,-28.79%,-19.54%,-47.90%,-44.25%,72.73%,-10.94%,-,-,-,-
33,Free Cash Flow,27.32,26.39,-28.11,1.48,-5.79,-16.1,3.79,-28.68,-34.96,2.19,-96.79,-12.02,-86.46,-14.34,-89.99,-40.62,3.05,21.39,-3.24,34.3
34,Free Cash Flow Per Share,0.16,0.14,-0.16,0.01,-0.03,-0.11,0.03,-0.21,-0.24,0.02,-0.67,-0.08,-0.59,-0.10,-0.62,-0.31,0.03,0.27,-0.02,0.32
35,Dividend Per Share,-,-,-,0.500,-,-,-,0.200,-,-,-,0.400,-,-,-,0.500,-,-,-,-
36,Dividend Growth,-,-,-,150.00%,-,-,-,-50.00%,-,-,-,-20.00%,-,-,-,-,-,-,-,-
37,Gross Margin,16.72%,18.36%,18.33%,16.91%,17.71%,18.51%,14.06%,14.11%,11.55%,12.92%,15.71%,13.99%,17.71%,20.81%,26.08%,26.14%,25.26%,23.47%,23.64%,23.70%
38,Operating Margin,9.56%,8.59%,8.29%,5.88%,10.41%,10.65%,7.07%,-0.37%,2.09%,5.14%,10.03%,5.75%,11.38%,14.53%,18.77%,13.23%,21.83%,20.97%,16.42%,15.74%
39,Profit Margin,7.37%,8.72%,7.91%,6.79%,9.45%,9.73%,6.99%,4.61%,3.57%,5.48%,10.24%,11.05%,11.29%,16.34%,15.50%,13.94%,17.34%,16.82%,13.23%,13.00%
40,Free Cash Flow Margin,7.90%,7.78%,-8.61%,0.40%,-1.64%,-5.62%,2.05%,-14.15%,-17.65%,1.09%,-50.85%,-5.69%,-42.48%,-7.95%,-50.78%,-21.40%,1.62%,11.82%,-2.89%,17.66%
41,EBITDA,46.89,44.56,40.93,35.73,45.87,42.83,22.11,8.3,7.68,16.68,22.64,15.7,26.09,29.64,36.2,28.04,43.74,40.77,21.05,33.21
42,EBITDA Margin,13.57%,13.13%,12.53%,9.60%,12.97%,14.95%,11.97%,4.10%,3.88%,8.31%,11.89%,7.43%,12.82%,16.43%,20.43%,14.77%,23.23%,22.52%,18.77%,17.10%
43,D&A For EBITDA,13.85,15.42,13.85,13.85,9.05,12.34,9.05,9.05,3.54,6.35,3.54,3.54,2.93,3.42,2.93,2.93,2.63,2.81,2.63,2.63
44,EBIT,33.04,29.14,27.08,21.88,36.81,30.5,13.05,-0.75,4.14,10.33,19.1,12.16,23.15,26.21,33.27,25.11,41.1,37.96,18.42,30.57
45,EBIT Margin,9.56%,8.59%,8.29%,5.88%,10.41%,10.65%,7.07%,-0.37%,2.09%,5.14%,10.03%,5.75%,11.38%,14.53%,18.77%,13.23%,21.83%,20.97%,16.42%,15.74%
46,Effective Tax Rate,11.64%,19.52%,19.53%,21.44%,15.71%,16.66%,18.92%,17.83%,-,21.66%,17.34%,10.66%,18.76%,18.83%,18.65%,17.35%,19.79%,20.15%,21.15%,17.48%
47,Revenue as Reported,345.62,339.32,326.53,372.25,353.7,286.42,184.69,202.63,198.06,200.75,190.36,211.26,203.53,180.4,177.23,189.83,188.3,180.99,112.16,194.24
