,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q3 2023,Q2 2023,Q1 2023,Q2 2020,Q1 2020
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020"
0,Cash & Equivalents,532.51,443.03,874.92,-,102.67,-,49.88,49.88
1,Trading Asset Securities,391.04,404.5,-,-,-,-,1.95,1.95
2,Cash & Short-Term Investments,923.56,847.53,874.92,-,102.67,87.76,51.84,51.84
3,Cash Growth,799.53%,865.71%,1587.85%,-,-,-,-,-
4,Accounts Receivable,153.29,274.16,259.88,-,253.38,-,226.5,226.5
5,Other Receivables,2.94,2.72,3.13,-,2.76,-,2.91,2.91
6,Receivables,156.23,276.88,263.01,-,256.13,-,229.41,229.41
7,Inventory,125.83,116.24,111.51,-,110.47,-,73.3,73.3
8,Other Current Assets,8.77,10.66,8.98,-,12.84,-,12.62,12.62
9,Total Current Assets,1214,1251,1258,-,482.11,-,367.16,367.16
10,"Property, Plant & Equipment",1113,1057,986.85,-,960.61,-,505.42,505.42
11,Other Intangible Assets,71.85,72.21,72.28,-,71.45,-,33.75,33.75
12,Long-Term Deferred Tax Assets,9.07,6.59,6.18,-,13.64,-,12.07,12.07
13,Long-Term Deferred Charges,0.9,0.33,0.4,-,0.6,-,1.52,1.52
14,Other Long-Term Assets,55.04,27.5,27.46,-,11.98,-,15.44,15.44
15,Total Assets,2464,2415,2352,-,1540,-,935.37,935.37
16,Accounts Payable,335.94,247.79,262.3,-,105.51,-,110.34,110.34
17,Accrued Expenses,13.81,16.34,12.34,-,21.38,-,8.87,8.87
18,Short-Term Debt,0.21,0.01,6.02,-,5.02,-,81.1,81.1
19,Current Portion of Long-Term Debt,0.33,-,3.52,-,5,-,16.08,16.08
20,Current Portion of Leases,-,0.65,-,-,0.64,-,-,-
21,Current Income Taxes Payable,1.14,-,1.13,-,-,-,-,-
22,Current Unearned Revenue,0.6,0.58,0.41,-,7.54,-,13.69,13.69
23,Other Current Liabilities,2.4,66.8,2.46,-,144.32,-,1.84,1.84
24,Total Current Liabilities,354.42,332.17,288.18,-,289.41,-,231.91,231.91
25,Long-Term Debt,-,-,-,-,-,-,34,34
26,Long-Term Leases,-,-,-,-,0.64,-,-,-
27,Long-Term Unearned Revenue,13.49,13.94,14.39,-,15.74,-,7.94,7.94
28,Long-Term Deferred Tax Liabilities,77.94,75.86,74.48,-,72.94,-,19.68,19.68
29,Total Liabilities,445.85,421.97,377.04,-,378.72,-,293.53,293.53
30,Common Stock,147.33,147.33,147.33,-,110.5,-,107.28,107.28
31,Additional Paid-In Capital,1181,1179,1177,-,489.97,-,442.77,442.77
32,Retained Earnings,675.59,666.52,650.25,-,561.2,-,91.8,91.8
33,Comprehensive Income & Other,-0.25,-,-,-,-,-,-,-
34,Total Common Equity,2004,1993,1975,-,1162,1082,641.85,641.85
35,Minority Interest,14.26,-,-,-,-,-,-,-
36,Shareholders' Equity,2018,1993,1975,-,1162,1082,641.85,641.85
37,Total Liabilities & Equity,2464,2415,2352,-,1540,-,935.37,935.37
38,Total Debt,0.54,0.66,9.54,-,11.3,61.74,131.17,131.17
39,Net Cash (Debt),923.02,846.86,865.38,-,91.37,26.03,-79.34,-79.34
40,Net Cash Growth,910.15%,3153.90%,-,-,-,-,-,-
41,Net Cash Per Share,6.22,5.77,7.83,-,0.82,0.23,-0.74,-0.74
42,Filing Date Shares Outstanding,147.33,147.33,147.33,109.19,110.5,111.32,107.28,107.28
43,Total Common Shares Outstanding,147.33,147.33,147.33,109.19,110.5,111.32,107.28,107.28
44,Working Capital,859.96,919.13,970.23,-,192.71,-,135.25,135.25
45,Book Value Per Share,13.60,13.53,13.40,-,10.51,9.78,5.98,5.98
46,Tangible Book Value,1932,1921,1902,-,1090,1009,608.09,608.09
47,Tangible Book Value Per Share,13.11,13.04,12.91,-,9.87,9.13,5.67,5.67
48,Buildings,-,239.65,-,-,239.5,-,179.22,179.22
49,Machinery,-,892.21,-,-,805.66,-,363.51,363.51
50,Construction In Progress,-,310.2,-,-,203.49,-,46.05,46.05
