,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q3 2023,Q2 2023,Q1 2023,Q2 2020,Q1 2020
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020"
0,Operating Revenue,185.04,129.83,168.56,184.33,160.13,175.18,70.68,70.68
1,Other Revenue,-30.07,30.07,-,-26.37,26.37,-,12.57,12.57
2,Revenue,154.96,159.91,168.56,157.96,186.5,175.18,83.25,83.25
3,Revenue Growth (YoY),-16.91%,-8.72%,102.46%,89.74%,-,-,-,-
4,Cost of Revenue,108.43,120.03,111.4,99.11,118.38,107.73,50.76,50.76
5,Gross Profit,46.53,39.88,57.15,58.85,68.12,67.44,32.5,32.5
6,"Selling, General & Admin",15.31,16.65,12,11.77,13.36,14.95,7.79,7.79
7,Research & Development,15.5,13.9,12.15,13.95,13.23,12.6,4.77,4.77
8,Other Operating Expenses,-0.26,-0.37,-0.32,-5.5,0.83,-0.46,0.54,0.54
9,Operating Expenses,32.12,30.94,23.87,20.63,27.11,26.77,15.26,15.26
10,Operating Income,14.41,8.94,33.29,38.22,41.01,40.67,17.23,17.23
11,Interest Expense,-0.01,-0.06,-0.05,-0.06,-0.2,-0.42,-1.37,-1.37
12,Interest & Investment Income,2.58,3.59,1.77,1.46,1.1,0.61,0.32,0.32
13,Currency Exchange Gain (Loss),-0.84,0.84,-,-3.66,3.66,-,0.04,0.04
14,Other Non Operating Income (Expenses),-2.07,-0.2,0.06,3.16,0.48,-0.64,-0.1,-0.1
15,EBT Excluding Unusual Items,14.07,13.12,35.06,39.12,46.05,40.22,16.13,16.13
16,Gain (Loss) on Sale of Investments,0.12,-0.04,-0.08,1.13,-0.61,-0.53,-,-
17,Gain (Loss) on Sale of Assets,-0.05,-,0,-,-,0.02,-,-
18,Asset Writedown,-5.88,3.05,-3.05,-5.14,2.42,-2.23,-0.26,-0.26
19,Other Unusual Items,0.25,1.11,0.09,0.02,-0.02,-,0.06,0.06
20,Pretax Income,8.5,17.24,32.03,35.13,47.85,37.49,15.93,15.93
21,Income Tax Expense,-0.4,0.97,3.29,3.54,5.59,4.1,1.93,1.93
22,Earnings From Continuing Operations,8.9,16.27,28.74,31.59,42.26,33.4,14.01,14.01
23,Minority Interest in Earnings,0.18,-,-,-,-,-,-,-
24,Net Income,9.08,16.27,28.74,31.59,42.26,33.4,14.01,14.01
25,Net Income to Common,9.08,16.27,28.74,31.59,42.26,33.4,14.01,14.01
26,Net Income Growth,-78.52%,-51.28%,105.16%,125.55%,-,-,-,-
27,Shares Outstanding (Basic),148,147,111,109,111,111,108,108
28,Shares Outstanding (Diluted),148,147,111,109,111,111,108,108
29,Shares Change (YoY),33.49%,31.74%,2.58%,1.33%,-,-,-,-
30,EPS (Basic),0.06,0.11,0.26,0.29,0.38,0.30,0.13,0.13
31,EPS (Diluted),0.06,0.11,0.26,0.29,0.38,0.30,0.13,0.13
32,EPS Growth,-83.91%,-63.02%,100.00%,122.59%,-,-,-,-
33,Free Cash Flow,54.73,-5.33,-35.96,22.71,40.83,16.49,-20.5,-20.5
34,Free Cash Flow Per Share,0.37,-0.04,-0.33,0.21,0.37,0.15,-0.19,-0.19
35,Gross Margin,30.03%,24.94%,33.91%,37.25%,36.53%,38.50%,39.03%,39.03%
36,Operating Margin,9.30%,5.59%,19.75%,24.20%,21.99%,23.22%,20.70%,20.70%
37,Profit Margin,5.86%,10.17%,17.05%,20.00%,22.66%,19.06%,16.83%,16.83%
38,Free Cash Flow Margin,35.32%,-3.33%,-21.33%,14.38%,21.89%,9.41%,-24.63%,-24.63%
39,EBITDA,39.05,34.62,57.92,59.28,65.75,61.74,26.4,26.4
40,EBITDA Margin,25.20%,21.65%,34.36%,37.53%,35.26%,35.24%,31.71%,31.71%
41,D&A For EBITDA,24.64,25.68,24.64,21.06,24.74,21.06,9.17,9.17
42,EBIT,14.41,8.94,33.29,38.22,41.01,40.67,17.23,17.23
43,EBIT Margin,9.30%,5.59%,19.75%,24.20%,21.99%,23.22%,20.70%,20.70%
44,Effective Tax Rate,-,5.63%,10.27%,10.07%,11.67%,10.92%,12.09%,12.09%
45,Revenue as Reported,154.96,159.91,168.56,157.96,186.5,175.18,-,-
