,Fiscal Quarter,Current,Q3 2024,Q2 2024,Q1 2024,Q3 2023,Q2 2023,Q1 2023,Q2 2020,Q1 2020
,Period Ending,"Mar '25 Mar 13, 2025","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020"
0,Market Capitalization,3607,3938,4368,-,-,-,-,-,-
1,Enterprise Value,2698,3091,3503,-,-,-,-,-,-
2,Last Close Price,24.48,26.73,29.65,-,-,-,-,-,-
3,PE Ratio,38.16,45.96,36.75,-,-,-,-,-,-
4,PS Ratio,4.85,6.14,6.49,-,-,-,-,-,-
5,PB Ratio,1.80,1.95,2.19,-,-,-,-,-,-
6,P/TBV Ratio,2.04,2.04,2.27,-,-,-,-,-,-
7,P/FCF Ratio,53.21,108.94,-,-,-,-,-,-,-
8,P/OCF Ratio,14.98,16.05,26.04,-,-,-,-,-,-
9,EV/Sales Ratio,4.15,4.82,5.21,-,-,-,-,-,-
10,EV/EBITDA Ratio,14.68,16.19,16.10,-,-,-,-,-,-
11,EV/EBIT Ratio,36.54,32.59,28.84,-,-,-,-,-,-
12,EV/FCF Ratio,39.80,85.51,-,-,-,-,-,-,-
13,Debt / Equity Ratio,0.00,0.00,0.00,0.00,-,0.01,0.06,0.20,0.20
14,Debt / EBITDA Ratio,0.00,0.00,0.00,0.04,-,0.04,0.25,1.24,1.24
15,Debt / FCF Ratio,0.01,0.01,-,-,-,0.69,-2.52,-,-
16,Asset Turnover,0.25,0.27,-,-,-,-,0.36,-,
17,Inventory Turnover,-,3.58,4.22,-,-,-,-,2.77,-
18,Quick Ratio,3.05,3.05,3.39,3.95,-,1.24,-,1.21,1.21
19,Current Ratio,3.43,3.43,3.77,4.37,-,1.67,-,1.58,1.58
20,Return on Equity (ROE),1.77%,3.28%,-,-,15.07%,-,8.73%,-,
21,Return on Assets (ROA),1.48%,0.94%,-,-,-,-,4.61%,-,
22,Return on Capital (ROIC),1.80%,1.12%,-,-,8.85%,-,5.57%,-,
23,Return on Capital Employed (ROCE),3.50%,4.50%,5.83%,7.42%,-,9.29%,-,4.90%,2.45%
24,Earnings Yield,2.30%,2.18%,2.72%,-,-,-,-,-,-
25,FCF Yield,1.88%,0.92%,0.51%,-,-,-,-,-,-
26,Payout Ratio,0.14%,0.00%,0.35%,0.14%,0.16%,0.54%,1.28%,9.58%,9.58%
27,Buyback Yield / Dilution,-16.66%,-33.49%,-31.74%,-2.58%,-1.33%,-,-,-,-
28,Total Shareholder Return,-16.66%,-33.49%,-31.74%,-2.58%,-1.33%,-,-,-,-
