,Fiscal Quarter,H1 2025,H2 2024,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021
,Period Ending,"Sep '24 Sep 30, 2024","Mar '24 Mar 31, 2024","Sep '23 Sep 30, 2023","Mar '23 Mar 31, 2023","Sep '22 Sep 30, 2022","Mar '22 Mar 31, 2022","Sep '21 Sep 30, 2021","Mar '21 Mar 31, 2021","Sep '20 Sep 30, 2020"
0,Revenue,398.95,321.59,326.83,283.48,236.85,216.77,189.37,201.05,196.11
1,Revenue Growth (YoY),22.07%,13.44%,37.99%,30.77%,25.07%,7.82%,-3.43%,-,-
2,Cost of Revenue,193.07,154.63,155.71,163.51,151.31,130.34,114.29,105.03,93.7
3,Gross Profit,205.89,166.96,171.12,119.97,85.54,86.43,75.08,96.03,102.41
4,"Selling, General & Admin",93.91,87.98,92.23,78.11,59.63,62.22,60.43,65.37,62.16
5,Other Operating Expenses,-2.03,-1.22,-3.15,-1.41,-1.29,-1.38,-1.07,-1.42,-1.04
6,Operating Expenses,91.88,86.76,89.09,76.7,58.33,60.84,59.36,63.95,61.11
7,Operating Income,114.01,80.2,82.03,43.27,27.21,25.59,15.72,32.08,41.29
8,Interest Expense,-2.94,-4.36,-4.14,-4.84,-3.37,-3,-3.4,-3.47,-3.94
9,Interest & Investment Income,0.44,0.23,0.53,0.27,0.01,0.01,0.01,0.05,0.13
10,Earnings From Equity Investments,-0.25,0.11,-0.93,-0.9,-1.04,-0.76,-1.03,-1.19,0.01
11,Currency Exchange Gain (Loss),5.27,3.5,3.25,1.11,1.32,0.25,-0.12,-1.08,-0.1
12,EBT Excluding Unusual Items,116.54,79.69,80.74,38.9,24.13,22.09,11.17,26.38,37.39
13,Gain (Loss) on Sale of Investments,-,4.47,-,-,-,-,-,-,-
14,Gain (Loss) on Sale of Assets,1.02,-,-0.01,8.84,-0.06,-0.02,0.01,-0.03,-0.17
15,Asset Writedown,-,-,-,-,-,-2.5,-,-,-
16,Other Unusual Items,0.83,-,-,0.5,4.59,-,-,-20.96,-0.93
17,Pretax Income,118.38,84.16,80.73,48.24,28.66,19.57,11.18,5.39,36.29
18,Income Tax Expense,19.11,11.48,16.2,8.01,5.56,4.51,2.91,3.76,7.3
19,Earnings From Continuing Operations,99.28,72.68,64.53,40.23,23.1,15.05,8.28,1.63,28.99
20,Minority Interest in Earnings,-3.4,-4.67,-2.07,-4.7,-1.54,-0.47,1.77,-0.68,-7.34
21,Net Income,95.88,68,62.46,35.53,21.56,14.58,10.04,0.95,21.65
22,Net Income to Common,95.88,68,62.46,35.53,21.56,14.58,10.04,0.95,21.65
23,Net Income Growth,53.51%,91.38%,189.69%,143.70%,114.75%,1434.74%,-53.63%,-,-
24,Shares Outstanding (Basic),824,858,909,890,893,894,894,862,766
25,Shares Outstanding (Diluted),824,858,909,890,893,894,894,862,766
26,Shares Change (YoY),-9.32%,-3.53%,1.80%,-0.45%,-0.07%,3.65%,16.71%,-,-
27,EPS (Basic),0.12,0.08,0.07,0.04,0.02,0.02,0.01,0.00,0.03
28,EPS (Diluted),0.12,0.08,0.07,0.04,0.02,0.02,0.01,0.00,0.03
29,EPS Growth,69.29%,98.28%,184.58%,145.56%,114.91%,1377.29%,-60.27%,-,-
30,Free Cash Flow,123.85,130.53,50.47,79.71,57.78,48.07,4.87,3.01,32.79
31,Free Cash Flow Per Share,0.15,0.15,0.06,0.09,0.06,0.05,0.01,0.00,0.04
32,Dividend Per Share,0.055,0.041,0.035,0.025,0.005,-,-,-,-
33,Dividend Growth,59.42%,62.00%,590.00%,-,-,-,-,-,-
34,Operating Margin,28.58%,24.94%,25.10%,15.26%,11.49%,11.80%,8.30%,15.95%,21.06%
35,Profit Margin,24.03%,21.15%,19.11%,12.53%,9.10%,6.73%,5.30%,0.47%,11.04%
36,Free Cash Flow Margin,31.04%,40.59%,15.44%,28.12%,24.39%,22.17%,2.57%,1.50%,16.72%
37,EBITDA,130.71,95.61,99.87,57.08,43.91,42.73,32.17,48.34,56.72
38,D&A For EBITDA,16.7,15.41,17.83,13.82,16.7,17.14,16.46,16.27,15.43
39,EBIT,114.01,80.2,82.03,43.27,27.21,25.59,15.72,32.08,41.29
