,Fiscal Quarter,H1 2025,H2 2024,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021
,Period Ending,"Sep '24 Sep 30, 2024","Mar '24 Mar 31, 2024","Sep '23 Sep 30, 2023","Mar '23 Mar 31, 2023","Sep '22 Sep 30, 2022","Mar '22 Mar 31, 2022","Sep '21 Sep 30, 2021","Mar '21 Mar 31, 2021","Sep '20 Sep 30, 2020"
0,Cash & Equivalents,155.69,140.81,114.21,152.27,94.7,69.84,60,94.38,-
1,Short-Term Investments,33.98,26.41,31.41,11.22,11.42,9.4,6.84,6.69,-
2,Cash & Short-Term Investments,189.67,167.21,145.62,163.48,106.12,79.24,66.85,101.07,-
3,Cash Growth,30.25%,2.28%,37.23%,106.31%,58.74%,-21.59%,-,-,-
4,Accounts Receivable,115.65,106.11,175.79,110.66,121.69,128.14,145.68,133.81,-
5,Other Receivables,3.53,2.63,1.09,2.38,11.8,9.48,6.42,1.42,-
6,Receivables,119.18,108.75,176.88,113.04,133.49,137.62,152.1,135.23,-
7,Inventory,94.6,91.59,55.29,54.56,53.28,47.87,40.36,48.02,-
8,Total Current Assets,403.45,367.54,377.79,331.08,292.88,264.74,259.31,284.31,-
9,"Property, Plant & Equipment",143.68,146.39,152.48,164.33,170.46,179.96,192.17,190.07,-
10,Long-Term Investments,8.51,13.88,30.52,33.83,38.25,44.98,45.74,46.26,-
11,Goodwill,-,266.84,-,266.84,-,260.54,-,260.54,-
12,Other Intangible Assets,830.79,571.97,849.45,591.07,818.54,568.3,841.91,591.21,-
13,Long-Term Deferred Tax Assets,1.9,1.9,3.19,2.83,3.28,2.78,2.65,2.06,-
14,Other Long-Term Assets,21.17,20.16,19.78,13.1,13.79,11.19,8.05,6.74,-
15,Total Assets,1409,1389,1433,1403,1337,1332,1350,1381,-
16,Accounts Payable,17.03,22.17,26.16,29.99,35.16,23.18,16.28,14.12,-
17,Accrued Expenses,12.21,7.03,22.47,20.87,5.42,4.81,5.9,5.69,-
18,Current Portion of Long-Term Debt,70,71.2,71.2,91.2,60,60,60,60,-
19,Current Portion of Leases,12.06,11.31,10.68,11.62,11.5,15.89,14.73,12.88,-
20,Current Income Taxes Payable,37.4,20.61,25.07,9.38,10.57,4.96,11.92,7.29,-
21,Current Unearned Revenue,4.89,6.05,3.19,2.93,2.91,2.66,1.56,1.7,-
22,Other Current Liabilities,90.26,83.2,63.1,28.67,15.25,17.11,13.24,35.46,-
23,Total Current Liabilities,243.86,221.57,221.87,194.66,140.81,128.61,123.62,137.14,-
24,Long-Term Debt,-,43.8,53.8,63.8,100,115,145,175,-
25,Long-Term Leases,6.66,7.1,9.05,13.47,17.99,22.2,27.25,20.04,-
26,Long-Term Deferred Tax Liabilities,92.28,94.28,98.15,100.16,95.61,97.48,99.38,102.07,-
27,Total Liabilities,342.8,366.75,382.87,372.1,354.41,363.3,395.24,434.25,-
28,Common Stock,8.14,8.31,8.92,9.08,8.9,8.94,8.94,8.94,-
29,Additional Paid-In Capital,622.55,634.28,703.34,722.54,703.54,703.54,703.54,703.54,-
30,Retained Earnings,421.93,359.77,321.77,281.16,250.09,228.53,213.95,203.91,-
31,Comprehensive Income & Other,-40.58,-31.68,-31.25,-27.26,-21.28,-11.81,-11.93,-11.68,-
32,Total Common Equity,1012,970.68,1003,985.51,941.26,929.2,914.5,904.71,-
33,Minority Interest,54.66,51.27,47.55,45.48,41.53,39.99,40.08,42.24,-
34,Shareholders' Equity,1067,1022,1050,1031,982.79,969.19,954.57,946.94,-
35,Total Liabilities & Equity,1409,1389,1433,1403,1337,1332,1350,1381,-
36,Total Debt,88.72,133.41,144.73,180.1,189.49,213.09,246.98,267.92,-
37,Net Cash (Debt),100.95,33.81,0.89,-16.62,-83.37,-133.85,-180.13,-166.85,-
38,Net Cash Growth,11293.91%,-,-,-,-,-,-,-,-
39,Net Cash Per Share,0.12,0.04,0.00,-0.02,-0.09,-0.15,-0.20,-0.19,-
40,Filing Date Shares Outstanding,814,831.25,891.57,907.59,889.87,893.69,893.69,893.69,765.72
41,Total Common Shares Outstanding,814,831.25,891.57,907.59,889.87,893.69,893.69,893.69,765.72
42,Working Capital,159.59,145.97,155.92,136.42,152.07,136.13,135.69,147.17,-
43,Book Value Per Share,1.24,1.17,1.12,1.09,1.06,1.04,1.02,1.01,-
44,Tangible Book Value,181.24,131.86,153.33,127.59,122.72,100.37,72.59,52.96,-
45,Tangible Book Value Per Share,0.22,0.16,0.17,0.14,0.14,0.11,0.08,0.06,-
46,Land,-,3.4,-,3.4,-,3.4,-,3.4,-
47,Buildings,-,152,-,150.44,-,153.4,-,147.87,-
48,Machinery,-,120.02,-,122.28,-,118.01,-,118.21,-
49,Leasehold Improvements,-,9.18,-,10.09,-,9.33,-,7.5,-
