,Fiscal Quarter,Current,H1 2025,H2 2024,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021
,Period Ending,"Mar '25 Mar 13, 2025","Sep '24 Sep 30, 2024","Mar '24 Mar 31, 2024","Sep '23 Sep 30, 2023","Mar '23 Mar 31, 2023","Sep '22 Sep 30, 2022","Mar '22 Mar 31, 2022","Sep '21 Sep 30, 2021","Mar '21 Mar 31, 2021","Sep '20 Sep 30, 2020"
0,Market Capitalization,1490,803,790,1025,987,670,813,947,1198,-
1,Market Cap Growth,-21.68%,-21.68%,-19.97%,52.92%,21.34%,-29.25%,-32.09%,-,-,-
2,Enterprise Value,1443,820,836,1087,1112,844,1033,1156,1446,-
3,Last Close Price,1.83,0.95,0.88,1.03,0.95,0.65,0.79,0.92,1.17,-
4,PE Ratio,9.40,4.90,6.05,10.46,17.28,18.55,33.03,86.20,52.99,-
5,PS Ratio,2.14,1.11,1.22,1.68,1.90,1.48,2.00,2.43,3.02,-
6,PB Ratio,1.47,0.75,0.77,0.98,0.96,0.68,0.84,0.99,1.26,-
7,P/TBV Ratio,4.43,4.43,5.99,6.68,7.73,5.46,8.10,13.05,22.61,-
8,P/FCF Ratio,5.86,3.16,4.36,7.87,7.18,6.33,15.36,120.16,33.45,-
9,P/OCF Ratio,3.07,3.07,4.13,7.12,6.78,5.91,13.56,58.88,20.38,-
10,EV/Sales Ratio,2.00,1.14,1.29,1.78,2.14,1.86,2.54,2.96,3.64,-
11,EV/EBITDA Ratio,6.00,3.62,4.28,6.93,11.01,9.74,13.80,14.36,13.76,-
12,EV/EBIT Ratio,7.44,4.22,5.16,8.68,15.77,15.99,25.02,24.20,19.70,-
13,EV/FCF Ratio,5.67,3.22,4.62,8.35,8.09,7.98,19.52,146.68,40.38,-
14,Debt / Equity Ratio,0.08,0.08,0.13,0.14,0.17,0.19,0.22,0.26,0.28,-
15,Debt / FCF Ratio,0.35,0.35,0.74,1.11,1.31,1.79,4.03,31.33,7.48,-
16,Return on Capital Employed (ROCE),16.66%,16.66%,13.90%,10.34%,5.83%,4.41%,3.43%,3.90%,5.90%,-
17,Earnings Yield,11.00%,20.42%,16.52%,9.56%,5.79%,5.39%,3.03%,1.16%,1.89%,-
18,FCF Yield,17.08%,31.69%,22.92%,12.70%,13.93%,15.79%,6.51%,0.83%,2.99%,-
19,Dividend Yield,6.01%,10.03%,8.49%,5.75%,3.16%,0.76%,-,-,-,-
20,Buyback Yield / Dilution,6.46%,9.32%,3.53%,-1.80%,0.45%,0.07%,-3.65%,-16.71%,-,-
21,Total Shareholder Return,12.47%,19.35%,12.02%,3.95%,3.61%,0.84%,-3.65%,-16.71%,-,-
