,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021"
0,Cash & Equivalents,-,287.58,292.63,1082,530.89,357.77,711.64,694.24,316.79,208.23,257.02,1214,263.16,-,129.48,-
1,Trading Asset Securities,-,932.19,962.96,269.84,889.67,884.62,520.26,565.15,1246,1283,1246,386.95,266.48,-,325.14,-
2,Cash & Short-Term Investments,1220,1220,1256,1351,1421,1242,1232,1259,1563,1491,1503,1601,529.64,-,454.61,463.75
3,Cash Growth,-14.13%,-1.82%,1.92%,7.30%,-9.12%,-16.66%,-18.03%,-21.33%,195.12%,-,230.59%,245.18%,-,-,-,-
4,Accounts Receivable,-,180.72,184.57,211.6,206.7,200.57,282.25,223.41,222.41,195.18,214.47,135.32,103.01,-,145.21,-
5,Other Receivables,-,7.34,3.94,5.23,2.39,1.74,1.85,0.97,2.78,4.35,3.51,7.18,3.62,-,0.18,-
6,Receivables,-,188.07,188.51,216.83,209.09,202.3,284.1,224.38,225.19,199.54,217.98,142.51,106.62,-,145.38,-
7,Inventory,-,154.3,128.99,125.66,114.3,138.03,118.69,141.28,115.67,209.09,145.96,213.57,202.67,-,225.79,-
8,Prepaid Expenses,-,-,-,-,-,-,-,-,-,-,-,-,3.38,-,4.21,-
9,Other Current Assets,-,15.24,21.57,26,15.18,19.13,11.91,15.81,12.46,33.71,11.7,13.62,9.37,-,27.03,-
10,Total Current Assets,-,1577,1595,1720,1759,1602,1647,1641,1916,1933,1879,1971,851.69,-,857.04,-
11,"Property, Plant & Equipment",-,32.83,35.19,34.25,34.63,37.63,39.93,38.06,41.29,39.93,32.47,34.37,36.08,-,39.55,-
12,Long-Term Investments,-,7.27,7.34,7.51,7.81,7.87,290.27,8.26,7.26,7.5,-,-,-,-,-,-
13,Other Intangible Assets,-,7.84,8.1,8.37,8.64,8.9,8.69,8.95,8.7,6.81,6.41,6.62,6.62,-,4.56,-
14,Long-Term Deferred Tax Assets,-,52.86,48.86,44.35,38.9,35.87,33.83,31.32,29.62,28.44,26.27,21.43,18.46,-,14.63,-
15,Long-Term Deferred Charges,-,0.33,0.98,1.67,2.35,3.19,3.73,4.07,4.74,5.26,5.91,5,4.34,-,0.75,-
16,Other Long-Term Assets,-,306.25,289.09,216.79,215.5,314.95,0.13,280.34,0.32,0.72,0.8,0.52,0.52,-,-,-
17,Total Assets,-,1985,1984,2033,2067,2010,2023,2012,2008,2022,1950,2038,917.7,-,916.52,-
18,Accounts Payable,-,60.43,46.76,57.09,64.73,60.31,64.66,62.78,59.11,89.02,37.13,35.1,33.06,-,25.63,-
19,Accrued Expenses,-,7.86,9.2,7.72,21.73,8.83,10.8,7.49,27.69,7.88,19.34,7.88,38.4,-,14.29,-
20,Current Portion of Leases,-,4.59,4.6,3.48,3.8,3.77,3.75,3.43,3.39,0.11,3.02,3.2,3.2,-,-,-
