,Fiscal Quarter,Current,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021
,Period Ending,"Mar '25 Mar 12, 2025","Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021"
0,Market Capitalization,2347,2228,1919,1922,2004,2595,2953,3077,3717,3262,2677,3144,3697,-,-,-,-
1,Market Cap Growth,-14.13%,-14.13%,-35.02%,-37.52%,-46.09%,-20.45%,10.31%,-2.13%,0.55%,-,-,-,-,-,-,-,-
2,Enterprise Value,1134,1015,670,574,765,1355,1724,1821,2233,1777,1180,1554,3175,-,-,-,-
3,Last Close Price,18.15,17.23,14.75,14.78,15.27,19.77,22.49,23.23,28.07,24.63,20.21,23.74,27.50,-,-,-,-
4,PE Ratio,-,-,-,-,-,56.35,-,38.94,-,36.89,23.72,26.63,32.01,-,-,-,-
5,PS Ratio,8.87,8.37,6.76,7.03,5.31,7.28,6.84,6.76,7.57,6.30,5.24,5.99,7.73,-,-,-,-
6,PB Ratio,1.29,1.22,1.05,1.05,1.07,1.39,1.60,1.66,2.02,1.77,1.49,1.76,2.05,-,-,-,-
7,P/TBV Ratio,1.23,1.23,1.05,1.05,1.08,1.39,1.61,1.67,2.03,1.78,1.50,1.76,2.06,-,-,-,-
8,P/FCF Ratio,-,-,-,-,-,44.31,45.01,-,-,-70.26,-,-,-,-,-,-,-
9,P/OCF Ratio,-,-,-,-,-,39.07,34.97,-,-,-195.83,-,-,-,-,-,-,-
10,EV/Sales Ratio,4.26,3.81,2.36,2.10,2.03,3.80,3.99,4.00,4.54,3.44,2.31,2.96,6.64,-,-,-,-
11,EV/EBITDA Ratio,-,-42.88,-,-,-,87.46,-,46.05,-,33.07,-,13.96,-,-,-,-,-
12,EV/EBIT Ratio,-,-26.20,-,-,-,1261.38,-,70.39,-,42.84,-,15.55,-,-,-,-,-
13,EV/FCF Ratio,-,-,-,-,-,23.14,26.27,-,-,-38.29,-,-,-,-,-,-,-
14,Debt / Equity Ratio,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.01,-,0.01,-
15,Debt / EBITDA Ratio,-,0.05,-,-,-,0.06,-,0.02,-,0.05,-,0.05,-,0.03,-,0.04,-
16,Debt / FCF Ratio,-,-,-,-,-,0.07,0.06,-,-,-0.10,-,-,-,0.08,-,-,-
17,Asset Turnover,-,0.07,0.08,0.08,0.33,0.05,0.29,0.04,0.48,0.10,0.36,0.12,-,-,-,-,
18,Inventory Turnover,-,-,0.67,0.84,0.77,2.94,0.37,1.84,0.32,3.75,0.43,2.30,0.51,-,-,-,-
19,Quick Ratio,-,-,9.68,10.87,10.84,9.12,8.80,9.00,8.81,11.55,8.10,11.82,8.02,2.84,-,1.96,-
20,Current Ratio,-,-,10.85,12.00,11.89,9.85,9.75,9.78,9.75,12.38,9.26,12.90,9.07,3.80,-,2.80,-
21,Return on Equity (ROE),-4.13%,-2.32%,-3.89%,-0.98%,5.97%,-2.01%,8.25%,-2.29%,10.21%,1.08%,7.70%,0.71%,-,-,21.12%,-,
22,Return on Assets (ROA),-,-1.31%,-4.59%,-2.99%,1.36%,-2.71%,4.41%,-2.95%,2.43%,-0.70%,3.87%,-0.58%,-,-,-,-,
23,Return on Capital (ROIC),4.51%,-1.42%,-4.97%,-3.27%,1.49%,-2.95%,4.81%,-3.22%,2.68%,-0.77%,4.28%,-0.69%,-,-,13.77%,-,
24,Return on Capital Employed (ROCE),-,-,-,-,-,0.06%,-,1.40%,-,2.24%,-,5.54%,-,15.49%,-,5.73%,-
25,Earnings Yield,-2.22%,-2.33%,-0.28%,-0.21%,2.60%,1.77%,2.20%,2.57%,2.03%,2.71%,4.22%,3.76%,3.12%,-,-,-,-
26,FCF Yield,-,-2.60%,1.82%,0.71%,2.26%,2.22%,-0.29%,-0.80%,-1.42%,-0.95%,-0.95%,-0.69%,-,-,-,-,
27,Dividend Yield,0.77%,-,-,-,-,0.72%,-,-,-,0.87%,-,-,-,-,-,-,-
28,Payout Ratio,0.00%,-,-,-,-,-,-,-,-,-,-,134.05%,-,-,-,130.42%,-
29,Buyback Yield / Dilution,-0.79%,6.78%,-4.17%,-11.81%,5.10%,-4.17%,1.56%,0.23%,-25.81%,-29.78%,-34.32%,-29.02%,-6.13%,-,-,-,-
30,Total Shareholder Return,-0.02%,6.78%,-4.17%,-11.81%,5.10%,-3.45%,1.56%,0.23%,-25.81%,-28.91%,-34.32%,-29.02%,-6.13%,-,-,-,-
