,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021"
0,Operating Revenue,148.12,35.57,41.75,40.64,165.47,25.43,145.34,19.66,241.12,48.79,181.34,45.79,234.02,63.25,134.77,62.7
1,Other Revenue,-,-,-,-,0.49,-0.33,0.33,-,0.42,-0.33,0.33,-,0.51,-0.35,0.35,-
2,Revenue,148.12,35.57,41.75,40.64,165.96,25.1,145.67,19.66,241.54,48.46,181.67,45.79,234.52,62.91,135.11,62.7
3,Revenue Growth (YoY),-10.75%,41.75%,-71.34%,106.67%,-31.29%,-48.22%,-19.82%,-57.05%,2.99%,-22.96%,34.46%,-26.98%,-,-,-,-
4,Cost of Revenue,-73.39,23.58,26.65,23.16,92.81,11.91,59.87,10.22,152.21,18.89,103.23,26.54,90.42,29.11,68.05,30.8
5,Gross Profit,221.51,12,15.1,17.47,73.15,13.18,85.8,9.45,89.32,29.57,78.44,19.25,144.1,33.8,67.06,31.91
6,"Selling, General & Admin",-60.7,18.71,20.26,21.73,28.34,21.73,23.34,20.56,25.96,21.89,22.85,14.73,29.57,17.19,18.13,13.05
7,Research & Development,-59.18,21.81,21.61,15.77,22.94,19.96,21.72,15.64,18.65,18.34,20.05,16.38,30.72,14.69,17.86,16.6
8,Other Operating Expenses,319.88,-14.85,-0.26,0.05,7.15,-1.59,-1.5,-2.28,17.45,-2.37,-2.72,-9.78,11.96,-3.86,-4.33,0.18
9,Operating Expenses,188.41,22.41,52,42,62.08,35.01,50.24,33.18,69.73,35.13,47.54,22.7,78.6,26.82,33.73,30.29
10,Operating Income,33.1,-10.42,-36.9,-24.52,11.07,-21.83,35.56,-23.73,19.6,-5.56,30.9,-3.45,65.5,6.97,33.34,1.62
11,Interest Expense,-29.87,-0.06,-0.54,-0.02,-0.03,-0.03,-0.03,-0.04,-,-0.07,-0.17,-,-0.08,-0.11,-0.15,-
12,Interest & Investment Income,0.62,9.23,5.41,15.23,13.89,5.2,6.29,9.57,6.97,5.8,4.86,3.35,2.35,2.16,2.79,2.53
13,Other Non Operating Income (Expenses),-0.12,0.05,-0.11,-0,-0.65,0.06,-0.07,-0.33,0.08,-0.14,-0,-0.09,0.27,-0.29,0.15,-0.05
14,EBT Excluding Unusual Items,3.73,-1.2,-32.15,-9.31,24.28,-16.6,41.76,-14.53,26.64,0.03,35.59,-0.18,68.04,8.74,36.14,4.09
15,Gain (Loss) on Sale of Investments,2.48,-0.77,4.12,-5.83,-3.94,4.92,2.25,0.15,3.29,4.67,3.2,0.47,0.48,0.3,0.14,-
16,Gain (Loss) on Sale of Assets,0.17,-0.09,-0.02,-0.06,-0.19,0.33,-0.35,-0.01,-0.12,0.13,-0.09,0.01,0.02,0.1,-0.1,-
17,Asset Writedown,1.83,-1.83,-,-,2.07,-2.07,-,-,0.29,-0.29,-,-,-,-,-,-
18,Other Unusual Items,-0.1,-10.71,6.07,4.74,7.55,0.06,-0.06,-,20.01,-0.09,0.09,-,12.41,0.05,-0.05,-
19,Pretax Income,8.11,-14.59,-21.98,-10.46,29.78,-13.36,43.59,-14.39,50.11,4.45,38.79,0.3,80.95,9.19,36.12,4.09
20,Income Tax Expense,26.95,-3.99,-3.99,-5.89,2.06,-4.09,5.57,-3.84,3.64,-0.38,4.27,-1.91,10.02,-0.85,4.34,-1.63
21,Earnings From Continuing Operations,-18.83,-10.6,-17.99,-4.57,27.72,-9.27,38.02,-10.55,46.46,4.83,34.52,2.21,70.93,10.04,31.79,5.72
22,Minority Interest in Earnings,-0.08,0.02,0.03,0.04,0.04,0.02,0.03,0.03,0.1,0.1,0.14,0.07,0.04,0.15,0.27,-
23,Net Income,-18.91,-10.58,-17.97,-4.53,27.76,-9.25,38.05,-10.52,46.56,4.93,34.65,2.28,70.97,10.18,32.06,5.72
24,Net Income to Common,-18.91,-10.58,-17.97,-4.53,27.76,-9.25,38.05,-10.52,46.56,4.93,34.65,2.28,70.97,10.18,32.06,5.72
25,Net Income Growth,-,-,-,-,-40.37%,-,9.80%,-,-34.39%,-51.60%,8.10%,-60.22%,-,-,-,-
26,Shares Outstanding (Basic),123,132,138,127,132,127,123,134,127,129,123,106,98,96,96,100
27,Shares Outstanding (Diluted),123,132,138,127,132,127,123,134,127,129,123,106,98,96,96,100
28,Shares Change (YoY),-6.78%,4.17%,11.81%,-5.10%,4.17%,-1.56%,-0.23%,25.81%,29.78%,34.32%,29.02%,6.13%,-,-,-,-
29,EPS (Basic),-0.15,-0.08,-0.13,-0.04,0.21,-0.07,0.31,-0.08,0.37,0.04,0.28,0.02,0.73,0.11,0.33,0.06
30,EPS (Diluted),-0.15,-0.08,-0.13,-0.04,0.21,-0.07,0.31,-0.08,0.37,0.04,0.28,0.02,0.73,0.11,0.33,0.06
31,EPS Growth,-,-,-,-,-42.76%,-,10.05%,-,-49.45%,-63.97%,-16.21%,-62.52%,-,-,-,-
32,Free Cash Flow,-,-24.86,-10.57,-75.36,60.97,59.94,-31.22,-31.12,68.01,-14.55,-52.22,-47.67,89.05,-18.88,-48.07,78.81
33,Free Cash Flow Per Share,-,-0.19,-0.08,-0.59,0.46,0.47,-0.25,-0.23,0.54,-0.11,-0.42,-0.45,0.91,-0.20,-0.50,0.79
34,Dividend Per Share,-,-,-,-,0.143,-,-,-,0.214,-,-,-,0.357,-,-,-
35,Dividend Growth,-,-,-,-,-33.32%,-,-,-,-39.99%,-,-,-,-,-,-,-
36,Gross Margin,149.55%,33.73%,36.16%,43.00%,44.08%,52.52%,58.90%,48.05%,36.98%,61.02%,43.18%,42.04%,61.44%,53.72%,49.64%,50.89%
37,Operating Margin,22.35%,-29.28%,-88.39%,-60.34%,6.67%,-87.00%,24.41%,-120.67%,8.11%,-11.46%,17.01%,-7.54%,27.93%,11.08%,24.67%,2.59%
38,Profit Margin,-12.77%,-29.75%,-43.03%,-11.15%,16.73%,-36.84%,26.12%,-53.47%,19.28%,10.17%,19.07%,4.97%,30.26%,16.19%,23.73%,9.12%
39,Free Cash Flow Margin,-,-69.87%,-25.31%,-185.44%,36.74%,238.83%,-21.43%,-158.25%,28.16%,-30.02%,-28.74%,-104.11%,37.97%,-30.02%,-35.58%,125.68%
40,EBITDA,36.93,-6.59,-33.31,-20.7,14.89,-18.58,39.65,-20.47,22.85,-2.48,33.75,-0.38,68.58,9.34,36.44,3.98
41,EBITDA Margin,24.93%,-18.54%,-79.78%,-50.93%,8.97%,-74.03%,27.22%,-104.11%,9.46%,-5.12%,18.58%,-0.82%,29.24%,14.84%,26.97%,6.35%
42,D&A For EBITDA,3.82,3.82,3.59,3.82,3.82,3.26,4.09,3.26,3.26,3.08,2.85,3.08,3.08,2.36,3.1,2.36
43,EBIT,33.1,-10.42,-36.9,-24.52,11.07,-21.83,35.56,-23.73,19.6,-5.56,30.9,-3.45,65.5,6.97,33.34,1.62
44,EBIT Margin,22.35%,-29.28%,-88.39%,-60.34%,6.67%,-87.00%,24.41%,-120.67%,8.11%,-11.46%,17.01%,-7.54%,27.93%,11.08%,24.67%,2.59%
45,Effective Tax Rate,332.05%,-,-,-,6.92%,-,12.78%,-,7.27%,-,11.02%,-,12.37%,-,12.00%,-
46,Revenue as Reported,-,35.57,41.75,40.64,165.96,25.1,145.67,19.66,241.54,48.46,181.67,45.79,234.52,62.91,135.11,62.7
