,Fiscal Quarter,Current,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020,H2 2019,+2 Quarters
,Period Ending,"Mar '25 Mar 13, 2025","Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020","Dec '19 Dec 31, 2019",+2 Quarters
0,Market Capitalization,5421,7385,9578,6957,7555,8594,9069,8128,9796,5885,6220,Upgrade
1,Market Cap Growth,6.14%,6.14%,26.78%,-19.04%,-16.69%,5.74%,-7.43%,38.12%,57.49%,28.45%,30.64%,Upgrade
2,Enterprise Value,5644,7169,9394,7294,7937,8981,8871,8281,9761,6076,5892,Upgrade
3,Last Close Price,7.70,10.84,13.27,9.64,10.10,11.48,11.52,10.32,11.95,6.98,7.37,Upgrade
4,PE Ratio,7.34,10.23,10.37,11.35,17.48,13.46,13.10,11.24,18.22,13.89,13.71,Upgrade
5,Forward PE,10.32,11.33,11.33,11.33,11.33,11.33,11.33,11.33,11.33,11.33,11.33,Upgrade
6,PS Ratio,0.71,1.00,1.26,1.05,1.18,1.19,1.16,1.06,1.55,1.11,1.34,Upgrade
7,PB Ratio,1.14,1.56,1.91,1.55,1.68,1.88,1.88,1.84,2.37,1.61,1.75,Upgrade
8,P/TBV Ratio,2.68,2.68,3.21,2.79,3.14,3.58,3.57,3.76,5.18,3.70,4.36,Upgrade
9,P/FCF Ratio,5.17,7.04,5.96,4.31,4.36,5.94,7.17,4.72,6.32,5.42,9.26,Upgrade
10,P/OCF Ratio,6.21,6.21,5.54,3.94,3.93,5.20,6.14,4.35,5.82,4.96,7.95,Upgrade
11,PEG Ratio,0.69,0.69,0.69,0.69,0.69,0.69,0.69,0.69,0.69,0.69,0.69,Upgrade
12,EV/Sales Ratio,0.76,0.97,1.23,1.11,1.24,1.24,1.14,1.08,1.54,1.15,1.27,Upgrade
13,EV/EBITDA Ratio,3.19,8.60,8.99,9.25,12.26,9.47,8.29,8.28,13.99,10.39,9.31,Upgrade
14,EV/EBIT Ratio,8.32,10.57,10.48,11.56,16.85,11.80,10.12,10.04,17.99,13.10,11.01,Upgrade
15,EV/FCF Ratio,5.38,6.83,5.85,4.52,4.58,6.21,7.02,4.81,6.30,5.60,8.77,Upgrade
16,Debt / Equity Ratio,0.31,0.31,0.28,0.29,0.30,0.30,0.32,0.28,0.28,0.33,0.26,Upgrade
17,Debt / FCF Ratio,1.42,1.42,0.87,0.80,0.78,0.96,1.22,0.72,0.74,1.10,1.38,Upgrade
18,Return on Capital Employed (ROCE),12.83%,12.83%,16.14%,12.49%,9.04%,14.24%,15.54%,16.69%,11.26%,10.85%,12.88%,Upgrade
19,Earnings Yield,13.31%,9.77%,9.64%,8.81%,5.72%,7.43%,7.63%,8.89%,5.49%,7.20%,7.29%,Upgrade
20,FCF Yield,19.35%,14.21%,16.77%,23.21%,22.92%,16.83%,13.94%,21.18%,15.83%,18.45%,10.80%,Upgrade
21,Dividend Yield,9.09%,-,-,-,-,-,-,-,-,-,-,Upgrade
22,Buyback Yield / Dilution,-0.08%,-0.08%,-0.08%,0.34%,1.81%,-0.51%,-2.96%,0.33%,1.16%,-40.32%,-40.35%,Upgrade
23,Total Shareholder Return,9.01%,-0.08%,-0.08%,0.34%,1.81%,-0.51%,-2.96%,0.33%,1.16%,-40.32%,-40.35%,Upgrade
