,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021"
0,Operating Revenue,650.52,496.43,644.21,443.43,715.7,641.7,732.48,550.52,719.99,739.65,763.13,525.52,709.19
1,Other Revenue,-,-0.55,0.55,-,0.54,-0.21,0.21,-,0.49,-,-,-,0.2
2,Revenue,650.52,495.88,644.76,443.43,716.23,641.48,732.69,550.52,720.48,739.65,763.13,525.52,709.39
3,Revenue Growth (YoY),-9.18%,-22.70%,-12.00%,-19.45%,-0.59%,-13.27%,-3.99%,4.76%,1.56%,-,-,-,-
4,Cost of Revenue,-994.53,322.58,384.78,287.17,542.79,422.26,473.32,384.09,526.48,478.81,479.2,358.78,479.61
5,Gross Profit,1645,173.3,259.98,156.26,173.44,219.22,259.38,166.43,194,260.84,283.93,166.74,229.78
6,"Selling, General & Admin",-317.3,103.02,104.06,110.22,96.1,109.26,132.33,119.2,99.55,106.53,107.09,114.54,85.75
7,Research & Development,-291.95,97.44,101.13,93.39,119.14,96.22,111.44,102.25,102.81,98.59,89.82,82.6,72.55
8,Other Operating Expenses,2230,-42.54,-5.03,-16.38,-1.63,-13.98,-19.13,-18.21,-2.49,-19.09,-11.59,-9.56,6.85
9,Operating Expenses,1628,151.34,211.71,174.94,215.57,198.2,229.73,188.46,208.27,197.3,198.95,186.91,167.74
10,Operating Income,17.35,21.96,48.28,-18.69,-42.13,21.02,29.65,-22.03,-14.28,63.54,84.98,-20.17,62.04
11,Interest Expense,-47.39,-1.31,-1.31,-0.67,-,-1.35,-,-1.97,-14.17,-2.64,-3.36,-2.95,-16.61
12,Interest & Investment Income,3.29,16.22,17.3,13.87,21.68,28.31,26.8,24.58,-,24.08,10.5,6.11,-
13,Currency Exchange Gain (Loss),-,2.79,-2.79,-,0.33,-1.66,1.66,-,-10.49,3.1,-3.1,-,3.11
14,Other Non Operating Income (Expenses),6.9,-1.47,0.71,-1.08,-5.01,3.51,-1.6,1.99,6.6,-7.67,-0.14,0.14,-4.12
15,EBT Excluding Unusual Items,-19.84,38.19,62.18,-6.57,-25.12,49.83,56.51,2.57,-32.33,80.41,88.89,-16.87,44.43
16,Gain (Loss) on Sale of Investments,-,-,1.12,-1.12,-,-,-,-,-13.95,-,-,-,-
17,Gain (Loss) on Sale of Assets,0.27,0.02,-0.28,0,-0.01,-0,4.78,0,0.01,-,-,-,0.04
18,Asset Writedown,6.81,-6.81,2.45,-2.45,12.16,-12.6,7.96,-7.96,11.42,-11.66,5.27,-5.27,9.18
19,Other Unusual Items,-,-16.29,16.23,0.06,30.4,0.13,-0.13,-,23.92,-0.09,0.09,-,19.5
20,Pretax Income,-12.77,15.11,81.7,-10.07,17.43,37.36,69.12,-5.39,-10.93,68.66,94.25,-22.15,73.16
21,Income Tax Expense,-9.22,-8.91,-12.14,-0.99,-0.05,-8.31,-8.99,-14.2,-39.88,-11.18,-0.13,-6.07,7.68
22,Earnings From Continuing Operations,-3.56,24.02,93.84,-9.08,17.48,45.67,78.11,8.82,28.95,79.84,94.38,-16.08,65.48
23,Minority Interest in Earnings,-3.22,0.71,0.1,2.41,8.65,1.13,2.73,1.35,0.59,-0.91,-0.53,1.43,-1.08
24,Net Income,-6.77,24.72,93.94,-6.68,26.12,46.8,80.84,10.17,29.54,78.93,93.85,-14.65,64.4
25,Net Income to Common,-6.77,24.72,93.94,-6.68,26.12,46.8,80.84,10.17,29.54,78.93,93.85,-14.65,64.4
26,Net Income Growth,-,-47.17%,16.20%,-,-11.56%,-40.71%,-13.86%,-,-54.14%,-,-,-,-
27,Shares Outstanding (Basic),430,481,251,668,495,468,402,509,446,466,354,366,358
28,Shares Outstanding (Diluted),430,481,251,668,495,468,402,509,446,466,354,366,358
29,Shares Change (YoY),-13.21%,2.84%,-37.48%,31.25%,11.10%,0.44%,13.46%,38.91%,24.69%,-,-,-,-
30,EPS (Basic),-0.02,0.05,0.37,-0.01,0.05,0.10,0.20,0.02,0.07,0.17,0.27,-0.04,0.18
31,EPS (Diluted),-0.02,0.05,0.37,-0.01,0.05,0.10,0.20,0.02,0.07,0.17,0.27,-0.04,0.18
32,EPS Growth,-,-48.63%,85.86%,-,-20.40%,-40.97%,-24.08%,-,-63.22%,-,-,-,-
33,Free Cash Flow,-,-45.31,-102.77,-91.92,167.34,-78.72,-13.23,65.84,-23.84,-130.28,-30.81,-104.78,104.79
34,Free Cash Flow Per Share,-,-0.09,-0.41,-0.14,0.34,-0.17,-0.03,0.13,-0.05,-0.28,-0.09,-0.29,0.29
35,Dividend Per Share,-,-,-,-,0.050,-,-,-,0.125,-,-,-,-
36,Dividend Growth,-,-,-,-,-60.00%,-,-,-,-,-,-,-,-
37,Gross Margin,252.88%,34.95%,40.32%,35.24%,24.22%,34.17%,35.40%,30.23%,26.93%,35.27%,37.21%,31.73%,32.39%
38,Operating Margin,2.67%,4.43%,7.49%,-4.21%,-5.88%,3.28%,4.05%,-4.00%,-1.98%,8.59%,11.14%,-3.84%,8.75%
39,Profit Margin,-1.04%,4.99%,14.57%,-1.51%,3.65%,7.30%,11.03%,1.85%,4.10%,10.67%,12.30%,-2.79%,9.08%
40,Free Cash Flow Margin,-,-9.14%,-15.94%,-20.73%,23.36%,-12.27%,-1.81%,11.96%,-3.31%,-17.61%,-4.04%,-19.94%,14.77%
41,EBITDA,28.31,32.91,59.9,-7.73,-31.17,27.63,41.31,-15.43,-7.67,69.37,91.3,-14.33,67.88
42,EBITDA Margin,4.35%,6.64%,9.29%,-1.74%,-4.35%,4.31%,5.64%,-2.80%,-1.06%,9.38%,11.96%,-2.73%,9.57%
43,D&A For EBITDA,10.95,10.95,11.62,10.95,10.95,6.61,11.66,6.61,6.61,5.83,6.31,5.83,5.83
44,EBIT,17.35,21.96,48.28,-18.69,-42.13,21.02,29.65,-22.03,-14.28,63.54,84.98,-20.17,62.04
45,EBIT Margin,2.67%,4.43%,7.49%,-4.21%,-5.88%,3.28%,4.05%,-4.00%,-1.98%,8.59%,11.14%,-3.84%,8.75%
46,Effective Tax Rate,-,-,-,-,-,-,-,-,-,-,-,-,10.49%
47,Revenue as Reported,-,495.88,644.76,443.43,716.23,641.48,732.69,550.52,720.48,739.65,763.13,525.52,709.39
