,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021"
0,Cash & Equivalents,-,2005,1938,2022,2083,1895,1989,2164,2122,2146,-,-,542.03
1,Trading Asset Securities,-,5,25,55,72,170,95,10,-,10,-,-,-
2,Cash & Short-Term Investments,2010,2010,1963,2077,2155,2065,2084,2174,2122,2156,-,542.03,542.03
3,Cash Growth,-6.72%,-2.64%,-5.82%,-4.47%,1.59%,-4.21%,-,301.05%,291.43%,-,-,-,-
4,Accounts Receivable,-,1101,1188,1102,1270,1292,1172,1164,1434,1324,-,-,948
5,Other Receivables,-,60.37,28.99,36.57,103.4,58.93,113.23,79.75,86.71,37.89,-,-,60.92
6,Receivables,-,1162,1217,1139,1374,1351,1285,1243,1521,1362,-,-,1009
7,Inventory,-,438.8,435.97,425.57,403.49,462.14,483.37,479.12,470.22,454.73,-,-,387.39
8,Other Current Assets,-,141.38,137.92,159.46,49,136.71,66.78,96.9,51.55,100.43,-,-,93.43
9,Total Current Assets,-,3752,3754,3800,3982,4015,3920,3993,4164,4073,-,-,2032
10,"Property, Plant & Equipment",-,572.56,565.07,538.37,527.42,485.35,486.26,463.96,475.39,446.48,-,-,376.98
11,Long-Term Investments,-,349.73,342.2,306.14,304.36,241.17,226.84,214.04,212.03,202.26,-,-,131.21
12,Goodwill,-,0.97,0.97,0.97,0.97,1.77,1.77,1.77,-,-,-,-,-
13,Other Intangible Assets,-,105.71,101.5,70.23,70.33,68.76,67.44,25.05,23.94,24.06,-,-,21.72
14,Long-Term Deferred Tax Assets,-,177.7,169.64,156.33,158.55,146.07,136.71,131.29,123.86,45.9,-,-,28.93
15,Long-Term Deferred Charges,-,33.83,30.04,56.2,41.9,29.87,15.93,12.84,14.65,15.62,-,-,8.97
16,Other Long-Term Assets,-,9,9,-,-,-,-,-,-,-,-,-,0.75
17,Total Assets,-,5002,4972,4929,5085,4988,4854,4842,5014,4808,-,-,2600
18,Accounts Payable,-,358.38,381.06,374.03,501.59,505.42,493.67,458.77,561.06,517.59,-,-,394.89
19,Accrued Expenses,-,50.73,119.64,137.65,197.44,54.18,122.46,95.7,145.71,74.97,-,-,104.66
20,Short-Term Debt,-,181.04,101.3,52.26,5.22,0.5,-,40.04,41.04,70.57,-,-,168.53
21,Current Portion of Long-Term Debt,-,-,-,-,-,-,-,-,-,16.43,-,-,9.56
22,Current Portion of Leases,-,17.16,16.28,21.48,25.62,13.81,15.88,-,20.33,-,-,-,10.83
23,Current Income Taxes Payable,-,37.35,2.12,64.72,4.15,57.06,0.16,18.43,1.34,36.25,-,-,1.12
24,Current Unearned Revenue,-,89.83,86.72,68.84,93.46,105.09,84.21,91.02,109.56,85.16,-,-,143.49
25,Other Current Liabilities,-,35.31,24.23,19.73,19.86,23.88,19.42,33.93,30.13,18.79,-,-,20.67
26,Total Current Liabilities,-,769.8,731.36,738.71,847.34,759.95,735.81,737.9,909.17,819.77,-,-,853.75
27,Long-Term Debt,-,54.61,54.61,54.57,26.5,15.77,-,-,-,-,-,-,28.5
28,Long-Term Leases,-,27.69,32.34,37.2,40.24,13.04,15.07,19.09,23.95,25.47,-,-,24.89
29,Long-Term Unearned Revenue,-,122.09,128.5,140.35,122.26,124.54,86.94,94.02,97.61,76.85,-,-,76.92
30,Long-Term Deferred Tax Liabilities,-,32.13,34.06,32.89,38.25,28.77,30.11,32.55,35.27,-,-,-,-
31,Other Long-Term Liabilities,-,30.46,30.8,25.33,43.45,43.14,42.25,51.72,50.77,49.25,-,-,49.79
32,Total Liabilities,-,1037,1012,1029,1118,985.21,910.18,935.27,1117,971.35,-,-,1034
33,Common Stock,-,463.5,463.5,463.5,463.5,463.5,463.5,463.5,463.5,463.5,-,-,360
34,Additional Paid-In Capital,-,2924,2923,2921,2919,2950,2935,2922,2919,2883,-,-,886.03
35,Retained Earnings,-,703.49,678.77,607.8,614.48,588.35,541.56,518.67,508.48,478.9,-,-,320.77
36,Treasury Stock,-,-120.03,-98.65,-87.03,-27.45,-,-,-,-,-,-,-,-
37,Comprehensive Income & Other,-,0.66,0.93,0.41,1.07,1.27,1.39,-2.26,0.59,4.85,-,-,-6.2
38,Total Common Equity,3972,3972,3967,3906,3971,4003,3941,3902,3891,3830,-,1561,1561
39,Minority Interest,-,-6.98,-6.38,-6.27,-3.87,-1.07,3.14,5.29,6.29,5.87,-,-,5.86
40,Shareholders' Equity,3965,3965,3961,3899,3967,4002,3944,3907,3897,3836,-,1566,1566
41,Total Liabilities & Equity,-,5002,4972,4929,5085,4988,4854,4842,5014,4808,-,-,2600
42,Total Debt,280.51,280.51,204.53,165.52,97.58,43.13,30.95,59.12,85.32,112.47,-,242.3,242.3
43,Net Cash (Debt),1730,1730,1758,1911,2058,2022,2053,2115,2036,2043,-,299.73,299.73
44,Net Cash Growth,-15.93%,-14.44%,-14.36%,-9.63%,1.05%,-1.05%,-,605.53%,579.40%,-,-,-,-
45,Net Cash Per Share,4.02,3.59,7.00,2.86,4.15,4.32,5.11,4.16,4.57,4.39,-,0.82,0.84
46,Filing Date Shares Outstanding,429.98,457.5,460.11,459.64,459.64,463.5,463.5,463.5,463.5,463.5,353.92,366.13,360
47,Total Common Shares Outstanding,429.98,457.5,460.11,459.64,462.37,463.5,463.5,463.5,463.5,463.5,353.92,366.13,360
48,Working Capital,-,2982,3023,3062,3134,3255,3184,3255,3255,3253,-,-,1178
49,Book Value Per Share,8.68,8.68,8.62,8.50,8.59,8.64,8.50,8.42,8.40,8.26,-,4.34,4.34
50,Tangible Book Value,3865,3865,3865,3835,3900,3933,3872,3875,3867,3806,-,1539,1539
51,Tangible Book Value Per Share,8.45,8.45,8.40,8.34,8.43,8.49,8.35,8.36,8.34,8.21,-,4.27,4.27
52,Buildings,-,-,195.44,-,195.44,-,195.44,-,195.44,-,-,-,195.49
53,Machinery,-,-,370.62,-,369.48,-,325.61,-,348.02,-,-,-,149.44
54,Construction In Progress,-,-,118.93,-,47.64,-,62.27,-,1.15,-,-,-,86.71
