,Fiscal Quarter,Current,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021
,Period Ending,"Mar '25 Mar 12, 2025","Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021"
0,Market Capitalization,15427,10028,9547,7667,9585,12515,11504,14127,14114,11833,10860,-,-,-
1,Market Cap Growth,-19.87%,-19.87%,-17.01%,-45.73%,-32.09%,5.76%,5.93%,-,-,-,-,-,-,-
2,Enterprise Value,13690,8291,7782,5749,7562,10492,9454,12018,12076,9796,10708,-,-,-
3,Last Close Price,33.72,21.92,20.75,16.68,20.67,26.92,24.75,30.39,30.27,25.38,23.29,-,-,-
4,PE Ratio,146.61,-,69.13,47.86,-,76.34,68.74,70.82,66.42,63.05,48.80,-,-,-
5,Forward PE,82.24,47.01,56.08,36.66,36.37,43.11,39.71,42.61,41.71,33.16,40.75,-,-,-
6,PS Ratio,6.90,4.49,4.15,3.13,3.78,4.74,4.35,5.15,5.09,4.30,3.97,-,-,-
7,PB Ratio,3.88,2.53,2.41,1.94,2.46,3.15,2.87,3.58,3.61,3.04,2.83,-,-,-
8,P/TBV Ratio,2.59,2.59,2.47,1.98,2.50,3.21,2.93,3.65,3.64,3.06,2.85,-,-,-
9,P/FCF Ratio,-,-,-,-,-,88.61,-,-,-118.52,-,-,-,-,-
10,P/OCF Ratio,-,-,-,-,-,45.87,-,219.91,-940.18,-71.57,-,-,-,-
11,EV/Sales Ratio,6.13,3.71,3.38,2.35,2.98,3.97,3.57,4.38,4.35,3.56,3.91,-,-,-
12,EV/EBITDA Ratio,121.46,73.13,144.39,118.25,-,-,206.20,137.21,-,-,49.99,-,-,-
13,EV/EBIT Ratio,198.68,120.33,825.98,677.35,-,-,658.35,211.31,-,-,56.24,-,-,-
14,EV/FCF Ratio,-,-,-,-,-,74.29,-,-,-101.41,-,-,-,-,-
15,Debt / Equity Ratio,0.07,0.07,0.07,0.05,0.04,0.02,0.01,0.01,0.02,0.02,0.03,-,0.15,0.15
16,Debt / EBITDA Ratio,2.49,2.48,2.13,0.69,-,-,0.39,0.16,-,1.77,0.41,-,-,0.77
17,Debt / FCF Ratio,-,-,-,-,-,0.69,-,-,-0.50,-,-,-,-,2.31
18,Asset Turnover,-,0.40,0.52,0.35,0.57,0.52,0.60,0.45,0.59,-,-,-,-,
19,Inventory Turnover,-,-,2.95,3.57,2.77,5.02,3.57,3.93,3.24,4.55,-,-,-,-
20,Quick Ratio,-,-,4.12,4.35,4.35,4.17,4.49,4.58,4.63,4.01,4.29,-,-,1.82
21,Current Ratio,-,-,4.87,5.13,5.14,4.70,5.28,5.33,5.41,4.58,4.97,-,-,2.38
22,Return on Equity (ROE),-0.36%,2.42%,9.55%,-0.92%,1.75%,4.60%,7.96%,0.90%,2.99%,-,-,-4.10%,-,
23,Return on Assets (ROA),-,1.10%,2.44%,-0.93%,-2.09%,1.07%,1.53%,-1.12%,-0.73%,-,-,-,-,
24,Return on Capital (ROIC),1.02%,1.31%,2.93%,-1.15%,-2.60%,1.31%,1.87%,-1.39%,-0.90%,-,-,-2.79%,-,
25,Return on Capital Employed (ROCE),-,-,0.22%,0.20%,-,-,0.34%,1.38%,-,-,4.77%,-,-,3.55%
26,Earnings Yield,0.68%,1.05%,1.45%,2.09%,1.53%,1.31%,1.45%,1.41%,1.51%,1.59%,2.05%,-,-,-
27,FCF Yield,-,-0.76%,-1.38%,-0.17%,1.13%,-0.43%,-0.72%,-0.84%,-2.45%,-1.48%,-,-,-,
28,Dividend Yield,0.13%,-,-,-,-,0.19%,-,-,-,0.49%,-,-,-,-
29,Payout Ratio,0.00%,-,5.76%,23.48%,-,0.79%,8.42%,66.93%,0.75%,7.94%,2.27%,1.88%,-,3.38%
30,Buyback Yield / Dilution,2.33%,13.21%,-2.84%,37.48%,-31.25%,-11.10%,-0.44%,-13.46%,-38.91%,-24.69%,-,-,-,-
31,Total Shareholder Return,2.47%,13.21%,-2.84%,37.48%,-31.25%,-10.92%,-0.44%,-13.46%,-38.91%,-24.20%,-,-,-,-
