,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q1 2021
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Jan '22 Jan 1, 2022","Mar '21 Mar 31, 2021"
0,Operating Revenue,386.7,286.2,238.04,240.57,359.58,249.36,279.51,171.49,333.3,215.15,259.51,267.46,243.26
1,Other Revenue,-53.28,53.28,-,87.97,-40.9,40.9,-,62.38,-31.86,31.86,-,63.14,-
2,Revenue,333.42,339.48,238.04,328.54,318.68,290.26,279.51,233.87,301.44,247.01,259.51,330.61,243.26
3,Revenue Growth (YoY),4.62%,16.95%,-14.84%,40.48%,5.72%,17.51%,7.71%,-29.26%,23.91%,-,-,-,-
4,Cost of Revenue,256.96,282.63,196.7,272.77,245.22,242.76,223.93,198.55,242.01,200.39,205.52,281.93,191.24
5,Gross Profit,76.45,56.85,41.34,55.77,73.47,47.51,55.59,35.32,59.43,46.62,53.99,48.68,52.02
6,"Selling, General & Admin",25.97,27.76,23.99,28.28,22.53,17.08,17.83,21.27,19.75,15.19,12.19,9.43,14.31
7,Research & Development,14.11,17.88,13.69,11.09,12.24,14.33,13.3,11.72,13.65,15.73,13.03,12.75,12.3
8,Other Operating Expenses,-6.61,1.32,-1.88,5.69,0.51,-0.3,-1.39,17.75,-8.94,-0.21,-4.67,16.09,-3.06
9,Operating Expenses,34.16,49.44,33.76,45.54,35.22,31.66,30.38,49.95,26.09,30.68,20.55,37.75,21.96
10,Operating Income,42.3,7.41,7.58,10.22,38.24,15.84,25.21,-14.63,33.34,15.94,33.44,10.93,30.06
11,Interest Expense,-0.44,-0.51,-0.4,-1.03,-0.09,-0.77,-0.32,-,-1.72,-,-0.85,-1,-0.92
12,Interest & Investment Income,5.28,10.5,5.47,6.98,7.35,7.16,7.09,7.04,3.5,0.57,0.56,0.39,0.33
13,Currency Exchange Gain (Loss),-2.34,2.34,-,4.37,-6.44,6.44,-,8.07,-5.32,5.32,-,-1.97,-
14,Other Non Operating Income (Expenses),-1.95,-0.79,0.96,-4.68,4.65,1.69,-1.93,-11.51,12,0.31,-0.45,0.81,0.43
15,EBT Excluding Unusual Items,42.85,18.94,13.61,15.86,43.71,30.36,30.05,-11.04,41.81,22.13,32.71,9.15,29.89
16,Gain (Loss) on Sale of Investments,-,-,-,-,-,-,-,0,-,-,-,-,-
17,Gain (Loss) on Sale of Assets,-3.96,0.6,-0.58,0.23,0.04,-,0.04,-0.24,0.21,0.13,0.01,5.28,0.32
18,Asset Writedown,-4.81,2.23,-3.27,4.69,-5.15,1.57,-2.14,0.75,-1.14,1.69,-2.13,1.63,0.72
19,Other Unusual Items,-3.88,3.86,0.02,7.09,-,-,-,30.52,-,-,-,17.64,-
20,Pretax Income,30.21,25.64,9.78,27.87,38.6,31.93,27.95,19.99,40.88,23.95,30.59,33.69,30.94
21,Income Tax Expense,-2.5,-6.52,2.97,7.12,-0.48,6.27,3.65,-0.23,0.5,3.64,4.64,2.52,4.01
