,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q1 2021
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Jan '22 Jan 1, 2022","Mar '21 Mar 31, 2021"
0,Cash & Equivalents,825.49,773.15,853.13,844.26,882.99,939.09,987.83,962.69,962.39,-,216.11,207.99,-
1,Trading Asset Securities,10,15,10,-,45,25,20,30,20,-,-,-,-
2,Cash & Short-Term Investments,835.49,788.15,863.13,844.26,927.99,964.09,1008,992.69,982.39,-,216.11,207.99,203.99
3,Cash Growth,-9.97%,-18.25%,-14.36%,-14.95%,-5.54%,-,366.35%,377.29%,381.59%,-,-,-,-
4,Accounts Receivable,563.35,423.24,467.29,498.19,475.75,390.66,378.83,415.02,418.43,-,353.64,379.42,-
5,Other Receivables,19.16,143.57,22.34,18.2,0.87,65.45,59.95,15.39,2.24,-,0.53,0.33,-
6,Receivables,582.51,566.82,489.63,516.39,476.62,456.11,438.77,430.41,420.68,-,354.17,379.75,-
7,Inventory,132.28,140.58,117.5,105.34,147.36,128.65,128.27,132.78,104.3,-,116.71,108.86,-
8,Other Current Assets,0.51,0.68,1.68,1.83,16.76,17.14,16.37,0.74,10.9,-,16.31,19.03,-
9,Total Current Assets,1551,1496,1472,1468,1569,1566,1591,1557,1518,-,703.3,715.63,-
10,"Property, Plant & Equipment",811.24,739.84,751.68,739.28,653.68,608.63,571.26,579.57,555.42,-,518.35,522.46,-
11,Other Intangible Assets,14.49,14.79,15.1,15.24,15.53,15.83,16.11,16.41,16.73,-,17.26,17.55,-
12,Long-Term Deferred Tax Assets,15.6,13.19,10.36,10.92,13.83,13.69,11.7,12.99,8.95,-,8.52,8.09,-
13,Long-Term Deferred Charges,7.53,6.84,5.64,6.12,5.04,5.21,5.83,6.45,6.07,-,6.83,7.27,-
14,Other Long-Term Assets,67.74,61.8,51.94,36.89,4.27,4.27,4.27,4.39,8.27,-,3.4,0.87,-
15,Total Assets,2467,2333,2307,2276,2261,2214,2200,2176,2114,-,1258,1272,-
16,Accounts Payable,604.55,511.74,446.36,448.44,464.6,452.11,415.89,447.91,391.88,-,449.19,486.58,-
17,Accrued Expenses,17.04,18.59,20.49,20.44,14.92,14.95,16.01,14.87,13.94,-,18.22,13.98,-
18,Short-Term Debt,70.05,70.05,70.05,50.04,55.05,55.05,55.06,30.04,58.06,-,67.58,68.29,-
19,Current Portion of Long-Term Debt,-,-,-,-,-,-,-,-,2.07,-,3.45,1,-
20,Current Portion of Leases,1.9,1.68,3.37,3.31,3.14,3.14,3.22,3.21,-,-,-,3.51,-
21,Current Income Taxes Payable,0.43,-1.67,4.9,4.06,0.94,5.7,6.09,0.08,2.51,-,-,3.01,-
22,Current Unearned Revenue,0.34,1.1,0.42,0.48,0.01,0.01,0.52,0.26,0.54,-,0.18,0.51,-
23,Other Current Liabilities,1.89,2.38,6.61,5.7,3.92,3.99,2.53,2.68,1.92,-,1.29,2.02,-
24,Total Current Liabilities,696.2,603.87,552.2,532.46,542.58,534.95,499.32,499.04,470.93,-,539.91,578.9,-
25,Long-Term Debt,-,-,-,-,-,-,-,-,-,-,13.5,14.02,-
26,Long-Term Leases,1.31,1.99,7.83,8.58,9.56,10.37,11.09,11.89,4.78,-,-,-,-
27,Long-Term Unearned Revenue,30.1,30.82,26.54,27.27,27.99,28.71,29.44,27,22.96,-,24.4,25.03,-
28,Long-Term Deferred Tax Liabilities,1.29,1.38,2.55,2.64,2.8,2.96,1.04,3.27,-,-,-,-,-
29,Total Liabilities,728.9,638.07,589.12,570.96,582.93,576.99,540.88,541.2,498.67,-,577.82,617.96,-
30,Common Stock,148.09,147.47,147.47,147.47,147.47,147.47,147.47,147.47,147.47,-,110.6,110.6,-
31,Additional Paid-In Capital,1042,1031,1026,1021,1014,1012,1012,1012,1012,-,174.36,-,-
32,Retained Earnings,548.82,516.11,543.77,536.95,516.27,477.19,500.13,475.84,455.63,-,394.94,369,-
33,Comprehensive Income & Other,-0.01,0.03,0.02,0.02,0.03,0.03,0,-0,0.01,-,-0.06,174.3,-
34,Shareholders' Equity,1738,1695,1718,1705,1678,1637,1660,1635,1615,-,679.84,653.9,547.81
35,Total Liabilities & Equity,2467,2333,2307,2276,2261,2214,2200,2176,2114,-,1258,1272,-
36,Total Debt,73.26,73.72,81.26,61.93,67.75,68.56,69.37,45.13,64.92,-,84.54,86.82,98.34
37,Net Cash (Debt),762.23,714.43,781.88,782.33,860.24,895.53,938.46,947.56,917.47,-,131.58,121.16,105.65
38,Net Cash Growth,-11.39%,-20.22%,-16.69%,-17.44%,-6.24%,-,613.25%,682.06%,768.42%,-,-,-,-
39,Net Cash Per Share,5.48,4.69,5.30,5.28,5.69,6.12,6.36,6.35,7.54,-,1.17,1.09,0.94
40,Filing Date Shares Outstanding,148.09,147.47,147.47,147.47,147.47,147.47,147.47,147.47,147.47,107.44,110.6,110.6,112.19
41,Total Common Shares Outstanding,148.09,147.47,147.47,147.47,147.47,147.47,147.47,147.47,147.47,107.44,110.6,110.6,112.19
42,Working Capital,854.59,892.35,919.74,935.36,1026,1031,1092,1058,1047,-,163.39,136.72,-
43,Book Value Per Share,11.74,11.49,11.65,11.56,11.38,11.10,11.25,11.09,10.95,-,6.15,5.91,4.95
44,Tangible Book Value,1724,1680,1702,1690,1663,1621,1643,1619,1598,-,662.59,636.35,529.28
