,Fiscal Quarter,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020,H2 2019,+2 Quarters
,Period Ending,"Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020","Dec '19 Dec 31, 2019",+2 Quarters
0,Revenue,585.93,557.12,366.73,711.66,404.55,501.66,297.63,442.68,307.52,349.13,Upgrade
1,Revenue Growth (YoY),59.77%,-21.72%,-9.35%,41.86%,35.92%,13.32%,-3.22%,26.80%,58.94%,23.80%,Upgrade
2,Cost of Revenue,514.4,480.21,315.87,597.3,344.47,426.44,252.35,373.07,258.68,292.17,Upgrade
3,Gross Profit,71.53,76.91,50.85,114.36,60.08,75.22,45.28,69.61,48.84,56.96,Upgrade
4,"Selling, General & Admin",58.39,48.19,32.71,44.12,30.12,26.64,19.92,25.1,18.72,18.91,Upgrade
5,Other Operating Expenses,-12.34,1.18,-4.24,4.26,-6.03,-4.4,-0,3.16,-4.76,-2.54,Upgrade
6,Operating Expenses,46.06,49.37,28.46,48.37,24.09,22.24,19.91,28.26,13.95,16.38,Upgrade
7,Operating Income,25.48,27.55,22.39,65.99,35.99,52.98,25.37,41.35,34.89,40.58,Upgrade
8,Interest Expense,-8.17,-6.38,-3.19,-3.39,-1.73,-0.49,-0.4,-0.35,-0.36,-0.37,Upgrade
9,Interest & Investment Income,-,11.21,-,7.14,-,1.34,-,1.61,-,3.6,Upgrade
10,Currency Exchange Gain (Loss),-,1.05,-,11.2,-,-2.76,-,-10.26,-,0.96,Upgrade
11,EBT Excluding Unusual Items,17.31,33.43,19.21,80.95,34.26,51.07,24.97,32.36,34.53,44.77,Upgrade
12,Gain (Loss) on Sale of Assets,-,-1.3,-,-14.37,-,-18.33,-,-14.21,-,-5.18,Upgrade
13,Asset Writedown,-,-1.22,-,-,-,-,-,-,-,-8.94,Upgrade
14,Pretax Income,17.31,30.91,19.21,66.57,34.26,32.75,24.97,18.14,34.53,30.66,Upgrade
15,Income Tax Expense,0.7,2.05,1.67,13.91,3.11,5.45,2.47,3.89,6.36,2.19,Upgrade
16,Earnings From Continuing Operations,16.61,28.86,17.53,52.66,31.16,27.3,22.5,14.26,28.16,28.47,Upgrade
17,Minority Interest in Earnings,-0.57,-0.3,0.5,0.25,0.24,-,-,-,-,-,Upgrade
18,Net Income,16.04,28.56,18.03,52.91,31.39,27.3,22.5,14.26,28.16,28.47,Upgrade
19,Net Income to Common,16.04,28.56,18.03,52.91,31.39,27.3,22.5,14.26,28.16,28.47,Upgrade
20,Net Income Growth,-11.06%,-46.04%,-42.55%,93.80%,39.50%,91.52%,-20.10%,-49.92%,3355.71%,73.85%,Upgrade
21,Shares Outstanding (Basic),854,850,843,837,834,834,834,833,832,832,Upgrade
22,Shares Outstanding (Diluted),881,884,877,876,862,849,840,834,832,832,Upgrade
23,Shares Change (YoY),0.45%,0.97%,1.82%,3.07%,2.54%,1.83%,1.04%,0.32%,-,0.00%,Upgrade
24,EPS (Basic),0.02,0.03,0.02,0.06,0.04,0.03,0.03,0.02,0.03,0.03,Upgrade
25,EPS (Diluted),0.02,0.03,0.02,0.06,0.04,0.03,0.03,0.02,0.03,0.03,Upgrade
26,EPS Growth,-14.29%,-47.44%,-41.67%,90.16%,33.49%,87.77%,-20.37%,-49.95%,3356.12%,72.77%,Upgrade
27,Free Cash Flow,-149.9,-21.85,54.56,-27.31,32.49,65.02,-25.54,39.02,42.72,-6.67,Upgrade
28,Free Cash Flow Per Share,-0.17,-0.02,0.06,-0.03,0.04,0.08,-0.03,0.05,0.05,-0.01,Upgrade
29,Operating Margin,4.35%,4.94%,6.11%,9.27%,8.90%,10.56%,8.52%,9.34%,11.34%,11.62%,Upgrade
30,Profit Margin,2.74%,5.13%,4.92%,7.44%,7.76%,5.44%,7.56%,3.22%,9.16%,8.15%,Upgrade
31,Free Cash Flow Margin,-25.58%,-3.92%,14.88%,-3.84%,8.03%,12.96%,-8.58%,8.81%,13.89%,-1.91%,Upgrade
32,EBITDA,41.9,38.42,37.06,68.82,52.02,64.11,34.64,55.16,44.75,49.52,Upgrade
33,D&A For EBITDA,16.42,10.87,14.67,2.83,16.03,11.13,9.27,13.8,9.86,8.93,Upgrade
34,EBIT,25.48,27.55,22.39,65.99,35.99,52.98,25.37,41.35,34.89,40.58,Upgrade
