,Fiscal Quarter,Current,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020,H2 2019
,Period Ending,"Mar '25 Mar 13, 2025","Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020","Dec '19 Dec 31, 2019"
0,Market Capitalization,8062,4924,5839,6558,13559,9050,10612,26865,40917,30734,35759
1,Market Cap Growth,-24.91%,-24.91%,-56.94%,-27.54%,27.77%,-66.31%,-74.06%,-12.59%,14.42%,26.84%,-
2,Enterprise Value,6214,2878,3962,4259,10685,5031,6754,22041,36278,25445,30846
3,Last Close Price,3.70,2.26,2.44,2.74,5.35,3.57,3.90,9.75,14.66,11.02,12.65
4,PE Ratio,22.11,13.47,19.44,18.44,32.63,24.81,28.61,90.02,133.74,36.01,37.70
5,Forward PE,16.19,10.66,9.46,10.90,21.74,12.02,10.32,21.68,36.13,25.58,31.41
6,PS Ratio,1.87,1.14,1.33,1.56,3.14,1.92,2.09,5.40,9.44,7.78,8.19
7,PB Ratio,1.37,0.83,0.95,1.10,2.11,1.39,1.51,3.83,5.70,4.68,5.22
8,P/TBV Ratio,0.83,0.83,0.95,1.10,2.11,1.39,1.51,3.83,5.70,4.68,5.22
9,P/FCF Ratio,14.26,8.71,22.68,-37.26,-,-,40.25,23.71,44.20,48.20,26.10
10,P/OCF Ratio,3.90,3.90,5.17,8.07,19.29,9.21,8.84,15.59,30.99,31.55,20.03
11,PEG Ratio,0.58,0.58,0.58,0.58,0.58,0.57,0.38,0.89,0.89,1.22,0.85
12,EV/Sales Ratio,1.44,0.67,0.90,1.01,2.47,1.07,1.33,4.43,8.37,6.44,7.06
13,EV/EBITDA Ratio,5.59,3.60,5.61,5.99,12.94,5.42,6.36,18.30,35.93,23.83,21.72
14,EV/EBIT Ratio,13.46,6.23,11.07,11.69,22.99,9.15,9.98,26.86,58.05,32.84,28.28
15,EV/FCF Ratio,10.99,5.09,15.38,-24.20,-,-,25.62,19.45,39.19,39.91,22.51
16,Debt / Equity Ratio,0.28,0.28,0.28,0.30,0.32,0.33,0.30,0.30,0.27,0.25,0.25
17,Debt / FCF Ratio,2.95,2.95,6.73,-10.31,-,-,7.88,1.88,2.08,2.61,1.24
18,Return on Capital Employed (ROCE),6.36%,6.36%,4.67%,4.87%,5.74%,6.72%,7.78%,9.29%,7.12%,9.74%,13.17%
19,Earnings Yield,4.54%,7.43%,5.14%,5.42%,3.06%,4.03%,3.49%,1.11%,0.75%,2.78%,2.65%
20,FCF Yield,7.01%,11.48%,4.41%,-2.68%,-2.75%,-1.26%,2.48%,4.22%,2.26%,2.07%,3.83%
21,Buyback Yield / Dilution,0.88%,1.61%,0.15%,-0.91%,2.88%,4.12%,1.27%,-0.50%,0.00%,-22.40%,-
22,Total Shareholder Return,6.37%,1.61%,0.15%,-0.91%,2.88%,4.12%,1.27%,-0.50%,0.00%,-22.40%,-
