,Fiscal Quarter,Q4 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020
,Period Ending,"Dec '24 Dec 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020"
0,Revenue,156516,138900,123960,146934,112060,76429,118923,116416,92859,109391,154402,90664,54473,88773,88773,38668,46980
1,Revenue Growth (YoY),39.67%,81.74%,4.24%,26.22%,20.68%,-30.13%,-22.98%,28.40%,70.47%,23.23%,73.93%,134.47%,15.95%,-,-,-,-
2,Cost of Revenue,120086,103416,89992,122906,90007,49123,84258,95500,74088,84948,120949,73408,40592,64848,64848,25201,33001
3,Gross Profit,36430,35484,33967,24028,22053,27306,34665,20916,18771,24443,33453,17256,13881,23925,23925,13467,13979
4,"Selling, General & Admin",24678,19735,20721,18761,17813,18721,19833,17767,16734,17617,18044,14199,11545,14800,14800,11706,11898
5,Operating Expenses,24678,19735,20721,18761,17813,18721,19833,17767,16734,17617,18044,14199,11545,14800,14800,11706,11898
6,Operating Income,11752,15749,13246,5267,4240,8585,14832,3149,2037,6826,15409,3056,2336,9124,9124,1761,2082
7,Interest Expense,-4440,-4360,-4424,-4147,-3867,-2413,-2610,-2540,-2419,-2450,-2678,-2219,-1816,-1637,-1637,-1437,-1431
8,Interest & Investment Income,-,493.47,4068,1095,1026,984,3118,1807,1488,290.56,974.61,370.14,635.01,280.71,280.71,243.1,295.54
9,Other Non Operating Income (Expenses),1500,-11631,-190.37,273.29,54.83,-5338,-0.68,75.3,34.88,-291.54,340.91,529.98,-33.06,262.56,262.56,236.19,162.89
10,Pretax Income,8812,251.74,12700,2488,1454,1818,15340,2492,1141,4375,14047,1737,1121,8030,8030,802.34,1109
11,Income Tax Expense,806.94,517.22,1987,301.46,190.08,171.6,1728,246.38,76.77,490.26,1694,210,67.15,1111,1111,102.3,171.44
12,Net Income,8005,-265.48,10713,2186,1264,1647,13612,2246,1065,3885,12352,1527,1054,6919,6919,700.04,937.31
13,Net Income to Common,8005,-265.48,10713,2186,1264,1647,13612,2246,1065,3885,12352,1527,1054,6919,6919,700.04,937.31
14,Net Income Growth,533.47%,-,-21.30%,-2.64%,18.71%,-57.61%,10.20%,47.04%,0.99%,-43.85%,78.52%,118.15%,12.47%,-,-,-,-
15,Shares Outstanding (Basic),24,24,24,24,24,24,22,24,24,24,16,18,18,18,18,15,15
16,Shares Outstanding (Diluted),24,24,24,24,24,24,22,24,24,24,16,18,18,18,18,15,15
17,Shares Change (YoY),0.22%,0.07%,8.57%,0.31%,-0.01%,-0.18%,41.06%,33.95%,33.48%,33.27%,-12.95%,18.99%,19.13%,-,-,-,-
18,EPS (Basic),335.00,-11.12,448.00,91.00,53.00,69.00,618.00,93.75,44.64,162.50,791.07,85.40,59.01,385.73,385.73,46.58,62.50
19,EPS (Diluted),335.00,-11.12,448.00,91.00,53.00,69.00,618.00,93.75,44.64,162.50,791.07,85.40,59.01,385.73,385.73,46.58,62.50
20,EPS Growth,532.08%,-,-27.51%,-2.93%,18.72%,-57.54%,-21.88%,9.77%,-24.34%,-57.87%,105.08%,83.33%,-5.59%,-,-,-,-
21,Free Cash Flow,-,-36957,49926,-45821,-45821,-,69773,-34190,-11775,-17496,21341,-,6971,1053,1053,-37047,-37047
22,Free Cash Flow Per Share,-,-1547.56,2087.80,-1907.18,-1921.70,-,3167.76,-1427.43,-493.80,-731.84,1366.74,-,390.20,58.72,58.72,-2465.25,-2470.27
23,Gross Margin,23.28%,25.55%,27.40%,16.35%,19.68%,35.73%,29.15%,17.97%,20.21%,22.34%,21.67%,19.03%,25.48%,26.95%,26.95%,34.83%,29.76%
24,Operating Margin,7.51%,11.34%,10.69%,3.58%,3.78%,11.23%,12.47%,2.71%,2.19%,6.24%,9.98%,3.37%,4.29%,10.28%,10.28%,4.55%,4.43%
25,Profit Margin,5.11%,-0.19%,8.64%,1.49%,1.13%,2.15%,11.45%,1.93%,1.15%,3.55%,8.00%,1.68%,1.94%,7.79%,7.79%,1.81%,2.00%
26,Free Cash Flow Margin,-,-26.61%,40.28%,-31.18%,-40.89%,-,58.67%,-29.37%,-12.68%,-15.99%,13.82%,-,12.80%,1.19%,1.19%,-95.81%,-78.86%
27,EBITDA,19922,23920,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
28,EBITDA Margin,12.73%,17.22%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
29,D&A For EBITDA,8170,8170,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
30,EBIT,11752,15749,13246,5267,4240,8585,14832,3149,2037,6826,15409,3056,2336,9124,9124,1761,2082
31,EBIT Margin,7.51%,11.34%,10.69%,3.58%,3.78%,11.23%,12.47%,2.71%,2.19%,6.24%,9.98%,3.37%,4.29%,10.28%,10.28%,4.55%,4.43%
32,Effective Tax Rate,9.16%,205.46%,15.65%,12.12%,13.07%,9.44%,11.26%,9.89%,6.73%,11.21%,12.06%,12.09%,5.99%,13.84%,13.84%,12.75%,15.46%
33,Revenue as Reported,156516,138900,123960,146934,112060,76429,118923,116416,92859,109391,154402,90664,54473,88773,88773,38668,46980
