,Fiscal Quarter,Q4 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020
,Period Ending,"Dec '24 Dec 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020"
0,Cash & Equivalents,66189,17714,27053,8152,-,23479,63528,11701,31014,57473,-,4437,-,8746,8746,-,-
1,Cash & Short-Term Investments,66189,17714,27053,8152,23479,23479,63528,11701,31014,57473,-,4437,8746,8746,8746,-,-
2,Cash Growth,181.90%,-24.56%,-57.42%,-30.33%,-24.29%,-59.15%,-,163.74%,254.63%,557.16%,-,-,-,-,-,-,-
3,Accounts Receivable,42535,69587,44626,83095,-,22854,19932,61534,33688,53307,-,54147,-,25223,25223,-,-
4,Other Receivables,20755,15709,8444,8436,-,7411,7053,5737,566.61,527.89,-,510.03,-,7102,7102,-,-
5,Receivables,63290,85296,53069,91531,-,30266,26984,67271,34254,53835,-,54657,-,32326,32326,-,-
6,Inventory,313522,288886,301390,281003,-,233308,213685,219848,219945,201699,-,218621,-,174066,174066,-,-
7,Prepaid Expenses,1751,1577,1424,1607,-,1142,938.09,1083,1133,356.18,-,399.57,-,185.33,185.33,-,-
8,Other Current Assets,4862,7662,8187,11360,-,4062,3098,7258,4001,7376,-,4320,-,4819,4819,-,-
9,Total Current Assets,449613,401135,391124,393654,-,292257,308233,307160,290347,320739,-,282435,-,220142,220142,-,-
10,"Property, Plant & Equipment",135250,152281,160005,160614,-,167178,172557,172285,174373,164796,-,148525,-,157664,157664,-,-
11,Other Intangible Assets,19857,20544,24496,24700,-,25110,25314,25519,25723,25928,-,26337,-,12965,12965,-,-
12,Other Long-Term Assets,10462,11385,6165,7037,-,6810,5835,5944,5596,5975,-,4098,-,3964,3964,-,-
13,Total Assets,615182,585345,581789,586005,-,491355,511939,510908,496038,517438,-,461394,-,394735,394735,-,-
14,Accounts Payable,11698,27811,42751,37487,-,11939,17155,19128,19447,26654,-,39959,-,12002,12002,-,-
15,Accrued Expenses,19960,14824,12743,10363,-,14562,13392,10987,8625,14973,-,11611,-,12276,12276,-,-
16,Short-Term Debt,271983,242434,209686,228542,-,164730,186380,193658,176882,191547,-,185492,-,150967,150967,-,-
17,Current Income Taxes Payable,1734,2766,2370,383.55,-,2328,2074,451.39,337.69,2377,-,320.41,-,1592,1592,-,-
18,Other Current Liabilities,10534,2401,9218,3518,-,8102,7474,1881,4933,2355,-,6612,-,4868,4868,-,-
19,Total Current Liabilities,315909,290236,276768,280293,-,201661,226475,226106,210224,237905,-,243995,-,181706,181706,-,-
20,Long-Term Debt,19802,30029,32506,43910,-,29674,27091,40042,43299,38080,-,44858,-,43069,43069,-,-
21,Total Liabilities,335712,320264,309274,324203,-,231335,253566,266147,253523,275986,-,288853,-,224775,224775,-,-
22,Common Stock,238965,238965,238965,238965,-,238965,238965,213367,213367,213367,-,139461,-,139461,139461,-,-
23,Retained Earnings,40505,26115,33550,22837,-,21055,19408,31394,29148,28085,-,33080,-,30498,30498,-,-
24,Shareholders' Equity,279470,265081,272515,261802,260020,260020,258373,244761,242516,241453,-,172541,169960,169960,169960,-,-
25,Total Liabilities & Equity,615182,585345,581789,586005,-,491355,511939,510908,496038,517438,-,461394,-,394735,394735,-,-
26,Total Debt,291786,272462,242192,272452,194404,194404,213471,233700,220181,229627,-,230351,194036,194036,194036,-,-
27,Net Cash (Debt),-225597,-254749,-215139,-264300,-170925,-170925,-149943,-221999,-189166,-172154,-,-225914,-185291,-185291,-185291,-,-
28,Net Cash Per Share,-9440.54,-10667.47,-8996.69,-11000.78,-7168.47,-7162.46,-6807.56,-9268.44,-7932.88,-7201.01,-,-12633.80,-10371.55,-10329.46,-10329.46,-,-
29,Filing Date Shares Outstanding,23.9,23.88,23.91,24.03,23.84,23.86,22.03,23.95,23.85,23.91,15.61,17.88,17.87,17.94,17.94,15.03,15
30,Total Common Shares Outstanding,23.9,23.88,23.91,24.03,23.84,23.86,22.03,23.95,23.85,23.91,15.61,17.88,17.87,17.94,17.94,15.03,15
31,Working Capital,133704,110899,114356,113360,-,90596,81758,81055,80123,82833,-,38440,-,38436,38436,-,-
32,Book Value Per Share,11694.97,11100.13,11396.06,10896.81,10895.92,10895.92,11730.40,10218.75,10170.14,14800.01,-,9649.03,9474.82,9474.82,9474.82,-,-
33,Tangible Book Value,259614,244537,248019,237102,234910,234910,233059,219243,216793,215525,-,146204,156995,156995,156995,-,-
34,Tangible Book Value Per Share,10864.04,10239.87,10371.69,9868.72,9843.73,9843.73,10581.12,9153.35,9091.42,13210.75,-,8176.20,8752.08,8752.08,8752.08,-,-
35,Construction In Progress,2179,1157,2874,2616,-,1543,29474,46413,43247,61372,-,47676,-,59974,59974,-,-
