,Fiscal Quarter,Current,Q4 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020
,Period Ending,"Mar '25 Mar 13, 2025","Dec '24 Dec 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020"
0,Market Capitalization,172055,174445,176834,176834,181614,191172,186393,203121,206966,275244,311516,188273,165959,192457,216165,142251,128305,76504
1,Market Cap Growth,-14.12%,-8.75%,-5.13%,-12.94%,-12.25%,-30.54%,-40.17%,7.89%,24.71%,43.02%,44.11%,32.35%,29.35%,151.57%,-,-,-,-
2,Enterprise Value,397652,429193,391973,441134,406170,362097,336336,425120,396133,447398,537430,414187,-,-,-,-,-,-
3,Last Close Price,7200.00,7300.00,7400.00,7095.89,7287.67,7671.23,7479.45,8150.68,8304.79,11044.52,12500.00,9024.66,7955.07,9225.21,10361.64,6818.63,6150.14,4623.74
4,PE Ratio,11.75,8.45,-,11.19,9.71,10.19,10.04,9.76,10.59,14.62,16.55,8.62,10.11,12.34,13.97,16.62,78.36,81.62
5,PS Ratio,0.31,0.31,0.34,0.38,0.40,0.45,0.46,0.46,0.44,0.62,0.76,0.48,0.51,0.71,0.82,0.82,1.50,1.63
6,PB Ratio,0.62,0.62,0.67,0.65,0.69,0.74,0.72,0.79,0.85,1.13,1.29,-,0.96,1.13,1.27,0.84,-,-
7,P/TBV Ratio,0.67,0.67,0.72,0.71,0.77,0.81,0.79,0.87,0.94,1.27,1.45,-,1.14,1.23,1.38,0.91,-,-
8,P/FCF Ratio,4.24,-,-,-4.24,-,-,-,32.18,-,-,-,6.41,-,-6.88,-3.00,-1.95,-,-
9,P/OCF Ratio,3.68,-,-,-4.87,-,-,-,4.99,-,-,7.73,4.23,-,-107.77,-6.24,-3.46,-,-
10,EV/Sales Ratio,0.71,0.76,0.75,0.96,0.89,0.85,0.83,0.97,0.84,1.00,1.31,1.07,-,-,-,-,-,-
11,EV/EBITDA Ratio,5.37,9.79,16.39,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
12,EV/EBIT Ratio,9.61,9.33,10.18,14.08,12.34,11.75,11.76,15.84,14.45,16.37,19.45,13.84,-,-,-,-,-,-
13,EV/FCF Ratio,9.80,-,-,-10.57,-,-,-,67.35,-,-,-,14.10,-,-,-,-,-,-
14,Debt / Equity Ratio,1.04,1.04,1.03,0.89,1.04,0.75,0.75,0.83,0.95,0.91,0.95,-,1.34,1.14,1.14,1.14,-,-
15,Debt / EBITDA Ratio,3.94,3.66,2.85,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
16,Debt / FCF Ratio,7.19,-,-,-5.81,-,-,-,33.82,-,-,-,-,-,-6.94,-2.70,-2.66,-,-
17,Asset Turnover,-,0.95,0.85,-,-,0.61,0.93,0.92,-,-,-,-,-,0.90,-,-,-,
18,Inventory Turnover,1.43,-,1.40,1.24,-,-,0.88,1.55,1.74,-,-,-,-,-,1.49,-,-,-
19,Quick Ratio,0.41,0.41,0.35,0.29,0.36,-,0.27,0.40,0.35,0.31,0.47,-,0.24,-,0.23,0.23,-,-
20,Current Ratio,1.42,1.42,1.38,1.41,1.40,-,1.45,1.36,1.36,1.38,1.35,-,1.16,-,1.21,1.21,-,-
21,Return on Equity (ROE),-,-0.39%,16.04%,3.35%,1.94%,2.54%,21.64%,3.69%,-,-,-,-,2.48%,16.28%,-,-,-,
22,Return on Assets (ROA),-,6.75%,5.67%,-,-,4.28%,7.25%,1.56%,-,-,-,-,-,5.78%,-,-,-,
23,Return on Capital (ROIC),-,7.48%,6.31%,2.66%,2.33%,4.63%,7.80%,1.67%,-,-,-,-,1.60%,6.27%,-,-,-,
24,Return on Capital Employed (ROCE),13.82%,15.38%,13.05%,10.27%,10.77%,-,9.87%,9.40%,9.63%,9.56%,9.88%,-,10.87%,-,10.37%,6.09%,-,-
25,Earnings Yield,8.51%,11.83%,7.86%,8.94%,10.30%,9.82%,9.96%,10.24%,9.44%,6.84%,6.04%,11.61%,9.89%,8.10%,7.16%,6.02%,1.28%,1.23%
26,FCF Yield,23.57%,-,-44.49%,-23.59%,-12.04%,-5.36%,-,3.11%,-20.35%,-2.88%,3.47%,15.60%,-,-14.53%,-33.30%,-51.35%,-57.75%,-48.42%
27,Buyback Yield / Dilution,-14.95%,-0.22%,-0.07%,-8.57%,-0.31%,0.01%,0.18%,-41.06%,-33.95%,-33.48%,-33.27%,12.95%,-18.99%,-19.13%,-,-,-,-
28,Total Shareholder Return,-14.95%,-0.22%,-0.07%,-8.57%,-0.31%,0.01%,0.18%,-41.06%,-33.95%,-33.48%,-33.27%,12.95%,-18.99%,-19.13%,-,-,-,-
