,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021"
0,Cash & Equivalents,-,646.99,549.06,664.91,723.99,541.52,519.27,553.67,551.54,695.79,118.95,-,155.18,-,-,-
1,Trading Asset Securities,-,-,-,-,-,-,110.1,65.12,122.12,-,-,-,0.22,-,-,-
2,Cash & Short-Term Investments,646.99,646.99,549.06,664.91,723.99,541.52,629.38,618.79,673.66,695.79,118.95,155.4,155.4,-,-,221.99
3,Cash Growth,-10.63%,19.48%,-12.76%,7.45%,7.47%,-22.17%,429.13%,298.20%,333.51%,-,-,-30.00%,-,-,-,-
4,Accounts Receivable,-,915.64,948.48,802.11,868.52,951.5,887.67,940.71,895.26,855.06,815.97,-,768.35,-,-,-
5,Other Receivables,-,5.96,1.99,16.03,0.35,14.1,20.95,14.04,-0.1,16.12,17.83,-,17.56,-,-,-
6,Receivables,-,921.6,950.47,818.14,868.87,965.6,908.62,954.75,895.16,871.18,833.8,-,785.91,-,-,-
7,Inventory,-,4.1,8.08,8.98,-,-,-,0.06,0.07,2.49,45.91,-,5.17,-,-,-
8,Prepaid Expenses,-,-,10.08,-,16.76,-,4.22,-,5.94,-,58.71,-,1.13,-,-,-
9,Other Current Assets,-,238.8,244.77,232.12,181.41,232.88,135.69,118.12,115.17,143.1,15.93,-,104.74,-,-,-
10,Total Current Assets,-,1811,1762,1724,1791,1740,1678,1692,1690,1713,1073,-,1052,-,-,-
11,"Property, Plant & Equipment",-,53.83,52.86,60.23,55.84,43.93,43.97,43.98,44.77,43.97,44.08,-,42.75,-,-,-
12,Long-Term Investments,-,13.28,13.05,13.82,2.33,2.25,2.31,2.32,2.31,2.17,2.26,-,2.28,-,-,-
13,Other Intangible Assets,-,6.85,6.22,7.21,7.24,7.61,7.27,7.33,7.43,7.26,7.35,-,7.41,-,-,-
14,Long-Term Deferred Tax Assets,-,10.73,11.53,14.71,12.48,16.76,17.34,24.08,14.58,17.43,17.06,-,13.38,-,-,-
15,Other Long-Term Assets,-,38.36,31,28.24,35.44,10.74,13.85,24.4,18.06,5.8,20.19,-,41.54,-,-,-
16,Total Assets,-,1935,1877,1848,1904,1821,1763,1794,1777,1789,1164,-,1160,-,-,-
17,Accounts Payable,-,610.02,627.46,553.68,629.86,580.81,595.31,587.48,589.92,551.46,492.41,-,535.29,-,-,-
18,Accrued Expenses,-,38.6,32.47,22.14,50.35,34.56,25.61,15.32,42.99,21.62,19.79,-,29.24,-,-,-
19,Short-Term Debt,-,-,-,-,-,17.33,14.45,13.74,31.25,88.44,112.91,-,113.22,-,-,-
20,Current Portion of Leases,-,2.11,1.79,1.75,1.75,2.41,1.86,1.66,1.71,1.2,1.14,-,1.99,-,-,-
21,Current Income Taxes Payable,-,12.92,8.48,4.61,6.39,8.88,8.53,20.27,4.56,10.91,8.37,-,14.06,-,-,-
22,Current Unearned Revenue,-,130.92,69.17,114.27,73.35,90.8,63.89,87.64,74.58,95.11,43.67,-,21.77,-,-,-
23,Other Current Liabilities,-,20.36,49.62,25.27,24.12,1.18,0.75,1.41,0.85,21.79,2.09,-,1.03,-,-,-
24,Total Current Liabilities,-,814.92,788.99,721.72,785.82,735.98,710.4,727.54,745.86,790.52,680.39,-,716.62,-,-,-
25,Long-Term Leases,-,1.51,1.38,1.92,2.15,2.55,2.79,3.09,3.15,2.52,2.42,-,1.89,-,-,-
26,Long-Term Deferred Tax Liabilities,-,17.98,14.56,11.1,14.5,10.38,8.38,5.4,4.89,4.88,6.41,-,3.96,-,-,-
27,Other Long-Term Liabilities,-,13.69,11.68,11.38,11.29,9.73,10.77,10.15,9.24,9.99,10.33,-,9.54,-,-,-
28,Total Liabilities,-,848.53,817.22,746.75,814.4,759.28,733,746.8,763.75,808.55,700.17,-,732.62,-,-,-
29,Common Stock,-,100,100,100,100,100,100,80,80,80,60,-,60,-,-,-
30,Additional Paid-In Capital,-,562.63,562.63,562.63,562.63,562.63,562.63,582.64,582.63,580.84,113.7,-,110.11,-,-,-
31,Retained Earnings,-,365.82,348.71,389.53,371.73,347.27,310.2,334.54,298.31,267.35,238.68,-,205.45,-,-,-
32,Comprehensive Income & Other,-,42.96,37.17,40.36,47.9,47.36,52.18,45.49,48.4,48.9,48.13,-,47.73,-,-,-
33,Total Common Equity,1071,1071,1049,1093,1082,1057,1025,1043,1009,977.08,460.51,423.29,423.29,-,-,322.71
34,Minority Interest,-,14.6,11.41,9.08,7.71,4.75,4.64,4.35,4.04,3.56,3.55,-,3.81,-,-,-
35,Shareholders' Equity,1086,1086,1060,1102,1090,1062,1030,1047,1013,980.64,464.06,427.1,427.1,-,-,325.91
36,Total Liabilities & Equity,-,1935,1877,1848,1904,1821,1763,1794,1777,1789,1164,-,1160,-,-,-
37,Total Debt,3.62,3.62,3.17,3.67,3.9,22.29,19.1,18.5,36.11,92.15,116.47,117.1,117.1,-,-,86.06
38,Net Cash (Debt),643.37,643.37,545.89,661.24,720.09,519.23,610.28,600.3,637.55,603.64,2.47,38.29,38.29,-,-,135.93
39,Net Cash Growth,-10.65%,23.91%,-10.55%,10.15%,12.95%,-13.98%,24593.83%,1467.63%,1564.91%,-,-,-71.83%,-,-,-,-
40,Net Cash Per Share,6.54,6.40,5.40,6.68,7.31,5.18,6.13,5.97,6.94,7.26,0.03,0.51,0.51,-,-,1.81
41,Filing Date Shares Outstanding,100,100,100,100,100,100,100,100,100,100,75,75.16,75,74.78,75,75
42,Total Common Shares Outstanding,100,100,100,100,100,100,100,100,100,100,75,75.16,75,74.78,75,75
43,Working Capital,-,996.57,973.48,1002,1005,1004,967.52,964.19,944.14,922.04,392.91,-,335.73,-,-,-
44,Book Value Per Share,10.71,10.71,10.49,10.93,10.82,10.57,10.25,10.43,10.09,9.77,6.14,5.64,5.64,-,-,4.30
45,Tangible Book Value,1065,1065,1042,1085,1075,1050,1018,1035,1002,969.82,453.16,415.88,415.88,-,-,315.64
46,Tangible Book Value Per Share,10.65,10.65,10.42,10.85,10.75,10.50,10.18,10.35,10.02,9.70,6.04,5.55,5.55,-,-,4.21
47,Buildings,-,-,48.1,-,50.88,-,50.88,-,50.88,-,50.88,-,47.75,-,-,-
48,Machinery,-,-,11.2,-,9.25,-,8.24,-,7.17,-,5.91,-,5.65,-,-,-
49,Construction In Progress,-,-,5.39,-,13.1,-,-,-,-,-,-,-,0.86,-,-,-
