,Fiscal Quarter,Current,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021
,Period Ending,"Mar '25 Mar 12, 2025","Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021"
0,Market Capitalization,2584,2657,2565,2580,2769,3313,3322,4583,2750,2338,-,-,-,-,-,-,-
1,Market Cap Growth,-19.80%,-19.80%,-22.79%,-43.70%,0.68%,41.73%,-,-,-,-,-,-,-,-,-,-,-
2,Enterprise Value,1955,2028,2031,1928,2057,2799,2716,3987,2150,1738,-,-,-,-,-,-,-
3,Last Close Price,25.84,26.57,25.65,25.80,26.93,32.22,32.30,44.57,26.39,22.43,-,-,-,-,-,-,-
4,PE Ratio,22.09,22.78,26.03,21.77,23.04,23.90,22.90,33.53,20.64,19.03,-,-,-,-,-,-,-
5,Forward PE,22.28,23.72,18.32,14.87,12.91,16.47,-,-,-,-,-,-,-,-,-,-,-
6,PS Ratio,1.28,1.32,1.28,1.27,1.43,1.65,1.67,2.45,1.54,1.44,-,-,-,-,-,-,-
7,PB Ratio,2.41,2.45,2.36,2.43,2.51,3.04,3.13,4.45,2.63,2.31,-,-,-,-,-,-,-
8,P/TBV Ratio,2.50,2.50,2.41,2.48,2.55,3.08,3.16,4.50,2.66,2.33,-,-,-,-,-,-,-
9,P/FCF Ratio,-,-,11.80,-,-,22.61,-,23.69,-,14.96,-,-,-,-,-,-,-
10,P/OCF Ratio,-,-,10.55,-,-,20.26,-,23.33,-,14.51,-,-,-,-,-,-,-
11,EV/Sales Ratio,0.97,1.01,1.01,0.95,1.06,1.39,1.37,2.13,1.20,1.07,-,-,-,-,-,-,-
12,EV/EBITDA Ratio,12.39,12.83,14.76,13.32,13.31,15.53,15.21,22.24,12.20,10.55,-,-,-,-,-,-,-
13,EV/EBIT Ratio,12.72,13.19,15.24,13.73,13.68,15.89,15.55,22.73,12.46,10.79,-,-,-,-,-,-,-
14,EV/FCF Ratio,-,-,9.34,-,-,19.10,-,20.61,-,11.12,-,-,-,-,-,-,-
15,Debt / Equity Ratio,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.02,0.02,0.04,0.09,0.25,0.27,0.27,-,-,0.26
16,Debt / EBITDA Ratio,0.02,0.02,0.03,0.02,0.04,0.03,0.13,0.08,0.09,0.28,0.53,0.53,0.79,0.67,-,-,0.59
17,Debt / FCF Ratio,-,-,0.02,-,-,0.03,-,0.10,-,0.23,0.93,1.59,-,-,-,-,-
18,Asset Turnover,-,1.08,1.24,0.75,1.21,1.18,1.11,0.94,1.21,1.13,-,-,-,-,-,-,
19,Inventory Turnover,-,-,303.53,231.82,-,-,-,-,21559.92,1485.73,58.73,-,-,-,-,-,-
20,Quick Ratio,-,-,1.92,1.90,2.05,2.03,2.05,2.16,2.16,2.10,1.98,1.40,-,1.31,-,-,-
21,Current Ratio,-,-,2.22,2.23,2.39,2.28,2.36,2.36,2.33,2.27,2.17,1.58,-,1.47,-,-,-
22,Return on Equity (ROE),15.22%,6.87%,14.50%,6.47%,9.36%,14.24%,15.80%,14.23%,12.59%,15.88%,33.48%,24.05%,-,-,-,-,
23,Return on Assets (ROA),-,4.51%,6.13%,2.96%,4.15%,5.80%,7.82%,6.72%,4.13%,7.17%,-,-,-,-,-,-,
24,Return on Capital (ROIC),11.80%,7.99%,10.54%,5.05%,7.11%,9.75%,13.16%,11.34%,6.94%,12.80%,23.50%,16.72%,-,-,-,-,
25,Return on Capital Employed (ROCE),-,-,11.90%,12.91%,13.35%,15.75%,16.09%,16.67%,16.19%,15.61%,17.27%,39.26%,-,38.74%,-,-,-
26,Earnings Yield,4.51%,4.39%,3.84%,4.59%,4.34%,4.18%,4.37%,2.98%,4.84%,5.26%,-,-,-,-,-,-,-
27,FCF Yield,-,8.47%,0.09%,4.93%,4.42%,-0.24%,4.22%,7.12%,6.69%,-,-,-,-,-,-,-,
28,Dividend Yield,3.10%,-,-,-,-,2.48%,-,-,-,2.90%,-,-,-,-,-,-,-
29,Payout Ratio,0.00%,-,-,204.23%,-,0.66%,1.06%,159.34%,1.27%,2.53%,2.54%,83.15%,2.15%,2.20%,3.84%,61.16%,61.16%
30,Buyback Yield / Dilution,0.02%,0.10%,-0.29%,-1.45%,1.68%,-7.24%,-20.55%,-32.04%,-33.88%,-22.08%,-11.11%,-0.53%,-0.21%,-,-,-,-
31,Total Shareholder Return,3.11%,0.10%,-0.29%,-1.45%,1.68%,-4.76%,-20.55%,-32.04%,-33.88%,-19.18%,-11.11%,-0.53%,-0.21%,-,-,-,-
