,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021"
0,Operating Revenue,560.97,516.7,576.99,353.05,560.35,531.79,494.07,419.85,536.05,416.73,412.66,260.42,425.76,389.05,443.15,443.15
1,Other Revenue,-,-1.36,1.36,-,2.87,-1.4,1.4,-,2.03,-0.76,0.76,-,1.22,-0.6,0.3,0.3
2,Revenue,560.97,515.34,578.34,353.05,563.22,530.39,495.47,419.85,538.09,415.96,413.42,260.42,426.98,388.45,443.45,443.45
3,Revenue Growth (YoY),-0.40%,-2.84%,16.73%,-15.91%,4.67%,27.51%,19.85%,61.22%,26.02%,7.08%,-6.77%,-41.27%,-,-,-,-
4,Cost of Revenue,585.93,462.14,494.43,311.46,504.62,467.06,417.71,349.45,474.9,355.33,339.52,206.78,357.85,309.35,388.97,388.97
5,Gross Profit,-24.96,53.2,83.92,41.59,58.59,63.33,77.76,70.4,63.19,60.63,73.9,53.64,69.13,79.1,54.48,54.48
6,"Selling, General & Admin",-52.18,18.16,16.87,17.15,18.59,18.68,13.56,16.61,23.59,15.18,14.15,13.76,17.51,14.04,13.72,13.72
7,Research & Development,-27.82,7.58,12.18,8.06,5.13,5.43,7.43,6.84,7.01,5.45,3.77,2.65,4.94,3.28,2.38,2.38
8,Other Operating Expenses,-2.42,0.82,0.71,0.89,1.43,-0.22,1.01,-1.58,2.22,0.97,0.08,0.53,0.36,1,0.75,0.75
9,Operating Expenses,-76.41,18.8,38.21,19.4,27.64,21.73,22.12,22.42,33.74,18.31,21.05,17.25,28.23,19.29,19.02,19.02
10,Operating Income,51.44,34.4,45.71,22.19,30.95,41.6,55.64,47.98,29.45,42.33,52.85,36.39,40.91,59.8,35.46,35.46
11,Interest Expense,-8.12,-0.52,-0.45,-0.35,-0.43,-0.22,-0.21,-0.5,-0.9,-0.9,-1.1,-0.79,-0.75,-1.14,-0.35,-0.35
12,Interest & Investment Income,1.32,2.09,3.94,2.1,0.42,4.26,1.36,1.93,1.23,0.21,0.21,0.15,-,0.62,0.4,0.4
13,Currency Exchange Gain (Loss),-,0.62,-0.62,-,1.15,-2.23,2.23,-,-3.88,1.72,-1.72,-,-0.27,0.48,-0.24,-0.24
14,Other Non Operating Income (Expenses),-0.09,0.78,-0.35,-0.67,-0.96,1.75,-2.37,0.98,4.01,-3.12,-0.35,-0.7,0.2,-0.81,-0.3,-0.3
15,EBT Excluding Unusual Items,44.56,37.36,48.23,23.27,31.13,45.15,56.66,50.4,29.91,40.23,49.9,35.05,40.08,58.95,34.97,34.97
16,Gain (Loss) on Sale of Investments,-,-,-,-,-0.12,0.02,-0.02,-,0.08,0.22,-0.28,-0.02,-0.05,-0.01,-0.01,-0.01
17,Gain (Loss) on Sale of Assets,-0.09,0.04,0,0.05,0.01,0.06,0.06,-,0.01,0.03,0.14,0.06,0.15,0.07,0.08,0.08
18,Asset Writedown,5.38,-5.71,0.13,0.19,-0.12,-0.45,-0.37,0.38,1.88,-1.44,-0.63,1.19,8.84,-9.05,-0.2,-0.2
19,Other Unusual Items,-0.14,-0.81,0.76,0.19,-1.12,1.69,-2.58,-,2.68,-,-,-,-0.69,0.76,-0.38,-0.38
20,Pretax Income,49.71,30.88,49.11,23.71,29.78,46.47,53.75,50.77,34.56,39.04,49.13,36.28,48.41,50.72,34.46,34.46
21,Income Tax Expense,8.4,12.46,9.93,5.99,4.62,9.23,12.73,14.13,3.19,10.37,11.83,10.61,12.61,11.73,9.69,9.69
22,Earnings From Continuing Operations,41.32,18.42,39.18,17.72,25.17,37.24,41.02,36.64,31.37,28.67,37.3,25.68,35.79,39,24.77,24.77
23,Minority Interest in Earnings,1.23,-1.3,-0.01,0.09,-0.71,-0.18,-0.17,-0.42,-0.4,-0.01,0.08,0.18,-0.31,0.06,-0.24,-0.24
24,Net Income,42.54,17.11,39.17,17.81,24.46,37.06,40.84,36.22,30.97,28.67,37.38,25.85,35.49,39.06,24.53,24.53
25,Net Income to Common,42.54,17.11,39.17,17.81,24.46,37.06,40.84,36.22,30.97,28.67,37.38,25.85,35.49,39.06,24.53,24.53
26,Net Income Growth,73.92%,-53.82%,-4.09%,-50.84%,-21.01%,29.28%,9.27%,40.11%,-12.74%,-26.61%,52.40%,5.41%,-,-,-,-
27,Shares Outstanding (Basic),98,100,101,99,98,100,100,101,92,83,75,75,75,75,75,75
28,Shares Outstanding (Diluted),98,100,101,99,98,100,100,101,92,83,75,75,75,75,75,75
29,Shares Change (YoY),-0.10%,0.29%,1.45%,-1.68%,7.24%,20.55%,32.04%,33.88%,22.08%,11.11%,0.53%,0.21%,-,-,-,-
30,EPS (Basic),0.43,0.17,0.39,0.18,0.25,0.37,0.41,0.36,0.34,0.35,0.50,0.34,0.47,0.52,0.33,0.33
31,EPS (Diluted),0.43,0.17,0.39,0.18,0.25,0.37,0.41,0.36,0.34,0.35,0.50,0.34,0.47,0.52,0.33,0.33
32,EPS Growth,74.10%,-53.95%,-5.47%,-50.00%,-26.34%,7.24%,-17.24%,4.65%,-28.52%,-33.70%,51.59%,5.19%,-,-,-,-
33,Free Cash Flow,-,115.47,-61.4,-42.2,205.42,-99.39,72.8,-32.3,51.04,101.96,75.2,-71.88,-5.92,75.68,-68.23,-68.23
34,Free Cash Flow Per Share,-,1.15,-0.61,-0.43,2.09,-0.99,0.73,-0.32,0.56,1.23,1.00,-0.96,-0.08,1.01,-0.91,-0.91
35,Dividend Per Share,-,-,-,-,0.800,-,-,-,0.650,-,-,-,-,-,-,-
36,Dividend Growth,-,-,-,-,23.08%,-,-,-,-,-,-,-,-,-,-,-
37,Gross Margin,-4.45%,10.32%,14.51%,11.78%,10.40%,11.94%,15.70%,16.77%,11.74%,14.58%,17.88%,20.60%,16.19%,20.36%,12.29%,12.29%
38,Operating Margin,9.17%,6.67%,7.90%,6.29%,5.50%,7.84%,11.23%,11.43%,5.47%,10.18%,12.78%,13.97%,9.58%,15.40%,8.00%,8.00%
39,Profit Margin,7.58%,3.32%,6.77%,5.04%,4.34%,6.99%,8.24%,8.63%,5.76%,6.89%,9.04%,9.93%,8.31%,10.06%,5.53%,5.53%
40,Free Cash Flow Margin,-,22.41%,-10.62%,-11.95%,36.47%,-18.74%,14.69%,-7.69%,9.48%,24.51%,18.19%,-27.60%,-1.39%,19.48%,-15.39%,-15.39%
