,Fiscal Quarter,Q4 2024,Q3 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Q4 2019,Q3 2019,+7 Quarters
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020","Dec '19 Dec 31, 2019","Sep '19 Sep 30, 2019",+7 Quarters
0,Cash & Equivalents,98.03,11748,16597,11220,82147,24991,-,52552,-,54263,28583,65078,13150,-,15097,15345,3118,17441,28238,5377,Upgrade
1,Short-Term Investments,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,300,Upgrade
2,Cash & Short-Term Investments,98.03,11748,16597,11220,82147,24991,-,52552,-,54263,28583,65078,13150,15097,15097,15345,3118,17441,28238,5677,Upgrade
3,Cash Growth,-99.88%,-52.99%,-,-78.65%,-,-53.94%,-,-19.25%,-,259.42%,89.32%,324.10%,321.80%,-13.44%,-46.54%,170.30%,-,-55.51%,-33.72%,-93.11%,Upgrade
4,Accounts Receivable,35696,48378,42609,14935,136038,181078,-,195246,-,174240,161762,140847,138766,-,160423,104167,85767,86377,83125,88988,Upgrade
5,Other Receivables,65755,35082,174392,164263,194009,121371,-,30272,-,39900,33392,29737,14773,-,16782,26868,17803,22014,17890,21712,Upgrade
6,Receivables,101451,83460,217001,179198,330047,302449,-,225518,-,214140,195154,170584,153539,-,177205,131035,103570,108391,101015,110700,Upgrade
7,Inventory,14648,-,2128,-,44997,38826,-,51889,-,76675,47874,29432,34523,-,19788,42717,39037,41270,31061,34616,Upgrade
8,Prepaid Expenses,828.06,936.21,380.71,6,1521,3517,-,2101,-,2057,1390,1559,27.61,-,1139,1322,1688,2038,4914,3246,Upgrade
9,Other Current Assets,41513,56906,44027,69536,51372,39170,-,49164,-,57503,44935,37202,30001,-,16048,21698,29416,13886,13885,30090,Upgrade
10,Total Current Assets,158539,153050,280133,259960,510085,408953,-,381225,-,404637,317935,303856,231240,-,229277,212117,176829,183026,179113,184329,Upgrade
11,"Property, Plant & Equipment",527.23,609.47,817.59,865.83,87205,120794,-,128259,-,115173,117809,119818,87528,-,90283,93291,101100,104615,108204,79381,Upgrade
12,Long-Term Investments,256750,256750,87544,87544,1000,2200,-,3000,-,90500,101000,101000,-,-,-,-,-,-,-,267,Upgrade
13,Other Intangible Assets,-,-,-,-,333.11,368.6,-,388.99,-,439.69,465.04,490.39,-,-,-,-,-,-,-,-,Upgrade
14,Long-Term Deferred Tax Assets,-,-,-,-,29.18,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Upgrade
15,Other Long-Term Assets,47203,41673,38642,39344,57137,27883,-,121371,-,27822,25900,26272,26162,-,18165,18517,18645,18618,16629,16732,Upgrade
16,Total Assets,463019,452083,452137,432714,745790,650199,-,634243,-,638571,563110,551437,344931,-,337726,323925,296574,306259,303945,280709,Upgrade
