,Fiscal Quarter,Q4 2024,Q3 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Q4 2019,Q3 2019,+7 Quarters
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020","Dec '19 Dec 31, 2019","Sep '19 Sep 30, 2019",+7 Quarters
0,Revenue,1930,10282,99736,-241427,63469,159721,1445,114344,78996,68111,50357,92592,49610,43295,61028,44231,36247,28541,30620,59362,Upgrade
1,Revenue Growth (YoY),-96.96%,-93.56%,6801.29%,-,-19.66%,134.50%,-97.13%,23.49%,59.23%,57.32%,-17.49%,109.34%,36.87%,51.69%,99.31%,-25.49%,40.16%,1.57%,34.62%,52.29%,Upgrade
2,Cost of Revenue,880.36,9046,97222,-191935,44005,138395,185.01,89684,64826,46292,38653,69531,34141,33653,46407,34004,28586,22550,25152,52745,Upgrade
3,Gross Profit,1050,1235,2514,-49492,19464,21325,1260,24660,14170,21819,11703,23060,15469,9641,14621,10227,7661,5991,5468,6617,Upgrade
4,"Selling, General & Admin",877.41,711.17,1505,-18860,8042,10313,1010,12265,6254,9489,4835,7938,6470,3035,5499,4389,4333,2374,3400,3097,Upgrade
5,Operating Expenses,877.41,711.17,1505,-18860,8042,10313,1010,12265,6254,9489,4835,7938,6470,3035,5499,4389,4333,2374,3400,3097,Upgrade
6,Operating Income,172.28,524.21,1009,-30632,11422,11013,249.94,12394,7916,12330,6868,15123,8999,6606,9121,5838,3328,3617,2068,3520,Upgrade
7,Interest Expense,-294.6,-,-1554,-,-5580,-8146,-1858,-7360,-5707,-5613,-5072,-2100,-1862,-2100,-1743,-2347,-1895,-1652,-1208,-958.58,Upgrade
8,Interest & Investment Income,-,175.21,1245,29936,41164,3141,1997,-,7001,4500,1.37,10552,0.17,0.05,0.03,0.03,0.28,0.13,1.14,0.1,Upgrade
