,Fiscal Quarter,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020,H2 2019,+2 Quarters
,Period Ending,"Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020","Dec '19 Dec 31, 2019",+2 Quarters
0,Cash & Equivalents,29422,27353,24705,20042,18314,28494,48559,16273,20698,18640,Upgrade
1,Short-Term Investments,17451,18235,17323,19439,17023,-,-,-,-,-,Upgrade
2,Cash & Short-Term Investments,46873,45588,42028,39481,35337,28494,48559,16273,20698,18640,Upgrade
3,Cash Growth,11.53%,15.47%,18.93%,38.56%,-27.23%,75.10%,134.61%,-12.70%,15.99%,-8.96%,Upgrade
4,Accounts Receivable,2712,3187,2714,3895,3227,2894,4017,4085,2718,2792,Upgrade
5,Other Receivables,-,1937,-,1677,-,7857,-,3200,-,3692,Upgrade
6,Receivables,2712,5157,2714,5909,3227,11446,4017,9298,2718,6934,Upgrade
7,Inventory,1174,1155,1156,1081,916,1230,1437,925,1489,1398,Upgrade
8,Prepaid Expenses,7196,5111,6738,4643,7800,3848,10464,2798,7561,2487,Upgrade
9,Other Current Assets,-,187,-,225,-,120,-,44549,-,191,Upgrade
10,Total Current Assets,57955,57198,52636,51339,47280,45138,64477,73843,32466,29650,Upgrade
11,"Property, Plant & Equipment",65984,68032,67710,69534,68828,69714,67874,67877,105946,105776,Upgrade
12,Long-Term Investments,14493,14449,14421,14284,13847,13589,10257,9773,9239,9117,Upgrade
13,Goodwill,509,516,515,515,541,567,-,493,-,352,Upgrade
14,Other Intangible Assets,1145,1239,1285,1334,1317,1389,1989,1061,1576,665,Upgrade
15,Long-Term Deferred Tax Assets,1136,1054,1185,1115,1250,1204,1348,1294,1358,1366,Upgrade
16,Other Long-Term Assets,1105,1031,785,771,868,981,484,647,829,611,Upgrade
17,Total Assets,142327,143519,138537,138892,133931,132582,146463,154988,151480,147897,Upgrade
18,Accounts Payable,2771,2791,2569,3195,3256,3257,3267,3437,3259,2594,Upgrade
19,Accrued Expenses,6725,7978,8050,8707,8357,8392,7724,8849,9743,10853,Upgrade
20,Short-Term Debt,2057,2247,2043,2544,2661,1909,1671,3014,7635,3564,Upgrade
21,Current Portion of Long-Term Debt,6500,3217,3575,2743,3448,3945,3856,2168,698,5208,Upgrade
22,Current Portion of Leases,197,214,226,208,153,177,155,158,135,225,Upgrade
23,Current Income Taxes Payable,570,589,629,623,691,648,440,604,477,728,Upgrade
24,Current Unearned Revenue,10830,13596,11108,12621,9911,11984,9416,10911,8687,9800,Upgrade
25,Other Current Liabilities,6368,3951,5280,3743,5583,3907,23572,15452,10337,6325,Upgrade
26,Total Current Liabilities,36018,34583,33480,34384,34060,34219,50101,44593,40971,39297,Upgrade
27,Long-Term Debt,15554,19027,19052,19794,18310,18611,20108,22491,26965,25727,Upgrade
28,Long-Term Leases,489,497,559,562,527,535,538,506,473,393,Upgrade
29,Long-Term Unearned Revenue,-,28,-,98,-,232,-,591,-,776,Upgrade
30,Long-Term Deferred Tax Liabilities,1997,1870,1791,1858,1843,1760,1598,1438,1772,1697,Upgrade
31,Other Long-Term Liabilities,1572,1731,1596,1494,1603,1364,1525,842,1857,822,Upgrade
32,Total Liabilities,55630,57736,56478,58190,56343,56721,73870,70461,72038,68712,Upgrade
33,Common Stock,71,71,71,71,71,71,71,71,71,71,Upgrade
34,Additional Paid-In Capital,-,35993,-,35993,-,35993,-,35993,-,35993,Upgrade
35,Retained Earnings,32030,31427,29035,28095,26334,25236,23061,31557,28481,28484,Upgrade
36,Comprehensive Income & Other,31758,-4042,31880,-4251,31086,-5025,30493,-14037,21502,-14560,Upgrade
37,Total Common Equity,63859,63449,60986,59908,57491,56275,53625,53584,50054,49988,Upgrade
38,Minority Interest,22838,22334,21073,20794,20097,19586,18968,30943,29388,29197,Upgrade
39,Shareholders' Equity,86697,85783,82059,80702,77588,75861,72593,84527,79442,79185,Upgrade
40,Total Liabilities & Equity,142327,143519,138537,138892,133931,132582,146463,154988,151480,147897,Upgrade
41,Total Debt,24797,25202,25455,25851,25099,25177,26328,28337,35906,35117,Upgrade
42,Net Cash (Debt),22076,20386,16573,13630,10238,3317,22231,-12064,-15208,-16477,Upgrade
43,Net Cash Growth,33.20%,49.57%,61.88%,310.91%,-53.95%,-,-,-,-,-,Upgrade
44,Net Cash Per Share,2.55,2.35,1.91,1.57,1.18,-,2.57,-,-1.76,-,Upgrade
45,Filing Date Shares Outstanding,8659,8659,8659,8659,8659,8659,8659,8659,8659,8659,Upgrade
46,Total Common Shares Outstanding,8659,8659,8659,8659,8659,8659,8659,8659,8659,8659,Upgrade
47,Working Capital,21937,22615,19156,16955,13220,10919,14376,29250,-8505,-9647,Upgrade
48,Book Value Per Share,7.37,7.33,7.04,6.92,6.64,6.50,6.19,6.19,5.78,5.77,Upgrade
49,Tangible Book Value,62205,61694,59186,58059,55633,54319,51636,52030,48478,48971,Upgrade
50,Tangible Book Value Per Share,7.18,7.12,6.84,6.71,6.42,6.27,5.96,6.01,5.60,5.66,Upgrade
51,Buildings,-,5319,-,5063,-,5889,-,5550,-,5162,Upgrade
52,Machinery,-,83193,-,80894,-,75165,-,68082,-,81185,Upgrade
53,Construction In Progress,-,11981,-,13309,-,14792,-,17155,-,15670,Upgrade
