,Fiscal Quarter,Current,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020,H2 2019,+2 Quarters
,Period Ending,"Mar '25 Mar 13, 2025","Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020","Dec '19 Dec 31, 2019",+2 Quarters
0,Market Capitalization,67279,70136,60958,53338,48230,55676,63296,61997,58014,43467,59573,Upgrade
1,Market Cap Growth,31.49%,31.49%,26.39%,-4.20%,-23.80%,-10.20%,9.10%,42.63%,-2.62%,-21.03%,-11.09%,Upgrade
2,Enterprise Value,68098,72282,65820,61437,59778,75646,59372,113072,106942,94561,114257,Upgrade
3,Last Close Price,7.77,7.91,6.62,5.79,5.00,5.77,6.31,6.18,3.94,2.95,3.81,Upgrade
4,PE Ratio,10.86,11.32,9.74,9.19,8.16,15.43,-,2.52,-,16.77,-,Upgrade
5,Forward PE,9.61,10.08,8.31,7.31,6.60,7.91,9.25,10.64,7.98,6.39,7.34,Upgrade
6,PS Ratio,0.34,0.36,0.31,0.28,0.25,0.57,-,0.80,-,0.85,-,Upgrade
7,PB Ratio,0.98,0.75,0.65,0.60,0.53,0.61,0.68,0.71,0.58,0.50,0.67,Upgrade
8,P/TBV Ratio,1.05,1.05,0.90,0.83,0.73,0.85,0.95,1.00,0.94,0.82,1.09,Upgrade
9,P/FCF Ratio,8.33,8.68,6.00,5.54,4.66,10.47,-,-,-,15.75,-,Upgrade
10,P/OCF Ratio,4.89,4.89,3.84,3.34,2.87,7.32,-,15.70,-,5.59,-,Upgrade
11,PEG Ratio,1.48,1.20,0.73,0.77,0.62,0.84,0.48,0.64,-,1.11,0.47,Upgrade
12,EV/Sales Ratio,0.35,0.37,0.34,0.32,0.31,0.77,-,1.45,-,1.85,-,Upgrade
13,EV/EBITDA Ratio,3.47,4.04,3.60,3.40,3.31,7.80,-,14.33,-,13.70,-,Upgrade
14,EV/EBIT Ratio,4.72,5.46,4.92,4.80,4.59,10.64,-,20.96,-,28.48,-,Upgrade
15,EV/FCF Ratio,8.43,8.95,6.47,6.38,5.78,14.23,-,-,-,34.27,-,Upgrade
16,Debt / Equity Ratio,0.29,0.29,0.29,0.31,0.32,0.32,0.33,0.36,0.34,0.45,0.44,Upgrade
17,Debt / FCF Ratio,3.30,3.30,2.73,2.86,2.82,5.53,-,-,-,14.28,-,Upgrade
18,Return on Capital Employed (ROCE),11.59%,11.59%,11.14%,11.27%,11.02%,6.08%,-,4.65%,-,2.74%,-,Upgrade
19,Earnings Yield,9.21%,8.83%,10.27%,10.88%,12.25%,6.48%,-,39.69%,-,5.96%,-,Upgrade
20,FCF Yield,12.01%,11.52%,16.68%,18.05%,21.45%,9.55%,-,-1.82%,-,6.35%,-,Upgrade
21,Dividend Yield,4.54%,2.23%,-,-,-,-,-,-,-,-,-,Upgrade
22,Buyback Yield / Dilution,-,-,-,-,-,-,-,-,-0.16%,-,Upgrade,
23,Total Shareholder Return,4.54%,2.23%,-,-,-,-,-,-,-,-0.16%,-,Upgrade
