,Fiscal Quarter,Current,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021
,Period Ending,"Mar '25 Mar 12, 2025","Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021"
0,Market Capitalization,5035,4488,4552,4215,4931,5106,4642,5307,5004,4204,-,-,-,-
1,Market Cap Growth,-12.11%,-12.11%,-1.94%,-20.59%,-1.45%,21.45%,-,-,-,-,-,-,-,-
2,Enterprise Value,4826,4279,4334,3861,4447,4621,4115,4727,4400,4458,-,-,-,-
3,Last Close Price,37.46,33.39,33.87,31.36,36.32,37.61,34.19,39.09,36.76,30.88,-,-,-,-
4,PE Ratio,26.57,23.67,23.61,22.29,28.17,29.47,27.96,38.87,38.57,34.16,-,-,-,-
5,PS Ratio,2.92,2.60,2.78,2.62,3.26,3.39,3.18,4.05,4.08,3.43,-,-,-,-
6,PB Ratio,2.87,2.55,2.59,2.49,2.95,3.11,2.91,3.44,3.31,2.84,-,-,-,-
7,P/TBV Ratio,2.99,2.99,3.04,2.93,3.49,3.70,3.06,3.60,3.43,2.95,-,-,-,-
8,P/FCF Ratio,-,-,-13.65,-,-,-,-,-,-,-,-,-,-,-
9,P/OCF Ratio,-,-,-411.46,-,41.99,42.71,120.86,-165.57,-72.46,-,-,-,-,-
10,EV/Sales Ratio,2.80,2.48,2.65,2.40,2.94,3.07,2.82,3.60,3.58,3.63,-,-,-,-
11,EV/EBITDA Ratio,20.68,18.14,18.37,17.24,21.29,22.54,21.70,29.78,28.16,29.29,-,-,-,-
12,EV/EBIT Ratio,22.51,19.96,20.21,19.01,23.44,24.78,23.95,33.41,31.32,32.55,-,-,-,-
13,EV/FCF Ratio,-,-,-12.99,-,-,-,-,-,-,-,-,-,-,-
14,Debt / Equity Ratio,0.39,0.39,0.39,0.35,0.28,0.31,0.33,0.26,0.25,0.30,0.69,0.63,0.61,0.61
15,Debt / EBITDA Ratio,2.91,3.36,2.32,1.91,2.76,1.88,2.14,1.62,2.43,2.43,3.15,1.50,1.99,1.18
16,Debt / FCF Ratio,-,-,-2.04,-,-,-,-,-,-,-,-,-,-,-
17,Asset Turnover,-,0.56,0.64,0.37,0.60,0.63,0.62,0.43,0.77,0.74,-,-,-,
18,Inventory Turnover,-,-,2.02,2.35,1.40,2.87,2.81,2.51,1.67,2.64,1.70,-,-,-
19,Quick Ratio,-,-,1.58,1.54,1.49,1.49,1.68,1.90,1.88,1.80,0.84,0.84,-,0.85
20,Current Ratio,-,-,2.11,2.09,2.07,1.93,2.10,2.41,2.46,2.27,1.38,1.40,-,1.38
21,Return on Equity (ROE),9.42%,12.93%,13.51%,8.54%,10.80%,13.34%,11.46%,8.82%,15.12%,16.38%,29.38%,23.21%,-,
22,Return on Assets (ROA),-,5.36%,5.11%,3.24%,3.97%,5.37%,4.84%,3.55%,3.85%,4.61%,-,-,-,
23,Return on Capital (ROIC),4.70%,7.27%,6.94%,4.48%,5.38%,7.05%,6.28%,4.62%,5.45%,7.48%,14.66%,10.65%,-,
24,Return on Capital Employed (ROCE),-,-,10.20%,10.43%,10.29%,10.48%,10.18%,8.63%,8.92%,8.87%,25.75%,22.80%,-,10.25%
25,Earnings Yield,3.77%,4.22%,4.24%,4.49%,3.55%,3.39%,3.58%,2.57%,2.59%,2.93%,-,-,-,-
26,FCF Yield,-,-7.33%,-8.67%,-4.91%,-4.69%,-2.87%,-2.70%,-2.73%,-3.20%,-,-,-,-,
27,Dividend Yield,0.78%,-,-,-,-,0.80%,-,-,-,0.32%,-,-,-,-
28,Payout Ratio,0.00%,-,0.01%,79.73%,78.03%,1.61%,6.12%,39.52%,9.90%,5.43%,12.90%,5.85%,7.20%,6.14%
29,Buyback Yield / Dilution,-0.11%,-1.63%,0.48%,2.05%,-1.38%,-21.75%,-30.39%,-33.29%,-34.70%,-6.64%,-,-,-,-
30,Total Shareholder Return,0.67%,-1.63%,0.48%,2.05%,-1.38%,-20.96%,-30.39%,-33.29%,-34.70%,-6.32%,-,-,-,-
