,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021"
0,Revenue,521.78,445.21,483.74,273.25,433.42,420.25,383.97,267.67,388.85,271.5,299.83,266.82,383.84
1,Revenue Growth (YoY),20.39%,5.94%,25.98%,2.08%,11.46%,54.79%,28.06%,0.32%,1.30%,-,-,-,-
2,Cost of Revenue,674.92,301.88,342.72,190.06,326.88,297,282.78,188.5,293.28,188.55,211.03,192.75,278.53
3,Gross Profit,-153.13,143.33,141.01,83.19,106.54,123.25,101.19,79.17,95.56,82.95,88.8,74.07,105.31
4,"Selling, General & Admin",-133.25,45.16,47.32,40.77,43.34,39.35,38,34.06,35.19,38.57,28.16,27.01,31.22
5,Research & Development,-57.23,21.23,22.92,13.08,17.08,22,18.4,12.63,16.29,10.81,12.1,12.49,13.14
6,Other Operating Expenses,6.04,-2.99,-0.49,-2.57,-11.16,-1.6,0.62,-0.93,3.26,1.17,-0.88,1.85,1.93
7,Operating Expenses,-198.97,74.73,79.5,44.73,60.68,66.05,53.02,43.89,64.44,56.06,41.62,42.29,53.07
8,Operating Income,45.83,68.6,61.51,38.45,45.87,57.21,48.17,35.29,31.12,26.89,47.18,31.78,52.24
9,Interest Expense,-11.19,-4.24,-3.14,-3.83,-0,-2.08,-4.3,-3.59,-3.65,-3.7,-3.13,-2.33,-2.18
10,Interest & Investment Income,11.21,3.56,2.26,5.38,1.1,5.95,5.1,5.57,2.23,0.64,0.21,0.18,0.13
11,Currency Exchange Gain (Loss),-,-0,0,-,-0.63,-0.12,0.12,-,1.06,0.83,-0.83,-,-0.2
12,Other Non Operating Income (Expenses),1.57,0.3,-0.05,-0.49,0.38,0.79,-1.66,1.13,0.92,-1.37,0.06,-0.05,-0.71
13,EBT Excluding Unusual Items,47.42,68.22,60.58,39.51,46.72,61.74,47.44,38.4,31.69,23.28,43.49,29.57,49.29
14,Gain (Loss) on Sale of Investments,-,-,-,-,0.6,-,-,-,0.25,-0.2,0.2,-0.25,-0.19
15,Gain (Loss) on Sale of Assets,1.1,-0.6,0.02,-0.52,-,0.1,-0.12,-,6.07,-,0,-,-
16,Asset Writedown,1.21,-1.21,-0.03,0.03,0.25,-0.27,-0.02,-,-0.76,0.75,-0.23,0.23,-0.48
17,Other Unusual Items,-0.62,-2.98,3.38,0.22,-2,-1.09,1.09,-,4.88,-0.09,0.09,-,2.31
18,Pretax Income,49.12,63.42,63.94,39.24,45.57,60.48,48.39,38.4,42.13,23.75,43.54,29.55,50.92
19,Income Tax Expense,7.66,7.59,7.06,3.85,1.86,8.12,4.61,5.4,3.73,1.64,7.07,2.59,5.28
20,Earnings From Continuing Operations,41.46,55.84,56.88,35.39,43.71,52.36,43.78,33.01,38.4,22.11,36.48,26.96,45.64
21,Minority Interest in Earnings,-0.46,-0.16,0.62,0,0.54,-0.37,-0.35,0.56,-1.34,0.4,0.12,-0.05,0.32
22,Net Income,41,55.68,57.49,35.39,44.25,51.99,43.43,33.57,37.06,22.5,36.6,26.91,45.96
23,Net Income to Common,41,55.68,57.49,35.39,44.25,51.99,43.43,33.57,37.06,22.5,36.6,26.91,45.96
24,Net Income Growth,-7.33%,7.08%,32.39%,5.44%,19.39%,131.07%,18.66%,24.73%,-19.36%,-,-,-,-
25,Shares Outstanding (Basic),136,132,133,136,134,133,136,134,110,102,102,100,103
26,Shares Outstanding (Diluted),136,132,133,136,134,133,136,134,110,102,102,100,103
27,Shares Change (YoY),1.63%,-0.48%,-2.05%,1.38%,21.75%,30.39%,33.29%,34.70%,6.64%,-,-,-,-
28,EPS (Basic),0.30,0.42,0.43,0.26,0.33,0.39,0.32,0.25,0.34,0.22,0.36,0.27,0.45
29,EPS (Diluted),0.30,0.42,0.43,0.26,0.33,0.39,0.32,0.25,0.34,0.22,0.36,0.27,0.45
30,EPS Growth,-8.81%,7.61%,35.15%,4.00%,-1.94%,77.22%,-10.98%,-7.41%,-24.38%,-,-,-,-
31,Free Cash Flow,-,3.08,-159.5,-21.3,-155.86,-28.73,-36.08,-18.59,-49.84,-38.92,-29.13,-16.69,-2.29
32,Free Cash Flow Per Share,-,0.02,-1.20,-0.16,-1.16,-0.22,-0.27,-0.14,-0.45,-0.38,-0.29,-0.17,-0.02
33,Dividend Per Share,-,-,-,-,0.300,-,-,-,0.100,-,-,-,-
34,Dividend Growth,-,-,-,-,200.00%,-,-,-,-,-,-,-,-
35,Gross Margin,-29.35%,32.19%,29.15%,30.44%,24.58%,29.33%,26.35%,29.58%,24.58%,30.55%,29.62%,27.76%,27.44%
36,Operating Margin,8.78%,15.41%,12.72%,14.07%,10.58%,13.61%,12.54%,13.18%,8.00%,9.90%,15.73%,11.91%,13.61%
37,Profit Margin,7.86%,12.51%,11.88%,12.95%,10.21%,12.37%,11.31%,12.54%,9.53%,8.29%,12.21%,10.09%,11.97%
38,Free Cash Flow Margin,-,0.69%,-32.97%,-7.79%,-35.96%,-6.84%,-9.40%,-6.95%,-12.82%,-14.34%,-9.72%,-6.25%,-0.60%
39,EBITDA,50.57,73.34,68.82,43.19,50.6,61.3,53.72,39.38,35.22,30.42,51.24,35.31,55.77
40,EBITDA Margin,9.69%,16.47%,14.23%,15.81%,11.68%,14.59%,13.99%,14.71%,9.06%,11.20%,17.09%,13.23%,14.53%
41,D&A For EBITDA,4.74,4.74,7.31,4.74,4.74,4.09,5.56,4.09,4.09,3.53,4.06,3.53,3.53
42,EBIT,45.83,68.6,61.51,38.45,45.87,57.21,48.17,35.29,31.12,26.89,47.18,31.78,52.24
43,EBIT Margin,8.78%,15.41%,12.72%,14.07%,10.58%,13.61%,12.54%,13.18%,8.00%,9.90%,15.73%,11.91%,13.61%
44,Effective Tax Rate,15.60%,11.96%,11.05%,9.82%,4.08%,13.43%,9.52%,14.06%,8.85%,6.91%,16.23%,8.75%,10.37%
45,Revenue as Reported,-,445.21,483.74,273.25,433.42,420.25,383.97,267.67,388.85,271.5,299.83,266.82,1150
