,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021"
0,Cash & Equivalents,-,595.44,460.89,701.98,866.64,579.82,666.77,917.95,1051,132.05,157.89,-,133.36
1,Short-Term Investments,-,-,-,-,-,-,-,-,-,-,8.82,-,-
2,Trading Asset Securities,-,300,350,135.44,50.6,437,260,50,-,-,-,-,-
3,Cash & Short-Term Investments,895.44,895.44,810.89,837.42,917.24,1017,926.77,967.95,1051,132.05,166.71,133.36,133.36
4,Cash Growth,-2.38%,-11.94%,-12.50%,-13.49%,-12.71%,670.03%,455.92%,625.80%,687.94%,-,-,-,-
5,Accounts Receivable,-,1020,921.5,777.02,872.12,822.59,753.15,645.3,720.58,610.24,532.93,-,503.35
6,Other Receivables,-,13.51,15.93,13.51,12.79,18.82,14.33,11.07,7.78,7.61,0.31,-,6.42
7,Receivables,-,1034,937.43,790.54,884.9,841.41,767.48,656.37,728.36,617.85,533.24,-,509.77
8,Inventory,-,609.44,584.16,584.87,500.15,411.4,433.08,469.86,431.01,458.21,427.61,-,341.11
9,Other Current Assets,-,38.43,37.19,42.03,31.82,54.92,23.54,30.25,29.95,29.17,34.23,-,55.37
10,Total Current Assets,-,2577,2370,2255,2334,2325,2151,2124,2240,1237,1162,-,1040
11,"Property, Plant & Equipment",-,386.16,360.98,334.38,313.27,272.22,242.18,189.08,187.59,178.25,153.99,-,146.1
12,Long-Term Investments,-,2.08,1.44,1.8,1.78,1.91,2.2,2.63,2.43,2.82,2.82,-,2.83
13,Goodwill,-,2.4,2.4,2.4,2.4,2.4,2.4,2.4,2.4,-,-,-,-
14,Other Intangible Assets,-,251.15,248.09,250.31,249.89,71.16,61.02,46.28,46.87,30.26,30.07,-,29.88
15,Long-Term Accounts Receivable,-,12.03,13.02,15.66,15.84,-,20.97,-,-,-,13.39,-,-
16,Long-Term Deferred Tax Assets,-,24.6,21.67,17.35,15.9,11.66,12.71,12.37,11.18,9.35,8.95,-,7.58
17,Long-Term Deferred Charges,-,18.18,16.31,12.53,12.81,9.55,10.31,10.68,10.22,8.86,8.61,-,7.82
18,Other Long-Term Assets,-,47.61,44.05,46.49,44.44,98.43,28.31,51.64,31.29,44.33,25.3,-,29.67
19,Total Assets,-,3321,3078,2936,2990,2792,2531,2440,2532,1511,1405,-,1263
20,Accounts Payable,-,565.85,525.33,497.62,505.88,341.61,321.19,322.16,359.32,329.96,312.99,-,293.47
21,Accrued Expenses,-,20.67,57.03,17.09,50,19.03,41.32,11.43,48.5,17.23,31,-,40.18
22,Short-Term Debt,-,270.12,294.31,261.38,322.62,401.56,297.38,323.52,366.79,305.87,292.26,-,234.08
23,Current Portion of Long-Term Debt,-,90.01,50.47,65.85,43.15,49.71,7.09,11.7,17.36,22.52,3.48,-,3.48
24,Current Portion of Leases,-,-,12.46,-,14.17,-,12.22,-,9.88,-,-,-,6.72
25,Current Income Taxes Payable,-,20.42,12.28,7.95,7.7,15.66,5,9.12,6.36,11.11,7.43,-,3.32
26,Current Unearned Revenue,-,177.34,134.32,153.7,194.4,158.65,137.19,91.82,110.8,133.42,111.57,-,111.48
27,Other Current Liabilities,-,75.15,45.49,88.09,72.2,118.38,70.9,94.63,69.52,77.23,70.77,-,61.05
28,Total Current Liabilities,-,1220,1132,1092,1210,1105,892.3,864.38,988.52,897.33,829.49,-,753.77
29,Long-Term Debt,-,303.4,211.39,130,100.95,49.71,51.41,27.76,26.74,30.99,19.54,-,21.27
30,Long-Term Leases,-,15.86,17.07,18.77,20,23.77,25.48,19.64,21.37,23.48,19.01,-,16.06
31,Long-Term Unearned Revenue,-,9.18,9.33,7.77,4.95,5.06,5.18,2.29,2.3,2.41,2.52,-,1.26
32,Long-Term Deferred Tax Liabilities,-,5.21,6.99,5.99,6.01,6.28,6.39,6.42,6.52,-,-,-,-
33,Other Long-Term Liabilities,-,7.7,7.7,7.7,7.7,6.4,6.79,6.55,6.71,5.63,5.75,-,6.56
34,Total Liabilities,-,1561,1384,1262,1350,1196,987.54,927.04,1052,959.83,876.31,-,798.91
35,Common Stock,-,134.4,134.4,134.4,134.4,134.4,134.4,134.4,134.4,100.8,100.8,-,100.8
36,Additional Paid-In Capital,-,1036,1036,1036,1036,1036,1036,1036,1036,178.16,178.16,-,178.16
