,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022"
0,Cash & Equivalents,436.08,353.85,293.58,279.86,308.05,265.14,102.23,141.17,-,165.71,-
1,Trading Asset Securities,160.51,282.89,359.53,379.17,425.97,511.4,-,-,-,0.01,-
2,Cash & Short-Term Investments,596.6,636.74,653.11,659.03,734.03,776.54,102.23,141.17,-,165.73,161.83
3,Cash Growth,-18.72%,-18.00%,538.89%,366.84%,-,368.56%,-36.83%,-,-,-,-
4,Accounts Receivable,587,452.64,449.06,491.87,448.38,391.06,379.03,409.38,-,444.34,-
5,Other Receivables,8.98,6.4,3.06,5.42,3.68,2.38,4.06,7.37,-,4.14,-
6,Receivables,595.99,459.04,452.12,497.29,452.05,393.43,383.08,416.75,-,448.48,-
7,Inventory,168.23,126.41,128.31,125.69,130.47,97.27,81.88,87.23,-,100.23,-
8,Prepaid Expenses,-,-,-,5.95,-,-,-,3.06,-,-,-
9,Other Current Assets,75.1,45.6,41.92,37.21,31.43,26.77,23.57,22.24,-,17.72,-
10,Total Current Assets,1436,1268,1275,1325,1348,1294,590.76,670.45,-,732.16,-
11,"Property, Plant & Equipment",716.88,639.13,629.8,567.62,547.42,540.33,500.03,469.94,-,297.88,-
12,Long-Term Investments,-,67.39,63.29,63.81,64.38,64.52,64.22,64.18,-,61.8,-
13,Goodwill,17.47,4.37,4.37,4.37,4.37,4.37,4.37,4.37,-,4.37,-
14,Other Intangible Assets,32.99,30.81,31.35,31.89,31.92,32.65,32.28,32.65,-,31.68,-
15,Long-Term Deferred Tax Assets,44.12,34.98,27.13,25.63,12.59,12.96,10.3,22.6,-,13.94,-
16,Long-Term Deferred Charges,12.01,11.14,9.97,6.87,6.09,5.62,5.67,4.53,-,4.1,-
17,Other Long-Term Assets,50.07,14.25,22.74,25.66,18.55,17.14,12.38,9.18,-,6.16,-
18,Total Assets,2309,2070,2064,2051,2033,1972,1220,1278,-,1152,-
19,Accounts Payable,350.39,262.94,243.11,271,255.53,192.9,192.15,239.16,-,296.83,-
20,Accrued Expenses,20.95,28.33,21.77,31.09,18.13,25.44,17.63,33.33,-,31.64,-
21,Short-Term Debt,137.96,50.83,2.25,2.42,19.31,29.55,156.55,156.19,-,95.88,-
22,Current Portion of Long-Term Debt,-,-,-,-,-,-,138.36,103.69,-,-,-
23,Current Portion of Leases,22.68,26.82,25.63,18.39,19.07,21.34,-,17.73,-,-,-
24,Current Income Taxes Payable,5.21,2.73,3.18,2.8,8.68,10.28,9.98,5.26,-,8.76,-
25,Current Unearned Revenue,5.52,1.95,3.2,3.57,0.74,0.68,0.22,0.14,-,0.12,-
26,Other Current Liabilities,35.35,26.05,35.1,33.9,31.6,30.97,42.86,47.48,-,145.34,-
27,Total Current Liabilities,578.06,399.65,334.23,363.17,353.05,311.17,557.76,602.97,-,578.57,-
28,Long-Term Debt,25.55,-,-,-,-,-,17.3,39.64,-,-,-
29,Long-Term Leases,51.85,60.08,63.19,33.91,36.71,49.54,45.08,50.44,-,58.7,-
30,Long-Term Deferred Tax Liabilities,7.11,8,8.4,8.68,0.51,0.19,0.07,10.65,-,0,-
31,Other Long-Term Liabilities,9.67,-,-,-,-,-,-,-,-,-,-
32,Total Liabilities,672.24,467.73,405.81,405.77,390.27,360.89,620.21,703.7,-,637.27,-
33,Common Stock,106.49,106.49,76.07,76,76,76,57,57,-,57,-
34,Additional Paid-In Capital,1179,1176,1202,1199,1199,1199,213.66,213.66,-,213.66,-
35,Retained Earnings,332.37,324.01,375.51,364.11,361.56,327.65,327.56,304,-,245.84,-
36,Treasury Stock,-1.68,-1.71,-1.71,-,-,-,-,-,-,-,-
37,Comprehensive Income & Other,-2.59,0.7,6.23,5.52,3.85,5.93,1.11,-0.63,-,-0.68,-
38,Total Common Equity,1614,1605,1658,1645,1640,1609,599.32,574.03,-,515.83,478.13
