,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022"
0,Operating Revenue,339.56,272.02,229.78,287.69,284.59,216,204.56,212.49,274.87,253.63,236.25
1,Other Revenue,-3.81,3.81,-,13.69,-6.83,6.83,-,18.47,-9.58,9.58,-
2,Revenue,335.75,275.83,229.78,301.37,277.76,222.82,204.56,230.95,265.29,263.21,236.25
3,Revenue Growth (YoY),20.88%,23.79%,12.33%,30.49%,4.70%,-15.34%,-13.42%,-,-,-,-
4,Cost of Revenue,257.76,211.91,168.75,200.36,187.88,158.81,138.09,146.86,186.59,191.53,170.97
5,Gross Profit,77.99,63.93,61.02,101.01,89.88,64.01,66.47,84.09,78.7,71.68,65.29
6,"Selling, General & Admin",45.11,45.6,37.42,52.94,35.06,34.12,21.73,43.47,27.92,22.23,23.84
7,Research & Development,22.49,17.21,16.69,16.08,14.6,11.93,8.36,9.86,9.05,13.57,8.86
8,Other Operating Expenses,-0.36,1.46,0.98,1.34,0.64,-3.79,0.35,1.8,0.96,1.11,0.98
9,Operating Expenses,69.03,65.79,51.85,74.39,53.69,43.11,28.28,51.5,38.83,37.17,34.04
10,Operating Income,8.96,-1.86,9.17,26.62,36.19,20.9,38.18,32.59,39.86,34.51,31.25
11,Interest Expense,-,-1.82,-,-2.98,-0.75,-5.22,-,-3.34,-2.22,-7.25,-
12,Interest & Investment Income,3.15,2.4,-,-,5.22,2.56,-,1.34,0.15,-,2.63
13,Currency Exchange Gain (Loss),-2.15,2.15,-,-0.73,-7.08,7.08,-,30.61,-17.36,17.36,-
14,Other Non Operating Income (Expenses),-12.02,-2.39,1.89,-2.52,1.68,8.29,-8.43,-35.3,32.79,3.1,-4.16
15,EBT Excluding Unusual Items,-2.05,-1.53,11.06,20.39,35.26,33.6,29.75,25.9,53.21,47.73,29.73
16,Gain (Loss) on Sale of Investments,1.82,-2.5,0.88,0.45,1.7,1,-0.67,-1.05,-9.4,-10.46,1.38
17,Gain (Loss) on Sale of Assets,0.19,-1.89,0.41,-0.32,2.09,-0.06,0.06,0.01,0.08,-0.05,0.01
18,Asset Writedown,0.65,-13.53,-0.65,1.04,-1.62,-0.06,0.06,1.54,-1.81,0.93,-0.93
19,Other Unusual Items,2.23,-1.31,-0.45,2.44,0.04,-0.04,-,-0.68,1.88,-1.88,-
20,Pretax Income,2.83,-20.76,11.26,24,37.47,34.44,29.2,25.72,43.96,36.26,30.19
21,Income Tax Expense,-2.38,-5.2,0.33,-1.28,3.08,4.81,3.48,3.56,8.46,5.39,3.28
22,Earnings From Continuing Operations,5.21,-15.56,10.93,25.28,34.39,29.63,25.73,22.17,35.5,30.87,26.9
23,Minority Interest in Earnings,3.09,3.27,0.46,2.03,-0.5,-1.58,-0.31,-1.04,-0.16,-1.25,0.88
24,Net Income,8.31,-12.29,11.39,27.31,33.89,28.05,25.41,21.13,35.33,29.63,27.79
25,Net Income to Common,8.31,-12.29,11.39,27.31,33.89,28.05,25.41,21.13,35.33,29.63,27.79
26,Net Income Growth,-75.49%,-,-55.16%,29.28%,-4.10%,-5.31%,-8.54%,-,-,-,-
27,Shares Outstanding (Basic),115,99,106,98,113,108,80,80,80,80,80
28,Shares Outstanding (Diluted),115,99,106,98,113,108,80,80,80,80,80
29,Shares Change (YoY),2.06%,-8.06%,33.30%,22.26%,41.29%,34.89%,0.02%,-,-,-,-
30,EPS (Basic),0.07,-0.12,0.11,0.28,0.30,0.26,0.32,0.26,0.44,0.37,0.35
31,EPS (Diluted),0.07,-0.12,0.11,0.28,0.30,0.26,0.32,0.26,0.44,0.37,0.35
32,EPS Growth,-75.98%,-,-66.36%,5.75%,-32.12%,-29.80%,-8.56%,-,-,-,-
33,Free Cash Flow,-56.48,-2.97,-9.13,-27.45,-30.75,-29.2,-16.96,27.38,-114.6,26.25,-28.44
34,Free Cash Flow Per Share,-0.49,-0.03,-0.09,-0.28,-0.27,-0.27,-0.21,0.34,-1.44,0.33,-0.36
