,Fiscal Quarter,Current,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022
,Period Ending,"Mar '25 Mar 10, 2025","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022"
0,Market Capitalization,3840,3556,3567,3759,5145,3525,3749,-,-,-,-,-
1,Market Cap Growth,0.88%,0.88%,-4.84%,-,-,-,-,-,-,-,-,-
2,Enterprise Value,3505,3054,3006,3103,4489,2851,4005,-,-,-,-,-
3,Last Close Price,36.06,33.39,33.50,34.89,47.79,32.51,34.57,-,-,-,-,-
4,PE Ratio,106.53,102.39,-,37.35,44.87,32.49,34.10,-,-,-,-,-
5,Forward PE,133.56,15.69,15.74,18.60,30.56,-,-,-,-,-,-,-
6,PS Ratio,3.24,3.11,3.29,3.64,5.11,3.77,4.06,-,-,-,-,-
7,PB Ratio,2.38,2.17,2.23,2.27,3.13,2.15,2.33,-,-,-,-,-
8,P/TBV Ratio,2.27,2.27,2.27,2.32,3.20,2.20,2.39,-,-,-,-,-
9,P/OCF Ratio,86.53,-,40.68,50.09,73.67,27.83,27.46,-,-,-,-,-
10,EV/Sales Ratio,3.07,2.67,2.77,3.01,4.46,3.05,4.34,-,-,-,-,-
11,EV/EBITDA Ratio,41.23,47.42,33.43,28.28,32.76,20.18,27.84,-,-,-,-,-
12,EV/EBIT Ratio,93.33,71.21,-,33.41,36.83,22.30,30.45,-,-,-,-,-
13,Debt / Equity Ratio,0.15,0.15,0.09,0.05,0.03,0.05,0.06,0.60,0.64,-,0.30,0.44
14,Debt / EBITDA Ratio,2.80,4.36,1.85,1.64,0.25,0.48,0.52,2.17,1.58,-,0.80,1.59
15,Debt / FCF Ratio,-,-,-,-,-,-,-,-,-4.11,-,-70.68,-
16,Asset Turnover,0.61,0.53,0.45,0.59,0.55,0.56,0.66,-,-,-,-,
17,Inventory Turnover,5.62,7.00,6.66,5.32,6.26,6.60,7.09,6.53,-,-,-,-
18,Quick Ratio,2.06,2.06,2.74,3.31,3.18,3.36,3.76,0.87,0.93,-,1.06,-
19,Current Ratio,2.48,2.48,3.17,3.82,3.65,3.82,4.16,1.06,1.11,-,1.27,-
20,Return on Equity (ROE),1.29%,-3.82%,2.65%,6.15%,8.46%,10.72%,17.53%,-,-,24.91%,-,
21,Return on Assets (ROA),1.02%,-0.23%,1.11%,3.26%,4.52%,3.27%,7.64%,-,-,-,-,
22,Return on Capital (ROIC),1.24%,-0.27%,1.33%,3.89%,5.28%,3.92%,10.05%,-,-,12.71%,-,
23,Return on Capital Employed (ROCE),2.17%,2.48%,-,5.37%,7.22%,7.61%,7.92%,21.92%,20.48%,-,11.47%,-
24,Earnings Yield,0.90%,0.98%,1.69%,2.68%,2.23%,3.08%,2.93%,-,-,-,-,-
25,FCF Yield,-2.50%,-2.70%,-1.97%,-2.57%,-2.03%,-1.41%,-3.56%,-,-,-,-,-
26,Dividend Yield,1.64%,-,-,-,1.27%,-,1.45%,-,-,-,-,-
27,Payout Ratio,190.64%,7.23%,-,12.65%,100.67%,-,98.29%,8.77%,12.35%,4.66%,4.84%,76.81%
28,Buyback Yield / Dilution,-7.99%,-2.06%,8.06%,-33.30%,-22.26%,-41.29%,-34.89%,-0.02%,-,-,-,-
29,Total Shareholder Return,-6.36%,-2.06%,8.06%,-33.30%,-20.99%,-41.29%,-33.44%,-0.02%,-,-,-,-
