,Fiscal Quarter,Current,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020,H2 2019
,Period Ending,"Mar '25 Mar 13, 2025","Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020","Dec '19 Dec 31, 2019"
0,Market Capitalization,407,421,349,1351,1351,1351,1772,4227,3631,5759,4256
1,Market Cap Growth,-68.82%,-68.82%,-74.19%,0%,-23.77%,-68.04%,-51.20%,-26.61%,-14.68%,76.22%,-
2,Enterprise Value,-500,-480,-363,673,179,179,600,3092,2842,4971,3135
3,Last Close Price,0.56,0.58,0.48,1.86,1.86,1.86,2.44,5.82,4.85,7.69,5.62
4,PE Ratio,2.16,2.23,2.01,7.18,7.45,-3.61,-,11.07,12.21,28.59,23.41
5,Forward PE,-,3.04,3.04,3.04,3.04,3.04,4.03,9.63,8.53,20.25,22.27
6,PS Ratio,0.26,0.27,0.20,0.80,0.73,0.65,0.74,1.88,2.17,4.97,4.22
7,PB Ratio,0.32,0.32,0.27,1.16,1.20,1.35,1.81,3.06,2.88,5.88,4.50
8,P/TBV Ratio,0.39,0.39,0.34,1.59,1.70,2.04,2.86,4.78,4.16,5.94,4.54
9,P/FCF Ratio,2.48,2.57,3.38,-,-10.97,-,-14.65,-,6.06,-76.78,-
10,P/OCF Ratio,2.37,2.37,2.98,-,-11.31,-,-16.72,-,5.76,121.42,-
11,PEG Ratio,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.48,0.38
12,EV/Sales Ratio,-,-,-,0.40,0.10,0.09,0.25,1.38,1.70,4.29,3.11
13,EV/EBITDA Ratio,-,-,-,3.59,1.01,-0.80,-,6.15,7.22,17.04,13.12
14,EV/EBIT Ratio,-,-,-,4.10,1.19,-0.70,-,6.55,7.64,17.72,13.67
15,EV/FCF Ratio,-3.05,-,-,-,-1.45,-,-4.96,-,4.74,-66.28,-
16,Debt / Equity Ratio,0.08,0.08,0.10,0.13,0.17,0.27,0.53,0.46,0.50,0.30,0.14
17,Debt / FCF Ratio,0.65,0.65,1.23,-,-1.52,-,-4.29,-,1.04,-3.91,-
18,Return on Capital Employed (ROCE),17.35%,17.35%,14.99%,13.75%,12.98%,-24.25%,-,28.92%,28.33%,27.72%,23.84%
19,Earnings Yield,46.38%,44.78%,49.66%,13.93%,13.42%,-27.72%,-13.23%,9.03%,8.19%,3.50%,4.27%
20,FCF Yield,40.38%,38.98%,29.55%,0.07%,-9.12%,-4.17%,-6.83%,6.22%,16.52%,-1.30%,1.35%
21,Buyback Yield / Dilution,-,-,-,-,-,-,-,0.10%,-13.45%,-38.24%,
22,Total Shareholder Return,-,-,-,-,-,-,-,0.10%,-13.45%,-38.24%,
