,Fiscal Quarter,Current,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021
,Period Ending,"Mar '25 Mar 13, 2025","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Jan '22 Jan 1, 2022","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021"
0,Market Capitalization,4956,3194,3448,3124,4271,3612,3863,4494,4167,4162,-,-,-,-,-,-
1,Market Cap Growth,-11.56%,-11.56%,-10.75%,-30.48%,2.49%,-13.21%,-,-,-,-,-,-,-,-,-,-
2,Enterprise Value,6138,4421,4063,3294,4441,3664,3601,4052,3562,4233,-,-,-,-,-,-
3,Last Close Price,62.44,40.17,42.70,37.56,51.35,43.65,47.78,55.21,51.20,51.14,-,-,-,-,-,-
4,PE Ratio,70.50,44.84,64.99,60.07,-,54.18,39.84,37.99,26.19,18.98,-,-,-,-,-,-
5,Forward PE,44.60,12.08,12.08,12.75,17.43,-,-,-,-,-,-,-,-,-,-,-
6,PS Ratio,0.94,0.60,0.67,0.65,0.94,0.96,1.11,1.29,1.19,1.15,-,-,-,-,-,-
7,PB Ratio,1.96,1.26,1.39,1.24,1.67,1.56,1.71,1.99,1.85,1.86,-,-,-,-,-,-
8,P/TBV Ratio,1.35,1.35,1.49,1.32,1.78,1.68,1.84,2.14,2.00,2.00,-,-,-,-,-,-
9,P/FCF Ratio,-,-,-,-,-,-,-,-,-,-11.04,-,-,-,-,-,-
10,P/OCF Ratio,11.68,11.68,12.20,-,17.98,13.45,-,13.28,12.45,19.34,-,-,-,-,-,-
11,EV/Sales Ratio,1.15,0.83,0.79,0.69,0.98,0.97,1.04,1.16,1.02,1.17,-,-,-,-,-,-
12,EV/EBITDA Ratio,18.45,13.97,16.16,13.88,19.02,19.55,16.51,17.26,-,12.00,-,-,-,-,-,-
13,EV/EBIT Ratio,60.04,35.45,57.08,37.16,-,59.63,34.95,32.39,-,15.98,-,-,-,-,-,-
14,EV/FCF Ratio,-6.77,-,-,-,-,-,-,-,-,-11.23,-,-,-,-,-,-
15,Debt / Equity Ratio,0.93,0.93,0.96,0.86,0.90,0.52,0.43,0.34,0.30,0.40,-,0.50,0.50,0.29,0.29,0.29
16,Debt / EBITDA Ratio,7.04,3.81,5.81,12.86,9.26,3.40,2.84,5.08,7.31,1.87,-,2.07,1.33,0.74,0.92,0.92
17,Debt / FCF Ratio,-,-,-,-,-,-,-,-,-,-2.38,-,-,-,-,-,-
18,Asset Turnover,0.68,0.63,0.47,0.80,0.83,0.74,0.59,0.59,-,-,-,-,-,1.01,-,
19,Inventory Turnover,5.35,5.24,5.27,4.30,7.20,5.61,4.68,3.66,3.47,-,-,-,-,-,4.35,-
20,Quick Ratio,0.72,0.72,0.77,0.86,0.97,0.71,0.75,0.84,0.95,1.15,-,-,0.74,-,0.65,0.65
21,Current Ratio,1.02,1.02,1.08,1.14,1.19,0.98,1.05,1.19,1.29,1.50,-,-,1.05,-,1.01,1.01
22,Return on Equity (ROE),8.00%,3.88%,0.50%,-1.03%,5.58%,4.11%,0.26%,1.79%,-,-,14.67%,25.93%,27.85%,22.40%,-,
23,Return on Assets (ROA),3.22%,0.64%,0.01%,-0.28%,2.35%,1.82%,0.38%,-2.09%,-,-,-,-,-,4.17%,-,
24,Return on Capital (ROIC),5.73%,1.12%,0.01%,-0.51%,4.30%,3.10%,0.64%,-3.57%,-,-,7.16%,9.08%,15.54%,10.44%,-,
25,Return on Capital Employed (ROCE),2.16%,2.63%,1.51%,1.93%,-,1.87%,3.52%,4.43%,-,8.54%,-,-,14.16%,-,8.39%,4.20%
26,Earnings Yield,1.44%,2.23%,1.54%,1.66%,1.18%,1.85%,2.51%,2.63%,3.82%,5.27%,-,-,-,-,-,-
27,FCF Yield,-18.30%,-28.39%,-33.25%,-41.88%,-26.95%,-27.84%,-16.86%,-12.93%,-8.97%,-9.05%,-,-,-,-,-,-
28,Dividend Yield,0.75%,-,-,-,0.93%,-,-,-,0.59%,-,-,-,-,-,-,-
29,Payout Ratio,127.32%,27.18%,210.22%,394.71%,-,19.88%,139.64%,579.00%,151.37%,11.47%,14.76%,10.35%,7.53%,6.18%,3.83%,3.83%
30,Buyback Yield / Dilution,0.27%,5.80%,4.66%,-8.18%,-2.41%,-17.26%,-53.85%,-21.19%,-33.39%,-10.51%,0.98%,-0.81%,-,-,-,-
31,Total Shareholder Return,1.02%,5.80%,4.66%,-8.18%,-1.48%,-17.26%,-53.85%,-21.19%,-32.80%,-10.51%,0.98%,-0.81%,-,-,-,-
