,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Jan '22 Jan 1, 2022","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021"
0,Operating Revenue,1491,1300,993.59,1309,1298,967.57,740.44,731.64,999.93,991.89,749.44,827.48,830.01,812.69,812.69
1,Other Revenue,-22.79,22.79,-,225.54,-16.35,16.35,-,32.71,-20.07,20.07,-,35.11,-16.49,8.24,8.24
2,Revenue,1468,1322,993.59,1535,1282,983.92,740.44,764.35,979.86,1012,749.44,862.59,813.53,820.94,820.94
3,Revenue Growth (YoY),14.51%,34.40%,34.19%,100.77%,30.82%,-2.77%,-1.20%,-11.39%,20.45%,23.27%,-8.71%,-,-,-,-
4,Cost of Revenue,1148,1089,803.69,1299,994.47,781.31,591.64,608.43,746.32,831.61,600.24,688.45,629.65,654.27,654.27
5,Gross Profit,319.42,233.65,189.89,235.3,287.35,202.61,148.8,155.92,233.54,180.35,149.2,174.14,183.88,166.67,166.67
6,"Selling, General & Admin",112.54,122.66,101.75,134.38,123.14,90.47,82.53,109.95,83.8,68.22,60.35,72.57,65.6,66.84,66.84
7,Research & Development,77.97,74.71,82.44,91.63,103.1,78.07,60.43,69.31,49.81,52.92,42.96,49.14,49.34,41.07,41.07
8,Other Operating Expenses,10.1,11.26,7.75,11.94,4.35,-0.67,-6.9,25.52,-4.45,-4.1,-2.6,-2,-13,4.31,4.31
9,Operating Expenses,207.75,212.26,189.68,243.84,229.22,163.77,141.14,199.12,133.8,119.46,99.81,119.16,102.86,112.25,112.25
10,Operating Income,111.66,21.39,0.21,-8.54,58.14,38.84,7.67,-43.21,99.74,60.89,49.39,54.98,81.01,54.42,54.42
11,Interest Expense,-24.64,-29.94,-26.56,-16.47,-5.32,-9.75,-8.18,-8.97,-16.46,-9.72,-6.16,-7.69,-6.58,-5.08,-5.08
12,Interest & Investment Income,6.29,8.48,5.73,2.53,1.22,2.55,2.74,-,-,1.36,14.94,16.82,15.74,23.32,23.32
13,Currency Exchange Gain (Loss),-24.48,24.48,-,22.73,-24.18,24.18,-,61.55,-29.67,29.67,-,-22.65,12.23,-6.11,-6.11
14,Other Non Operating Income (Expenses),7.24,-10.31,10.94,-23.02,10.51,16,-11.6,-85.78,78.92,-1.45,-5.58,12.1,-13.18,-1.63,-1.63
15,EBT Excluding Unusual Items,76.09,14.09,-9.68,-22.78,40.37,71.83,-9.37,-76.4,132.53,80.75,52.59,53.57,89.21,64.92,64.92
16,Gain (Loss) on Sale of Investments,3.21,-,-,2.32,-11.19,-54.84,2.43,29.07,-45.98,-38.75,-9.07,14.37,-10.59,-4.41,-4.41
17,Gain (Loss) on Sale of Assets,0.04,-0.57,-0.45,-2.02,-1.97,-0.01,-0.12,-0,-0.17,0,-0.14,-0.04,-0.08,-0.08,-0.08
18,Asset Writedown,-39.34,1.31,-1.31,6.24,-6.23,-1.37,0.36,16.25,-16.51,1.95,-4.08,2.94,-3.21,-0.32,-0.32
19,Other Unusual Items,3.43,6.25,6.52,6.47,0.05,-0.05,-,29.38,0.13,-0.13,-,-0.1,-7.88,3.94,3.94
20,Pretax Income,43.42,21.09,-4.91,-9.78,21.02,15.56,-6.69,-1.7,70,43.82,39.3,70.74,67.46,64.04,64.04
21,Income Tax Expense,-6.68,-3.18,-8.08,-3.47,-10.9,-7.66,-8.16,-11.75,7.77,-0.73,-3,0.58,-2.97,7.4,7.4
22,Net Income,50.1,24.27,3.17,-6.31,31.92,23.22,1.46,10.05,62.23,44.54,42.3,70.16,70.43,56.65,56.65
23,Net Income to Common,50.1,24.27,3.17,-6.31,31.92,23.22,1.46,10.05,62.23,44.54,42.3,70.16,70.43,56.65,56.65
24,Net Income Growth,56.93%,4.52%,116.36%,-,-48.70%,-47.87%,-96.54%,-85.67%,-11.64%,-21.37%,-25.33%,-,-,-,-
25,Shares Outstanding (Basic),74,87,79,82,78,91,73,80,67,59,60,60,60,60,60
26,Shares Outstanding (Diluted),74,87,79,82,78,91,73,80,67,59,60,60,60,60,60
27,Shares Change (YoY),-5.80%,-4.66%,8.18%,2.41%,17.26%,53.85%,21.19%,33.39%,10.51%,-0.98%,0.81%,-,-,-,-
28,EPS (Basic),0.68,0.28,0.04,-0.08,0.41,0.25,0.02,0.13,0.93,0.75,0.70,1.17,1.17,0.94,0.94
29,EPS (Diluted),0.68,0.28,0.04,-0.08,0.41,0.25,0.02,0.13,0.93,0.75,0.70,1.17,1.17,0.94,0.94
30,EPS Growth,66.60%,9.63%,100.00%,-,-56.25%,-66.12%,-97.14%,-89.26%,-20.04%,-20.59%,-25.93%,-,-,-,-
31,Free Cash Flow,-91.54,-156.4,-418.05,-240.98,-331,-318.15,-260.99,-95.3,23.19,-248.11,-53.53,-98.36,-53.84,-136.01,-136.01
32,Free Cash Flow Per Share,-1.25,-1.80,-5.28,-2.94,-4.24,-3.48,-3.56,-1.19,0.35,-4.18,-0.89,-1.64,-0.89,-2.27,-2.27
