,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Jan '22 Jan 1, 2022","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021"
0,Cash & Equivalents,1161,1162,1551,2181,1035,923,1038,1006,1500,-,-,447.04,-,447.84,447.84
1,Trading Asset Securities,-,-,-,-,-,-,-,100,-,-,-,-,-,-,-
2,Cash & Short-Term Investments,1161,1162,1551,2181,1035,923,1038,1106,1500,-,447.04,447.04,447.84,447.84,447.84
3,Cash Growth,12.17%,25.93%,49.33%,97.20%,-30.98%,-,132.29%,147.35%,234.98%,-,-0.18%,-,-,-,-
4,Accounts Receivable,1765,1655,1468,1614,1367,1049,782.72,809.09,1044,-,-,870.98,-,810.18,810.18
5,Other Receivables,65.58,64.77,75.99,77.24,72.07,44.05,59.33,98.72,123.2,-,-,49.61,-,26.2,26.2
6,Receivables,1830,1720,1544,1691,1439,1093,842.06,907.8,1167,-,-,920.59,-,844.72,844.72
7,Inventory,886.85,865.99,786.14,709.1,735.57,682.99,653.16,640.4,763.5,-,-,501.89,-,601.39,601.39
8,Prepaid Expenses,-,-,-,2.78,136.01,100.55,73.14,2.47,55.25,-,-,11.64,-,17.24,17.24
9,Other Current Assets,326.42,282.73,234.22,197.7,41.46,45.96,43.33,87.09,10.67,-,-,56.1,-,71.42,71.42
10,Total Current Assets,4205,4031,4115,4782,3387,2846,2650,2744,3497,-,-,1937,-,1983,1983
11,"Property, Plant & Equipment",4195,3981,3596,3325,2916,2282,1966,1802,1613,-,-,1322,-,958.66,958.66
12,Long-Term Investments,96.43,95.22,94.77,94.38,95.08,94.61,58.92,55.19,54.37,-,-,53.06,-,32,32
13,Other Intangible Assets,156.11,156.42,157.71,158.49,159,159.96,161.15,162.19,162.55,-,-,162.31,-,164.9,164.9
14,Long-Term Accounts Receivable,-,-,-,-,-,-,-,-,-,-,-,1.41,-,-,-
15,Long-Term Deferred Tax Assets,118.49,111.22,101.41,88.18,84.59,73.98,66.82,62.59,57.34,-,-,42.14,-,29.02,29.02
16,Long-Term Deferred Charges,53.64,46.23,29.4,22.82,20.19,21.46,23.86,28.04,26.15,-,-,31.89,-,20.26,20.26
17,Other Long-Term Assets,45.91,42.57,109.14,82.81,90.12,156.47,124.66,57.28,22.06,-,-,31.28,-,74.85,74.85
18,Total Assets,8870,8464,8204,8554,6752,5634,5052,4911,5432,-,-,3581,-,3262,3262
19,Accounts Payable,3370,3031,2912,3240,2792,1992,1571,1619,1863,-,-,1508,-,1416,1416
20,Accrued Expenses,119.21,223.71,113.54,214.21,117.31,141.99,117.29,184.92,92.54,-,-,154.2,-,134.5,134.5
21,Short-Term Debt,226,166,197,387.97,328.08,347.82,301.14,89,134.62,-,-,57.38,-,101,101
22,Current Portion of Long-Term Debt,-,63.2,-,19.59,-,43,-,108.98,-,-,-,-,-,-,-
23,Current Portion of Leases,-,14.39,-,13.53,-,18.25,-,20.43,-,-,-,52.69,-,-,-
24,Current Income Taxes Payable,27.07,2.71,11.29,0.21,11.78,1.26,9.51,6.59,22.5,-,-,9.95,-,15.46,15.46
25,Current Unearned Revenue,23.63,32.29,23.51,8.3,28.46,24.1,29.56,28.66,18.4,-,-,37.83,-,37.83,37.83
26,Other Current Liabilities,365.66,202.01,349.74,122.39,185.29,135.1,198.29,62.06,197.66,-,-,31.68,-,261.23,261.23
27,Total Current Liabilities,4132,3735,3607,4006,3463,2703,2227,2119,2329,-,-,1852,-,1966,1966
28,Long-Term Debt,2071,2093,1917,1836,876.43,565.88,474.7,444.31,755.39,-,-,441.25,-,165.45,165.45
29,Long-Term Leases,46.14,53.13,52.39,48.02,0.88,-,0.76,1.29,5.23,-,-,20.19,-,25.19,25.19
30,Long-Term Unearned Revenue,58.72,60.31,59.85,63.84,61.67,54.63,41.1,44.49,48.3,-,-,42.88,-,31.11,31.11
31,Long-Term Deferred Tax Liabilities,15.84,17.09,17.39,12.42,12.43,12.72,13.52,17.47,13.52,-,-,19.51,-,10.57,10.57
32,Other Long-Term Liabilities,17.37,28.13,27.63,26.15,22.93,35.84,36.04,33.35,39.61,-,-,52.67,-,52.81,52.81
33,Total Liabilities,6341,5986,5681,5992,4437,3372,2793,2660,3191,-,-,2428,-,2251,2251
34,Common Stock,82.14,82.14,82.18,82.29,81.86,81.86,81.86,80,80,-,-,60,-,60,60
35,Additional Paid-In Capital,1471,1468,1465,1461,1443,1436,1430,1373,1373,-,-,449.81,-,449.81,449.81
36,Retained Earnings,883.17,833.07,846.92,843.75,850.06,818.14,819.48,818.01,807.96,-,-,658.89,-,518.3,518.3
37,Treasury Stock,-145.36,-145.37,-111.55,-64.63,-52.43,-52.43,-52.99,-,-,-,-,-,-,-,-
38,Comprehensive Income & Other,238.81,239.27,239.83,239.11,-7.31,-21.64,-19.83,-20.33,-20.21,-,-,-15.62,-,-16.68,-16.68
39,Shareholders' Equity,2530,2477,2522,2562,2315,2262,2259,2251,2241,-,1153,1153,1011,1011,1011
40,Total Liabilities & Equity,8870,8464,8204,8554,6752,5634,5052,4911,5432,-,-,3581,-,3262,3262
41,Total Debt,2343,2389,2166,2305,1205,974.95,776.6,664.01,895.25,-,571.5,571.5,291.64,291.64,291.64
42,Net Cash (Debt),-1182,-1227,-615.63,-124.24,-170.05,-51.94,261.85,441.77,604.91,-,-124.46,-124.46,156.2,156.2,156.2
43,Net Cash Growth,-,-,-,-,-,-,-,-,287.26%,-,-,-,-,-,-
44,Net Cash Per Share,-16.07,-14.09,-7.77,-1.52,-2.18,-0.57,3.58,5.52,9.09,-,-2.06,-2.08,2.59,2.61,2.61
45,Filing Date Shares Outstanding,79.52,79.52,80.75,80.86,81.86,81.86,73.23,80,80,59.35,60.43,60,60.23,60,60
46,Total Common Shares Outstanding,79.52,79.52,80.75,80.86,81.86,81.86,73.23,80,80,59.35,60.43,60,60.23,60,60
47,Working Capital,72.92,295.84,508.02,775.62,-75.14,142.55,423.43,624.23,1168,-,-,85.38,-,16.86,16.86
48,Book Value Per Share,31.81,31.16,31.24,31.68,28.28,27.63,30.85,28.14,28.01,-,19.22,19.22,16.86,16.86,16.86
49,Tangible Book Value,2373,2321,2364,2403,2156,2102,2098,2089,2078,-,990.77,990.77,846.52,846.52,846.52
50,Tangible Book Value Per Share,29.85,29.19,29.28,29.72,26.34,25.68,28.64,26.11,25.98,-,16.51,16.51,14.11,14.11,14.11
51,Buildings,-,1307,-,1297,-,265.23,-,266.92,-,-,-,261.46,-,227.8,227.8
52,Machinery,-,2311,-,1991,-,1378,-,1243,-,-,-,1007,-,756.77,756.77
53,Construction In Progress,-,970.03,-,528.97,-,1093,-,682.81,-,-,-,220.02,-,101.6,101.6
