,Fiscal Quarter,Current,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,+20 Quarters
,Period Ending,"Mar '25 Mar 5, 2025","Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020",+20 Quarters
0,Market Capitalization,1577598,1519999,1555198,1535999,1654398,1423999,1359999,1391999,1430399,1756798,1471999,1324799,1638398,1759998,1343999,1273599,1471999,1343999,947199,991999,831999,Upgrade
1,Market Cap Growth,6.74%,6.74%,14.35%,10.34%,15.66%,-18.94%,-7.61%,5.07%,-12.70%,-0.18%,9.52%,4.02%,11.30%,30.95%,41.89%,28.39%,76.92%,5.00%,-1.00%,-4.62%,-15.86%,Upgrade
2,Enterprise Value,1588368,1532912,1577491,1568818,1724050,1451340,1407742,1423447,1531797,1896802,1593201,1491536,1840778,1987493,1567220,1491474,1764048,1648651,1253619,1280438,1162357,Upgrade
3,PE Ratio,14.42,13.90,13.77,12.48,12.60,9.72,8.74,8.30,8.29,9.85,8.11,8.45,10.89,12.47,9.10,8.67,11.14,11.96,10.86,11.95,8.47,Upgrade
4,PS Ratio,6.17,5.94,5.92,5.61,5.75,4.57,4.12,3.95,3.91,4.66,3.92,3.95,5.11,5.76,4.32,4.09,5.09,5.17,4.36,4.75,3.65,Upgrade
5,PB Ratio,3.17,2.31,2.40,2.32,2.40,2.20,2.07,2.07,2.02,2.70,2.38,2.13,2.64,3.17,2.59,2.31,2.62,2.66,2.04,2.02,1.58,Upgrade
6,P/FCF Ratio,9.44,9.09,9.52,8.90,10.32,7.28,6.20,7.02,5.49,7.70,6.86,5.92,9.63,8.52,6.84,6.38,7.99,8.25,7.08,6.54,4.89,Upgrade
7,P/OCF Ratio,9.01,9.01,9.41,8.81,10.20,7.26,6.19,7.02,5.46,7.65,6.81,5.88,9.62,8.52,6.84,6.38,7.98,8.24,7.11,6.53,4.78,Upgrade
8,EV/Sales Ratio,6.21,5.99,6.01,5.73,5.99,4.66,4.27,4.03,4.19,5.03,4.24,4.44,5.75,6.51,5.04,4.79,6.09,6.34,5.77,6.13,5.10,Upgrade
9,EV/EBITDA Ratio,8.50,7.83,8.23,7.59,7.57,5.84,5.27,4.98,5.13,6.14,5.16,5.41,7.02,8.00,6.18,5.92,7.61,7.99,8.34,8.48,6.84,Upgrade
10,EV/EBIT Ratio,10.53,10.16,10.12,9.35,9.58,7.24,6.51,6.06,6.23,7.45,6.32,6.84,8.99,10.41,8.00,7.68,10.15,11.07,10.81,11.61,8.97,Upgrade
11,EV/FCF Ratio,9.50,9.17,9.66,9.09,10.75,7.42,6.41,7.18,5.88,8.32,7.42,6.67,10.81,9.63,7.98,7.47,9.57,10.12,9.37,8.44,6.83,Upgrade
12,Debt / Equity Ratio,0.01,0.01,0.01,0.01,0.01,0.04,0.04,0.04,0.04,0.07,0.11,0.14,0.20,0.29,0.32,0.32,0.36,0.46,0.53,0.52,0.51,Upgrade
13,Debt / EBITDA Ratio,0.03,0.01,0.18,0.04,0.03,0.07,0.29,0.11,0.09,0.11,0.41,0.29,0.33,0.39,5.54,0.74,0.65,0.53,10.96,1.58,1.27,Upgrade
14,Debt / FCF Ratio,0.03,0.03,0.03,0.04,0.05,0.12,0.11,0.13,0.11,0.19,0.31,0.39,0.71,0.78,0.84,0.90,1.11,1.41,1.85,1.68,1.57,Upgrade
15,Quick Ratio,4.70,4.70,3.89,3.50,5.84,2.88,3.57,2.70,4.62,2.51,2.95,3.19,3.30,2.48,1.86,2.44,3.04,1.71,0.67,0.86,1.30,Upgrade
16,Current Ratio,4.86,4.86,4.00,3.59,6.06,2.95,3.70,2.79,4.79,2.61,3.13,3.33,3.49,2.62,2.07,2.62,3.22,1.83,0.78,0.94,1.36,Upgrade
17,Asset Turnover,0.47,0.18,0.36,0.43,0.50,0.24,0.41,0.53,0.59,0.36,0.48,0.58,0.58,0.14,0.39,0.49,0.59,0.14,0.27,0.33,Upgrade,
18,Return on Equity (ROE),27.43%,4.12%,21.06%,27.83%,31.75%,9.76%,26.22%,36.64%,39.11%,20.21%,33.76%,46.28%,46.40%,0.22%,30.87%,43.60%,54.96%,-1.41%,18.01%,26.05%,Upgrade,
19,Return on Assets (ROA),18.55%,2.49%,14.01%,18.06%,19.74%,6.45%,17.22%,24.02%,24.84%,12.96%,20.85%,26.57%,23.88%,1.33%,16.06%,21.45%,24.67%,0.70%,9.30%,12.88%,Upgrade,
20,Return on Capital (ROIC),19.59%,2.66%,14.80%,18.96%,20.93%,6.87%,18.26%,25.38%,26.16%,13.55%,21.85%,27.84%,24.87%,1.38%,16.71%,22.39%,25.73%,0.73%,9.68%,13.44%,Upgrade,
21,Return on Capital Employed (ROCE),22.95%,22.95%,24.10%,25.38%,25.87%,30.81%,31.99%,34.59%,33.64%,37.79%,37.46%,31.37%,28.20%,27.44%,29.52%,27.34%,23.21%,21.10%,17.79%,16.25%,17.60%,Upgrade
22,Earnings Yield,6.93%,7.69%,7.87%,8.55%,8.54%,10.95%,12.13%,12.74%,12.82%,10.69%,12.83%,12.31%,9.53%,8.44%,11.43%,12.05%,9.36%,8.80%,9.80%,8.86%,12.54%,Upgrade
23,Earnings Yield,6.93%,7.69%,7.87%,8.55%,8.54%,10.95%,12.13%,12.74%,12.82%,10.69%,12.83%,12.31%,9.53%,8.44%,11.43%,12.05%,9.36%,8.80%,9.80%,8.86%,12.54%,Upgrade
24,FCF Yield,10.60%,11.00%,10.50%,11.23%,9.69%,13.74%,16.14%,14.24%,18.21%,12.98%,14.58%,16.88%,10.39%,11.73%,14.62%,15.67%,12.52%,12.13%,14.13%,15.29%,20.46%,Upgrade
25,Dividend Yield,6.69%,7.09%,6.65%,8.57%,9.06%,10.52%,12.81%,10.13%,10.34%,8.42%,8.86%,10.07%,8.36%,7.79%,10.38%,11.57%,9.75%,11.01%,16.01%,13.78%,19.10%,Upgrade
26,Payout Ratio,97.32%,117.94%,292.25%,155.61%,-,160.35%,206.01%,156.99%,-,47.32%,114.32%,102.68%,-,46.40%,1477.01%,120.85%,-,47.85%,1267.67%,213.07%,49.78%,Upgrade
27,Buyback Yield / Dilution,-,-,-7.03%,-0.00%,5.49%,-,2.58%,0.25%,-5.81%,-,-3.75%,-2.82%,-,-,1.59%,2.38%,4.68%,-,-0.92%,-0.67%,Upgrade,
28,Total Shareholder Return,6.69%,7.09%,6.65%,1.54%,9.05%,16.01%,12.81%,12.71%,10.59%,2.61%,8.86%,6.32%,5.54%,7.79%,10.38%,13.17%,12.13%,15.69%,16.01%,12.86%,18.43%,Upgrade
