,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,+20 Quarters
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020",+20 Quarters
0,Cash & Equivalents,59575,23008,29075,51557,45565,9518,11673,33441,26324,31361,77203,75734,71672,42440,56310,59094,30585,23587,38077,72867,Upgrade
1,Short-Term Investments,94200,123750,109550,88200,67100,125800,118790,125190,71100,43100,33550,18550,18000,18000,25320,50320,24500,24500,18650,18650,Upgrade
2,Accounts Receivable,32023,21950,45120,48068,50900,33595,55689,44186,61598,52082,33048,75327,44300,17211,35823,34951,50523,11341,24957,25089,Upgrade
3,Other Receivables,817.74,3774,2871,2298,3119,1612,163.51,150.49,126.51,136.01,4603,145.32,508.82,5098,5759,5248,5795,153.56,816.43,2294,Upgrade
4,Inventory,2493,2436,2379,2349,2362,2327,2305,2350,2359,2330,3032,3049,3089,3622,3719,3717,3525,3065,3121,3065,Upgrade
5,Prepaid Expenses,255.99,448.48,343.64,160.66,152.7,193.96,302.99,251.36,291.81,485.79,333.6,390.3,386.33,251.79,284.44,208.84,411.04,104.18,120.79,12,Upgrade
6,Other Current Assets,3319,1993,2054,4603,987.46,3924,3657,4870,4230,4825,3310,6410,4392,5295,5049,4857,4275,6058,4490,2158,Upgrade
7,Total Current Assets,192683,177359,191393,197236,170185,176971,192579,210438,166029,134321,155080,179605,142348,91917,132264,158397,119615,68809,90232,124134,Upgrade
8,"Property, Plant & Equipment",423552,432566,441549,450554,458076,466678,475620,484481,493417,502363,511291,521879,530881,538299,548790,559281,569771,594128,604641,615169,Upgrade
9,Other Intangible Assets,10087,10098,10110,10122,10134,10146,10157,10169,10181,10193,10205,10216,10228,10240,10252,10264,10275,10287,10309,10331,Upgrade
10,Other Long-Term Assets,70648,71119,71626,69937,70491,69726,69977,69626,67096,68531,65028,65768,66509,67474,68930,70030,71184,67612,69099,77786,Upgrade
11,Total Assets,696970,691143,714678,727848,708887,723521,748334,774715,736723,715408,741604,777469,749966,707930,760236,797971,770845,740836,774281,827420,Upgrade
12,Accounts Payable,5684,5216,5060,5055,4987,5060,5508,5044,5568,5518,5606,5496,5781,5663,5576,5629,5629,8690,8928,9210,Upgrade
13,Accrued Expenses,19888,16615,12801,17477,23574,17837,18109,21514,26588,17503,16289,16729,22025,15205,17602,20082,25944,20209,17381,8061,Upgrade
14,Short-Term Debt,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3389,6280,57447,Upgrade
15,Current Portion of Long-Term Debt,5043,5043,6459,2884,18810,5775,20339,5933,20333,13054,13054,15930,20130,20580,21380,17798,30898,57224,59723,-,Upgrade
16,Current Income Taxes Payable,8142,1842,13476,6391,9587,3695,9733,10750,10393,6241,11114,12782,5774,2506,5433,5270,2267,-1138,3248,7993,Upgrade
17,Other Current Liabilities,920.88,15613,15570,765.94,821.52,15452,15422,655.29,629.16,617.94,526.29,545.83,597.44,485.7,477.58,421.11,514.09,386.53,361.72,8546,Upgrade
18,Total Current Liabilities,39677,44328,53366,32573,57779,47819,69111,43897,63510,42933,46590,51483,54307,44440,50469,49200,65252,88760,95922,91257,Upgrade
19,Long-Term Debt,-,-,-,5043,5043,19443,6363,22245,23728,53335,74198,105280,141015,143646,157891,185979,199429,186652,188108,209711,Upgrade
20,Other Long-Term Liabilities,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-0,-,-,-,Upgrade
21,Total Liabilities,39677,44328,53366,37616,62822,67262,75475,66142,87239,96268,120788,156763,195322,188086,208360,235179,264680,275412,284030,300968,Upgrade
22,Common Stock,320000,320000,320000,320000,320000,320000,320000,320000,320000,320000,320000,320000,320000,320000,320000,320000,320000,320000,320000,320000,Upgrade
23,Retained Earnings,177606,172002,186669,205398,167417,198632,201170,226487,174539,150879,155928,160710,103553,75951,106111,116571,66626,37210,58684,91132,Upgrade
24,Comprehensive Income & Other,184.98,184.98,184.98,184.98,184.98,184.98,184.98,184.98,184.98,184.98,184.98,184.98,184.98,184.98,184.98,2707,2707,2739,2532,2523,Upgrade
25,Total Common Equity,497791,492186,506853,525582,487601,518817,521355,546672,494724,471064,476112,480894,423738,396136,426296,439278,389333,359948,381215,413654,Upgrade
