,Fiscal Quarter,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020,H2 2019,+2 Quarters
,Period Ending,"Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020","Dec '19 Dec 31, 2019",+2 Quarters
0,Cash & Equivalents,188.63,317.85,323.25,246.95,240.06,198.89,217.29,219.46,223.62,112.55,Upgrade
1,Short-Term Investments,17.64,17.13,6.88,6.81,9.72,8.62,9.41,18.76,21.14,26.1,Upgrade
2,Trading Asset Securities,4.15,225.96,3.93,337.76,15.37,15.29,13.82,6.56,5.25,31.35,Upgrade
3,Cash & Short-Term Investments,210.42,560.94,334.06,591.52,265.15,222.8,240.52,244.78,250.01,170,Upgrade
4,Cash Growth,-37.01%,-5.17%,25.99%,165.49%,10.24%,-8.98%,-3.79%,43.99%,58.80%,30.92%,Upgrade
5,Accounts Receivable,352.26,321.4,365.08,435.29,438.8,360.93,350.78,335.32,260.86,319.55,Upgrade
6,Other Receivables,3.25,3.25,3.25,3.25,2.96,3.32,3.33,3.48,2.35,-,Upgrade
7,Receivables,355.51,324.65,368.33,438.54,441.76,364.26,354.1,338.8,263.2,319.55,Upgrade
8,Inventory,349.54,151.92,387.55,207.41,456.18,451.9,320.31,276.83,240.43,275.4,Upgrade
9,Prepaid Expenses,-,14.5,-,15.06,-,13.02,-,8.24,-,7.7,Upgrade
10,Other Current Assets,23.9,9.58,30.44,8.7,40.29,19.27,19.91,-,13.64,2.94,Upgrade
11,Total Current Assets,939.36,1062,1120,1261,1203,1071,934.85,868.64,767.28,775.59,Upgrade
12,"Property, Plant & Equipment",694.25,601.87,554.98,564.11,491.74,456.2,437.97,449.92,444.62,449.34,Upgrade
13,Long-Term Investments,48.1,44.67,46.39,43.76,43.16,32.87,20.71,11.63,8.8,8.33,Upgrade
14,Goodwill,-,-,-,-,22.51,22.51,22.51,22.51,22.51,22.51,Upgrade
15,Other Intangible Assets,31.37,14.69,22.27,30.27,28.57,29.61,22.95,32.77,41.02,27.54,Upgrade
16,Long-Term Deferred Tax Assets,6.21,6.85,7.39,7.87,4.99,5.16,5.32,3.5,3.53,2.4,Upgrade
17,Other Long-Term Assets,56.47,56.95,87.86,51.1,50.89,51.93,44.52,44.52,41.86,42.38,Upgrade
18,Total Assets,1776,1787,1839,1958,1845,1670,1489,1433,1330,1328,Upgrade
19,Accounts Payable,150.75,332.76,153.26,499.23,200.03,219.76,159.59,140.23,65.54,127.68,Upgrade
20,Accrued Expenses,148.78,-,204.51,-,205.95,172.19,120.29,128,112.14,116.87,Upgrade
21,Short-Term Debt,108.41,108.97,188.05,209.24,329.5,275.38,270.34,293.68,332.68,272.92,Upgrade
22,Current Portion of Long-Term Debt,42.05,44.54,14.67,19.64,-,-,-,-,-,-,Upgrade
23,Current Portion of Leases,14.02,13.6,13.06,12.75,16.02,18.83,15.84,16.29,8.51,8.9,Upgrade
24,Current Income Taxes Payable,55.69,48.61,66.93,51.98,49.09,29.02,24.82,11.59,15.2,12.19,Upgrade
25,Current Unearned Revenue,-,-,-,-,-,1.24,-,0.47,-,0.17,Upgrade
26,Other Current Liabilities,0.54,0.54,6.41,2.85,0.54,0.54,0.54,2.02,-,0.54,Upgrade
27,Total Current Liabilities,520.24,549,646.87,795.69,801.13,716.95,591.41,592.29,534.07,539.26,Upgrade
28,Long-Term Debt,7.2,7.2,14.39,14.39,-,-,-,-,-,-,Upgrade
29,Long-Term Leases,34.95,41.18,47.88,54.74,52.72,23.54,29.97,27.37,21.42,15.58,Upgrade
30,Long-Term Deferred Tax Liabilities,21.43,21.45,6.3,6.37,6.19,6.32,5.21,4.56,4.82,4.22,Upgrade
31,Other Long-Term Liabilities,18.43,6.6,13.23,18.14,17.25,20.59,14.03,20.86,27.39,13.1,Upgrade
32,Total Liabilities,602.25,625.42,728.67,889.33,877.3,767.4,640.61,645.09,587.7,572.16,Upgrade
33,Common Stock,42.92,42.92,42.87,42.66,42.56,40.53,40.53,40.53,40.53,40.53,Upgrade
34,Additional Paid-In Capital,195.48,195.48,194.95,192,190.87,192.89,192.89,192.89,192.89,192.89,Upgrade
35,Retained Earnings,857.16,847.64,807.64,768.27,670.15,609.99,560.06,506.14,468.73,480.13,Upgrade
36,Comprehensive Income & Other,22.63,24.53,17.88,23.24,32.65,33.5,32.11,30.91,25.57,28.63,Upgrade
37,Total Common Equity,1118,1111,1063,1026,936.23,876.91,825.59,770.47,727.72,742.18,Upgrade
38,Minority Interest,55.32,50.61,47.27,42.81,31.72,25.21,22.63,17.95,14.21,13.75,Upgrade
39,Shareholders' Equity,1174,1161,1111,1069,967.95,902.12,848.23,788.41,741.93,755.93,Upgrade
40,Total Liabilities & Equity,1776,1787,1839,1958,1845,1670,1489,1433,1330,1328,Upgrade
41,Total Debt,206.63,215.47,278.04,310.77,398.24,317.75,316.15,337.35,362.61,297.4,Upgrade
42,Net Cash (Debt),3.78,345.46,56.02,280.75,-133.1,-94.95,-75.63,-92.57,-112.6,-127.4,Upgrade
43,Net Cash Growth,-93.25%,23.05%,-,-,-,-,-,-,-,-,Upgrade
44,Net Cash Per Share,0.01,0.79,0.13,0.62,-0.32,-0.22,-0.18,-0.22,-0.26,-,Upgrade
45,Filing Date Shares Outstanding,429.16,429.16,428.68,426.6,425.59,425.59,425.59,425.59,425.59,425.59,Upgrade
