,Fiscal Quarter,Current,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,+20 Quarters
,Period Ending,"Mar '25 Mar 13, 2025","Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020",+20 Quarters
0,Market Capitalization,2833915,2894246,2749533,2564623,2854048,2950523,2572663,3014839,3280145,4011746,3762519,5772412,5788491,4743347,3014839,2532465,2411871,1768706,1648112,1648112,1648112,Upgrade
1,Market Cap Growth,-1.91%,-1.91%,6.88%,-14.93%,-12.99%,-26.45%,-31.62%,-47.77%,-43.33%,-15.42%,24.80%,127.94%,140.00%,168.18%,82.93%,53.66%,46.34%,12.82%,40.41%,17.82%,-2.38%,Upgrade
2,Enterprise Value,3109241,3133860,2098733,2913038,2212151,3225007,2922844,3276921,3550537,4282138,3766127,5734296,5639501,4746845,3085949,2626384,2117256,1866958,1696833,1647245,1527829,Upgrade
3,PE Ratio,8.75,8.93,7.21,6.86,10.19,11.67,20.60,-37.23,-9.52,-11.55,-,-,28.05,20.09,11.44,12.41,9.69,7.75,7.49,8.28,13.87,Upgrade
4,PS Ratio,0.70,0.71,0.63,0.56,0.60,0.58,0.49,0.59,0.60,0.76,0.70,1.04,1.09,0.92,0.59,0.49,0.48,0.35,0.33,0.32,0.33,Upgrade
5,PB Ratio,1.19,1.21,1.19,1.13,1.34,1.43,1.33,1.59,1.77,2.21,2.08,2.92,2.61,2.18,1.42,1.25,1.15,0.88,0.85,0.87,0.86,Upgrade
6,P/FCF Ratio,-,-,-,-,-,-,-11.84,-,-4.53,-,-,-,15.10,28.16,10.34,5.61,-,2.45,2.60,3.36,5.01,Upgrade
7,P/OCF Ratio,-,-,-,-,-,-,-16.86,-,-5.57,-,-,-,21.60,-,5.26,-,3.43,2.28,2.61,3.31,4.08,Upgrade
8,EV/Sales Ratio,0.76,0.77,0.48,0.64,0.46,0.63,0.56,0.64,0.65,0.81,0.70,1.03,1.07,0.92,0.60,0.51,0.42,0.37,0.34,0.32,0.31,Upgrade
