,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,+20 Quarters
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020",+20 Quarters
0,Premiums & Annuity Revenue,1385481,754027,790061,961498,1710050,914257,971514,1282520,1094701,825082,1290654,1166878,2017746,897694,1048300,999963,1863414,968916,940235,961564,Upgrade
1,Total Interest & Dividend Income,36349,69617,-10353,73915,65499,68264,-15627,63725,29626,35373,-4918,54648,19599,41006,12988,59907,48217,45319,21044,60044,Upgrade
2,Gain (Loss) on Sale of Investments,-28116,-,13526,13506,24454,-,12259,8527,-2782,-,13637,-1624,24711,-,-7463,11282,17496,-,5296,15552,Upgrade
3,Non-Insurance Activities Revenue,569.28,548.2,154.39,1027,6455,1173,690.36,1100,6263,1622,4738,1020,6886,8770,21179,2830,29882,-9195,8684,7943,Upgrade
4,Other Revenue,-439475,119992,206362,125270,-552570,161308,247939,154643,226924,153172,257279,138277,-598065,212405,225130,164523,-515290,144035,235540,141431,Upgrade
5,Total Revenue,954808,944184,999750,1175216,1253889,1145002,1216776,1510514,1354733,1015249,1561390,1359199,1470878,1159876,1300134,1238505,1443717,1149075,1210799,1186534,Upgrade
6,Revenue Growth (YoY),-23.85%,-17.54%,-17.84%,-22.20%,-7.44%,12.78%,-22.07%,11.13%,-7.90%,-12.47%,20.09%,9.75%,1.88%,0.94%,7.38%,4.38%,-0.29%,-6.97%,11.48%,36.59%,Upgrade
7,Policy Benefits,2324237,420251,520567,190553,2916329,475424,472178,703820,692707,622545,478324,515656,3325301,366478,465184,401231,2825488,489537,382749,336704,Upgrade
8,Policy Acquisition & Underwriting Costs,-369845,116160,131827,121857,-461775,140777,144297,176701,163292,127481,204803,162574,-479287,142468,164488,172331,-485372,151354,214009,120009,Upgrade
9,"Selling, General & Administrative",99498,30728,48177,21417,77422,34783,50134,46315,69792,61740,65133,56247,95504,45002,-51548,156923,157824,161589,113839,164402,Upgrade
10,Non-Insurance Activities Expense,310.03,310.03,-94.94,714.99,3941,683.36,913.06,703.75,3815,1254,1840,859.36,2260,2317,15512,407.38,18049,-6530,6275,3599,Upgrade
11,Other Operating Expenses,-1198871,315034,120920,762917,-1454368,435314,482797,536258,405733,397524,984073,598692,-1569106,468745,673256,427569,-1183635,283659,430017,470804,Upgrade
12,Total Operating Expenses,855330,882484,821396,1097459,1081549,1086980,1150319,1463798,1335340,1210545,1734174,1334029,1374671,1025010,1266893,1158461,1332354,1079609,1146888,1095517,Upgrade
13,Operating Income,99479,61700,178355,77757,172340,58022,66457,46716,19393,-195296,-172784,25170,96207,134866,33241,80044,111363,69465,63911,91017,Upgrade
14,Interest Expense,-4376,-6167,-4575,-,-2302,-10804,-12485,-,-2629,-2928,-24068,-,-4371,-5584,-11387,-,-5373,-,-1079,-2536,Upgrade
15,Interest & Investment Income,-,-,-,6454,-,-,-,8235,-,-,-,19778,-,-,-,12599,-,-,-,-,Upgrade
16,Earnings From Equity Investments,-621.39,560.89,536.06,1929,517.85,-1497,182.12,1387,-625.36,1.05,-157.98,3083,-8940,1641,323.23,257.23,2308,-12830,85.56,1890,Upgrade
17,Currency Exchange Gain (Loss),1140,-,-599.33,-2658,-1437,-,-1392,-228.58,-8989,-,-2420,-1081,76.92,-,-332.9,-573.57,-663.49,-,-1328,-518.26,Upgrade
18,Other Non Operating Income (Expenses),-6192,2261,-1076,1704,-8606,2729,1611,315.46,-1337,1579,-329.42,66.51,-2547,176.92,9697,-7388,-23663,7223,26111,-31290,Upgrade
19,Pretax Income,89429,58355,172641,85185,160513,48449,54372,56424,5813,-196644,-199759,47016,80426,131099,31541,84938,83972,63859,87701,58562,Upgrade
20,Income Tax Expense,18506,11933,34431,16738,31948,9794,9892,15255,5343,-29429,19130,8758,21745,25628,6216,16933,7122,18942,17586,11297,Upgrade
21,Earnings From Continuing Ops.,70923,46422,138210,68447,128565,38655,44480,41169,470.11,-167215,-218890,38259,58681,105471,25325,68006,76850,44916,70115,47265,Upgrade
22,Minority Interest in Earnings,-68.33,-21.35,-11.63,21.49,-104.74,-50.71,142.74,-68.22,76.92,-38.37,-35.86,-20.99,-46.25,-24.92,-44.32,-,-35.13,1044,-34.33,-24.4,Upgrade
23,Net Income,70855,46401,138198,68469,128460,38605,44622,41101,547.03,-167254,-218926,38238,58635,105446,25281,68006,76815,45960,70081,47241,Upgrade
24,Preferred Dividends & Other Adjustments,-,-,-,-,-,-,-,-,-,-,-,-,21249,-,-,-,12005,-,-,-,Upgrade
25,Net Income to Common,70855,46401,138198,68469,128460,38605,44622,41101,547.03,-167254,-218926,38238,37385,105446,25281,68006,64810,45960,70081,47241,Upgrade
26,Net Income Growth,-44.84%,20.20%,209.71%,66.59%,23383.29%,-,-,7.49%,-99.07%,-,-,-43.77%,-23.67%,129.43%,-63.93%,43.96%,25.38%,85.15%,-,26.85%,Upgrade
27,Shares Outstanding (Basic),121,121,121,121,121,121,121,121,121,121,121,121,121,121,121,121,121,121,121,121,Upgrade
28,Shares Outstanding (Diluted),121,121,121,121,121,121,121,121,121,121,121,121,121,121,121,121,121,121,121,121,Upgrade
29,EPS (Basic),587.55,384.77,1145.98,567.77,1065.23,320.12,370.02,340.82,4.54,-1386.92,-1815.40,317.08,310.01,874.39,209.64,563.92,537.43,381.12,581.13,391.73,Upgrade
30,EPS (Diluted),587.55,384.77,1145.98,567.77,1065.23,320.12,370.02,340.82,4.54,-1386.92,-1815.40,317.08,310.01,874.39,209.64,563.92,537.43,381.12,581.13,391.73,Upgrade
31,EPS Growth,-44.84%,20.20%,209.71%,66.59%,23383.30%,-,-,7.49%,-98.54%,-,-,-43.77%,-42.32%,129.43%,-63.93%,43.96%,14.00%,85.15%,-,26.85%,Upgrade
32,Free Cash Flow,-71562,-76713,-85440,-122434,-323247,57167,-108304,90209,-256394,-300049,-258153,127428,61208,96121,98586,-87456,184426,256173,87701,193430,Upgrade
33,Free Cash Flow Per Share,-593.42,-636.13,-708.49,-1015.26,-2680.47,474.05,-898.09,748.04,-2126.10,-2488.10,-2140.68,1056.67,507.56,797.06,817.50,-725.21,1529.32,2124.27,727.25,1603.99,Upgrade
34,Dividend Per Share,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,666.667,-,-,-,Upgrade
35,Operating Margin,10.42%,6.53%,17.84%,6.62%,13.74%,5.07%,5.46%,3.09%,1.43%,-19.24%,-11.07%,1.85%,6.54%,11.63%,2.56%,6.46%,7.71%,6.05%,5.28%,7.67%,Upgrade
36,Profit Margin,7.42%,4.91%,13.82%,5.83%,10.24%,3.37%,3.67%,2.72%,0.04%,-16.47%,-14.02%,2.81%,2.54%,9.09%,1.94%,5.49%,4.49%,4.00%,5.79%,3.98%,Upgrade
37,Free Cash Flow Margin,-7.49%,-8.12%,-8.55%,-10.42%,-25.78%,4.99%,-8.90%,5.97%,-18.93%,-29.55%,-16.53%,9.38%,4.16%,8.29%,7.58%,-7.06%,12.77%,22.29%,7.24%,16.30%,Upgrade
38,EBITDA,103510,64267,184484,84308,192470,61450,76288,51721,39156,-192248,-165569,32262,104235,140902,41800,84026,146679,69465,63911,94567,Upgrade
39,EBITDA Margin,10.84%,6.81%,18.45%,7.17%,15.35%,5.37%,6.27%,3.42%,2.89%,-18.94%,-10.60%,2.37%,7.09%,12.15%,3.21%,6.78%,10.16%,6.05%,5.28%,7.97%,Upgrade
40,D&A For EBITDA,4031,2567,6130,6551,20130,3428,9831,5005,19763,3048,7214,7091,8028,6037,8559,3981,35316,-,-,3550,Upgrade
41,EBIT,99479,61700,178355,77757,172340,58022,66457,46716,19393,-195296,-172784,25170,96207,134866,33241,80044,111363,69465,63911,91017,Upgrade
42,EBIT Margin,10.42%,6.53%,17.84%,6.62%,13.74%,5.07%,5.46%,3.09%,1.43%,-19.24%,-11.07%,1.85%,6.54%,11.63%,2.56%,6.46%,7.71%,6.05%,5.28%,7.67%,Upgrade
43,Effective Tax Rate,20.69%,20.45%,19.94%,19.65%,19.90%,20.21%,18.19%,27.04%,91.91%,-,-,18.63%,27.04%,19.55%,19.71%,19.94%,8.48%,29.66%,20.05%,19.29%,Upgrade
44,Revenue as Reported,-,-,-,-,-,-,-,-,2930580,-,-,-,-,-,-,-,-,-,-,-,Upgrade
