,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,+20 Quarters
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Jan '24 Jan 1, 2024","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Jan '22 Jan 1, 2022","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Jan '21 Jan 1, 2021","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020",+20 Quarters
0,Cash & Equivalents,1351810,724715,1223980,2246623,1200712,307764,954634,202558,275743,414229,411711,667699,689232,217310,396301,426464,438748,542432,697610,1932203,Upgrade
1,Short-Term Investments,819621,227581,264739,202197,9595,704751,285417,411426,447387,460089,518258,201544,230044,164447,218803,60634,242490,87576,79076,128372,Upgrade
2,Trading Asset Securities,188427,274735,308839,971896,986589,1017000,615576,615576,615576,615576,615576,615576,615576,679478,615576,615576,615576,637576,615576,615576,Upgrade
3,Cash & Short-Term Investments,2359858,1227031,1797559,3420716,2196897,2029515,1855627,1229561,1338706,1489894,1545545,1484819,1534852,1061234,1230680,1102674,1296813,1267584,1392262,2676151,Upgrade
4,Cash Growth,7.42%,-39.54%,-3.13%,178.21%,64.11%,36.22%,20.06%,-17.19%,-12.78%,40.39%,25.58%,34.66%,18.36%,-16.28%,-11.61%,-58.80%,-10.56%,120.18%,149.96%,316.02%,Upgrade
5,Accounts Receivable,663416,670789,690010,723790,485056,475222,529435,616113,819169,1313035,738313,664712,885216,1450933,1445794,1294105,1245530,1300453,841875,733244,Upgrade
6,Other Receivables,974863,812072,860977,800618,1772068,1236118,1189597,1248969,1155767,335090,316465,935266,691853,719605,691569,579354,582323,303048,369907,364416,Upgrade
7,Receivables,3287513,3178598,3224416,2958136,3840520,4099523,4246711,4476417,3715369,2598804,1973799,3194372,3177453,3745580,3630545,3331193,3428989,2616842,2095293,2170737,Upgrade
8,Inventory,2294474,2294609,2241048,2124565,581772,576255,882797,1337641,1616876,2667268,4005006,3690205,4549361,5656512,5412982,5305954,3143536,5403268,6259839,6066609,Upgrade
9,Prepaid Expenses,6855,23750,35528,36579,13771,25430,38838,38334,13581,25347,30708,35644,24576,32111,40807,41655,17372,18512,17131,12979,Upgrade
10,Other Current Assets,600466,1015284,967564,1060261,277800,691983,596011,591734,542210,683038,700274,719681,1211247,1541197,1536249,1758438,1528442,2047066,1823845,1812540,Upgrade
11,Total Current Assets,8549165,7739272,8266115,9600256,6910759,7422706,7619984,7673687,7226742,7464350,8255332,9124722,10497489,12036635,11851264,11539915,9415153,11353273,11588370,12739016,Upgrade
12,"Property, Plant & Equipment",3096143,2656996,2617671,2473106,572255,552959,550675,2244607,2252714,2256889,2265372,2263110,4226567,3323909,4444300,7673058,9503582,7678655,7529552,7255184,Upgrade
13,Long-Term Investments,1023929,1024027,1024027,408451,1199581,2325360,2550768,2447453,2419661,2271417,2433677,2410927,1554600,1444517,1423839,1425784,1402678,1361162,1658545,1623653,Upgrade
14,Goodwill,871006,949741,992188,1037081,803099,619021,665268,813505,870974,929257,987541,1046850,1106160,1167874,1227526,1287179,1346832,1406485,1466137,1525790,Upgrade
