,Fiscal Quarter,Current,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,+20 Quarters
,Period Ending,"Mar '25 Mar 10, 2025","Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Jan '24 Jan 1, 2024","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Jan '22 Jan 1, 2022","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Jan '21 Jan 1, 2021","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020",+20 Quarters
0,Market Capitalization,4476534,4460546,4941061,4988877,6080768,5491793,5481577,5745410,3682443,3253666,4877748,3852818,7416595,11082171,4237719,4562602,6102318,5111139,4311031,4171565,4485873,Upgrade
1,Market Cap Growth,-18.78%,-18.78%,-9.86%,-13.17%,65.13%,68.79%,12.38%,49.12%,-50.35%,-70.64%,15.10%,-15.56%,21.54%,116.82%,-1.70%,9.37%,36.03%,-8.34%,-20.93%,-25.19%,-26.79%,Upgrade
2,Enterprise Value,28378446,28479979,28665599,27618556,24108709,18442216,18930873,22696285,19841909,20033893,21268048,20046367,26476187,30725375,23542962,23554878,24573297,23277204,21583160,20558725,21317374,Upgrade
3,Last Close Price,14000.00,13950.00,14974.58,15119.49,18022.16,15932.08,17442.12,16448.01,13194.56,11658.20,17487.30,14324.23,27654.34,41933.38,16041.33,17261.37,23090.47,19339.96,15430.69,15516.18,15473.44,Upgrade
4,PE Ratio,19.36,17.34,13.31,12.93,14.80,30.81,235.84,459.12,65.37,-,15.05,12.08,27.07,-,971.79,141.29,491.08,-,-221.26,12.20,11.86,Upgrade
5,Forward PE,-,5.80,5.80,5.80,5.80,5.80,5.80,5.80,5.80,5.80,7.74,5.96,11.68,42.86,15.30,12.17,15.48,12.07,8.85,9.67,6.20,Upgrade
6,PS Ratio,1.47,1.47,1.62,1.62,1.89,1.78,1.31,1.02,0.64,0.57,1.08,1.48,2.84,3.87,0.91,0.73,1.04,0.95,1.31,2.18,2.62,Upgrade
7,PB Ratio,0.74,0.49,0.53,0.53,0.64,0.65,0.68,0.71,0.44,0.39,0.58,0.46,0.90,1.32,0.54,0.59,0.79,0.66,0.51,0.50,0.50,Upgrade
8,P/TBV Ratio,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,20.76,23.79,8.87,12.00,9.74,Upgrade
